,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AC136616.3,,ENSG00000278782,,Unmapped,1157687-1240349,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Tissue enhanced,,"cervix, uterine: 8.6;tonsil: 6.6","breast,small intestine: 5.4",Not detected,,
1,ADAMTSL5,THSD6,ENSG00000185761,ADAMTS like 5,19,1505018-1513604,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA044050,,,Approved,Golgi apparatus,,Mixed,Tissue enhanced,,"cervix, uterine: 29.0",smooth muscle: 17.4,Mixed,,
2,ADRA1D,"ADRA1, ADRA1A, ADRA1R",ENSG00000171873,Adrenoceptor alpha 1D,20,4220631-4249074,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA038789,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 4.3;prostate: 4.5",seminal vesicle: 2.6,Cell line enhanced,,BJ: 6.7;CAPAN-2: 3.1;fHDF/TERT166: 3.7
3,ADRA2C,"ADRA2L2, ADRA2RL2, ADRARL2",ENSG00000184160,Adrenoceptor alpha 2C,4,3766348-3768526,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA057688,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 20.9;endometrium: 26.0;seminal vesicle: 26.8",fallopian tube: 7.9,Cell line enhanced,,Hep G2: 9.0;MCF7: 16.8;SCLC-21H: 9.5;SH-SY5Y: 10.3
4,AMY1C,AMY1,ENSG00000187733,"Amylase, alpha 1C (salivary)",1,103750406-103758690,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA045394, HPA045399, HPA046980",Supported,,,,,Not detected,Tissue enhanced,,"cervix, uterine: 33.0;salivary gland: 101.8",pancreas: 26.4,Not detected,,
5,ANGPT4,,ENSG00000101280,Angiopoietin 4,20,869899-916317,"Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,"CAB013260, CAB013305",Uncertain,,,,,Not detected,Tissue enhanced,,"cervix, uterine: 5.4",adipose tissue: 2.7,Group enriched,92.0,ASC diff: 23.2;BEWO: 47.4
6,ANKFN1,FLJ38335,ENSG00000153930,Ankyrin repeat and fibronectin type III domain containing 1,17,55882301-56511659,Predicted intracellular proteins,Evidence at protein level,"HPA021566, HPA022538",Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 14.3;fallopian tube: 8.5","cerebral cortex,testis: 3.2",Cell line enhanced,,HeLa: 4.8;MOLT-4: 12.3;T-47d: 4.7;U-2197: 4.5
7,ATP6V1C2,"ATP6C2, VMA5",ENSG00000143882,ATPase H+ transporting V1 subunit C2,2,10721649-10785110,"Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA034734, HPA067305",Approved,,Uncertain,Mitochondria,Renal cancer:1.12e-11 (unfavourable),Mixed,Tissue enhanced,,"cervix, uterine: 83.9;epididymis: 99.0;skin: 123.7",placenta: 55.1,Group enriched,9.0,BEWO: 71.4;SK-BR-3: 20.0
8,BMPR1B,"ALK6, CDw293",ENSG00000138696,Bone morphogenetic protein receptor type 1B,4,94757968-95158448,"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Endometrial cancer:2.84e-4 (favourable),Tissue enhanced,Tissue enhanced,,"cervix, uterine: 37.2;prostate: 37.0",seminal vesicle: 21.0,Cell line enhanced,,A549: 21.1;SH-SY5Y: 20.1
9,BPIFB1,"bA49G10.6, C20orf114, dJ1187J4.1, LPLUNC1, MGC14597, VEMSGP",ENSG00000125999,BPI fold containing family B member 1,20,33273480-33309878,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA024256,Supported,,,,,Tissue enhanced,Tissue enhanced,,"cervix, uterine: 839.4;stomach: 443.3",lung: 157.3,Cell line enhanced,,CAPAN-2: 2.2;RT4: 1.6;SK-BR-3: 3.1
10,C1orf186,FLJ16052,ENSG00000263961,Chromosome 1 open reading frame 186,1,206037231-206102459,Predicted membrane proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Tissue enhanced,,"cervix, uterine: 37.8",seminal vesicle: 28.9,Cell line enriched,7.0,HMC-1: 1374.2
11,C6orf15,STG,ENSG00000204542,Chromosome 6 open reading frame 15,6,31111223-31112559,Predicted secreted proteins,Evidence at transcript level,HPA001436,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 2.0",tonsil: 0.8,Group enriched,12.0,RH-30: 3.1;U-2 OS: 1.4
12,CA10,"CA-RPX, CARPX, HUCEP-15",ENSG00000154975,Carbonic anhydrase 10,17,51630313-52160017,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA054825, HPA057837",Supported,,Approved,Vesicles,,Tissue enhanced,Tissue enhanced,,"cerebral cortex: 56.7;cervix, uterine: 32.1",testis: 10.7,Cell line enhanced,,RT4: 1.6;SCLC-21H: 7.3
13,CACNA1G,"Cav3.1, NBR13",ENSG00000006283,Calcium voltage-gated channel subunit alpha1 G,17,50561068-50627474,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,HPA004714,Uncertain,,,,,Mixed,Tissue enhanced,,"cerebral cortex: 10.5;cervix, uterine: 8.5",endometrium: 5.2,Cell line enhanced,,A549: 8.5;SCLC-21H: 3.3
14,CCDC129,FLJ38344,ENSG00000180347,Coiled-coil domain containing 129,7,31514071-31658720,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA024103,Uncertain,,Uncertain,Nucleoplasm,,Not detected,Tissue enhanced,,"cervix, uterine: 2.6;salivary gland: 2.4",testis: 2.1,Cell line enhanced,,U-2 OS: 1.6
15,CD8B,CD8B1,ENSG00000172116,CD8b molecule,2,86815339-86861924,"CD markers, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB004353, HPA029164",Enhanced,,Supported,Plasma membrane,"Endometrial cancer:7.88e-7 (favourable), Renal cancer:7.11e-6 (unfavourable)",Mixed,Tissue enhanced,,"cervix, uterine: 60.8;lymph node: 39.6",parathyroid gland: 22.7,Cell line enriched,50.0,RPMI-8226: 837.8
16,CDH12,"Br-cadherin, CDHB",ENSG00000154162,Cadherin 12,5,21750673-22853622,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA029325,Uncertain,,Approved,Vesicles,,Mixed,Tissue enhanced,,"cerebral cortex: 3.6;cervix, uterine: 4.5;fallopian tube: 3.5",adrenal gland: 2.2,Group enriched,5.0,PC-3: 2.0;SCLC-21H: 3.7;U-2 OS: 1.3
17,CHAD,SLRR4A,ENSG00000136457,Chondroadherin,17,50464496-50468966,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA018241,Enhanced,,,,"Liver cancer:1.59e-4 (favourable), Breast cancer:7.68e-4 (favourable)",Tissue enhanced,Tissue enhanced,,"cervix, uterine: 31.8",adrenal gland: 13.4,Cell line enhanced,,RT4: 3.4;SCLC-21H: 10.1
18,CHST6,MCDC1,ENSG00000183196,Carbohydrate sulfotransferase 6,16,75472052-75495384,"Disease related genes, Predicted secreted proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 16.3;duodenum: 10.6;small intestine: 10.9",cerebral cortex: 7.9,Cell line enhanced,,AN3-CA: 10.8;CAPAN-2: 11.4;NTERA-2: 6.2;U-2 OS: 8.0;WM-115: 6.7
19,CHSY3,"CHSY-2, CSS3",ENSG00000198108,Chondroitin sulfate synthase 3,5,129904472-130186634,"Enzymes, Predicted secreted proteins",Evidence at protein level,HPA044612,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 7.2",gallbladder: 4.5,Cell line enhanced,,ASC diff: 9.0;ASC TERT1: 8.1;U-138 MG: 14.0
20,CILP,HsT18872,ENSG00000138615,Cartilage intermediate layer protein,15,65194758-65211488,"Disease related genes, Predicted secreted proteins",Evidence at protein level,HPA003195,Uncertain,,,,Thyroid cancer:2.24e-5 (unfavourable),Tissue enhanced,Tissue enhanced,,"cervix, uterine: 67.0;smooth muscle: 70.8",gallbladder: 54.9,Cell line enhanced,,ASC diff: 2.9;ASC TERT1: 1.7;EFO-21: 1.0;HSkMC: 4.7
21,COL14A1,UND,ENSG00000187955,Collagen type XIV alpha 1 chain,8,120059780-120372036,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA023781,Uncertain,,Approved,Vesicles,"Renal cancer:5.79e-5 (unfavourable), Urothelial cancer:1.01e-4 (unfavourable)",Expressed in all,Tissue enhanced,,"cervix, uterine: 278.5",gallbladder: 207.5,Group enriched,7.0,ASC TERT1: 28.1;RH-30: 106.3
22,COL21A1,,ENSG00000124749,Collagen type XXI alpha 1 chain,6,56056590-56394094,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA031212,,,Supported,Cytosol,,Mixed,Tissue enhanced,,"cervix, uterine: 36.7;placenta: 39.0",endometrium: 19.6,Cell line enhanced,,ASC TERT1: 15.7;BEWO: 7.2;HSkMC: 16.7
23,COL3A1,EDS4A,ENSG00000168542,Collagen type III alpha 1 chain,2,188974320-189012746,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA007583, CAB016766, CAB059993",Approved,,,,Renal cancer:3.59e-10 (unfavourable),Expressed in all,Tissue enhanced,,"cervix, uterine: 3796.7;gallbladder: 3334.2;smooth muscle: 3029.8",placenta: 2768.0,Cell line enhanced,,AF22: 1344.2;ASC diff: 1690.4;ASC TERT1: 2979.5;fHDF/TERT166: 1406.5;HHSteC: 1419.6;HSkMC: 2318.4
