,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ADGRF1,"GPR110, hGPCR36, PGR19",ENSG00000153292,Adhesion G protein-coupled receptor F1,6,46997703-47042363,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA038438,Approved,,,,Renal cancer:1.35e-5 (favourable),Mixed,Tissue enhanced,,esophagus: 14.6;kidney: 17.6;urinary bladder: 18.9,gallbladder: 9.4,Group enriched,9.0,A-431: 27.0;CAPAN-2: 99.3;HaCaT: 22.4;PC-3: 33.9;RPTEC TERT1: 38.6;RT4: 104.1
1,AIM1L,"CRYBG2, FLJ38020",ENSG00000176092,Absent in melanoma 1-like,1,26321859-26360052,Predicted intracellular proteins,Evidence at protein level,"HPA029629, HPA029631",Uncertain,,Approved,Nucleoplasm,"Endometrial cancer:5.11e-6 (unfavourable), Pancreatic cancer:3.53e-4 (unfavourable)",Mixed,Tissue enhanced,,esophagus: 51.2;skin: 21.5,placenta: 13.7,Cell line enhanced,,BEWO: 33.9;CACO-2: 36.7;CAPAN-2: 27.8
2,ANXA8,ANX8,ENSG00000265190,Annexin A8,10,47460162-47484158,Predicted intracellular proteins,Evidence at protein level,"HPA045246, HPA047451",,,Approved,Nucleoplasm,"Pancreatic cancer:2.68e-4 (unfavourable), Head and neck cancer:6.07e-4 (unfavourable)",Tissue enhanced,Tissue enhanced,,esophagus: 229.1;skin: 368.9,urinary bladder: 64.2,Cell line enhanced,,HaCaT: 409.1;HBEC3-KT: 486.4;hTCEpi: 269.3
3,ARNTL2,"bHLHe6, BMAL2, CLIF, MOP9, PASD9",ENSG00000029153,Aryl hydrocarbon receptor nuclear translocator like 2,12,27332854-27425289,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA059074, HPA065355",Uncertain,,Enhanced,Nucleus<br>Nucleoli,"Pancreatic cancer:5.29e-6 (unfavourable), Renal cancer:1.56e-5 (unfavourable)",Mixed,Tissue enhanced,,esophagus: 31.2,tonsil: 20.2,Cell line enhanced,,U-2197: 148.2
4,ATG9B,"APG9L2, FLJ14885, NOS3AS, SONE",ENSG00000181652,Autophagy related 9B,7,151012209-151024499,Predicted membrane proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,esophagus: 9.2;placenta: 5.8;skin: 13.5,testis: 3.8,Cell line enhanced,,BEWO: 12.5;CAPAN-2: 3.7
5,ATP12A,"#945, 2, ATP1AL1, HK",ENSG00000075673,ATPase H+/K+ transporting non-gastric alpha2 subunit,13,24680411-24712493,"Enzymes, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA039526,Approved,,,,,Tissue enhanced,Tissue enhanced,,esophagus: 12.7;placenta: 8.2;tonsil: 14.1,skin: 7.1,Not detected,,
6,BARX2,,ENSG00000043039,BARX homeobox 2,11,129375940-129452279,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB033311, HPA068414",Enhanced,,Supported,Nucleoplasm<br>Cytosol,Urothelial cancer:3.06e-4 (unfavourable),Mixed,Tissue enhanced,,esophagus: 103.8;salivary gland: 60.3,fallopian tube: 28.0,Cell line enriched,5.0,HDLM-2: 158.6
7,C15orf62,LOC643338,ENSG00000188277,Chromosome 15 open reading frame 62,15,40770080-40772449,Predicted intracellular proteins,Evidence at protein level,HPA044636,Approved,,,,,Mixed,Tissue enhanced,,esophagus: 14.9;skin: 12.6,tonsil: 4.6,Cell line enhanced,,RPTEC TERT1: 13.6
8,C1orf116,"FLJ36507, MGC2742, MGC4309, SARG",ENSG00000182795,Chromosome 1 open reading frame 116,1,207018521-207032756,Predicted intracellular proteins,Evidence at protein level,"HPA011888, HPA011889",Enhanced,,Supported,Plasma membrane<br>Cytosol,Renal cancer:1.01e-5 (favourable),Mixed,Tissue enhanced,,esophagus: 112.4;lung: 109.2;prostate: 82.0,stomach: 54.9,Group enriched,5.0,A-431: 50.3;CAPAN-2: 87.3;HaCaT: 108.7;HBEC3-KT: 85.0;hTCEpi: 44.4;hTERT-HME1: 26.3;RPTEC TERT1: 42.8
9,C1QTNF3,"2310005P21Rik, Corcs, Cors, Cors-26, CTRP3",ENSG00000082196,C1q and tumor necrosis factor related protein 3,5,34019448-34043832,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA064996, HPA066011",Uncertain,,Approved,Golgi apparatus,Renal cancer:6.29e-4 (unfavourable),Expressed in all,Tissue enhanced,,esophagus: 38.8,smooth muscle: 33.0,Cell line enriched,195.0,U-266/84: 563.8
