,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,DEFB105B,,ENSG00000186599,Defensin beta 105B,8,7487669-7489593,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,18505,epididymis: 1850.5,all non-specific tissues: 0.0,Not detected,,
1,DEFB106B,,ENSG00000187082,Defensin beta 106B,8,7482504-7486400,Predicted secreted proteins,Evidence at protein level,HPA045592,Supported,,,,,Not detected,Tissue enriched,18221,epididymis: 2094.6,esophagus: 0.1,Cell line enriched,13.0,NB-4: 1.3
2,DEFB128,DEFB-28,ENSG00000185982,Defensin beta 128,20,187853-189681,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,17134,epididymis: 1713.4,all non-specific tissues: 0.0,Not detected,,
3,SPAG11A,"EDDM2A, HE2",ENSG00000178287,Sperm associated antigen 11A,8,7847876-7868867,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA023842,Supported,,,,,Not detected,Tissue enriched,12587,epididymis: 6263.0,"fallopian tube,seminal vesicle: 0.4",Group enriched,8.0,BEWO: 1.8;NB-4: 5.5;RPMI-8226: 1.4;SH-SY5Y: 1.3
4,DEFB118,"C20orf63, DEFB-18, dJ1018D12.3, ESC42",ENSG00000131068,Defensin beta 118,20,31368618-31373923,Predicted secreted proteins,Evidence at protein level,HPA042634,Enhanced,,,,,Not detected,Tissue enriched,12295,epididymis: 1229.5,all non-specific tissues: 0.0,Not detected,,
5,DEFB121,DEFB-21,ENSG00000204548,Defensin beta 121,20,31404845-31412838,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,6458,epididymis: 2005.4,testis: 0.3,Cell line enriched,19.0,NB-4: 1.8
6,DEFB105A,"DEFB-5, DEFB105",ENSG00000186562,Defensin beta 105A,8,7821966-7823889,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,5851,epididymis: 2275.4,esophagus: 0.3,Cell line enhanced,,BEWO: 1.9;NB-4: 5.1;SH-SY5Y: 1.6
7,SPAG11B,"EDDM2B, EP2, EP2C, EP2D, HE2",ENSG00000164871,Sperm associated antigen 11B,8,7442684-7463674,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA023842,Supported,,,,,Not detected,Tissue enriched,5739,epididymis: 6744.6,seminal vesicle: 1.1,Group enriched,7.0,BEWO: 3.9;NB-4: 5.5;RPMI-8226: 2.2;SH-SY5Y: 3.8
8,DEFB110,"DEFB-10, DEFB-11, DEFB111",ENSG00000203970,Defensin beta 110,6,50009138-50021981,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,3627,epididymis: 1094.2,seminal vesicle: 0.3,Not detected,,
9,BSPH1,"BSP1, ELSPBP2",ENSG00000188334,Binder of sperm protein homolog 1,19,47968046-47992170,Predicted secreted proteins,Evidence at protein level,HPA048335,Enhanced,,,,,Not detected,Tissue enriched,3118,epididymis: 468.2,testis: 0.1,Not detected,,
