,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AATK,"AATYK, AATYK1, KIAA0641, LMR1, LMTK1, PPP1R77",ENSG00000181409,Apoptosis associated tyrosine kinase,17,81117295-81166077,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA009073,Enhanced,,Uncertain,Mitochondria,,Mixed,Tissue enhanced,,cerebral cortex: 36.4;duodenum: 23.4,small intestine: 18.3,Group enriched,5.0,CACO-2: 35.4;SH-SY5Y: 15.1
1,ABAT,GABAT,ENSG00000183044,4-aminobutyrate aminotransferase,16,8674565-8784575,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA041528, HPA041690",Enhanced,Supported,Supported,Mitochondria,"Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 164.5;kidney: 135.3;liver: 175.2,thyroid gland: 47.5,Cell line enhanced,,Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
2,ABC7-42404400C24.1,,ENSG00000277758,,10,47750864-47763592,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,"HPA036971, HPA036972, HPA064559",Approved,,Approved,Golgi apparatus,,Not detected,Tissue enhanced,,cerebral cortex: 13.8;lung: 19.3,skin: 5.7,Cell line enriched,7.0,SK-BR-3: 45.1
3,ABCC8,"ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2",ENSG00000006071,ATP binding cassette subfamily C member 8,11,17392885-17476845,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB011451, HPA042318",Approved,,Approved,Nucleoli<br>Golgi apparatus<br>Cytosol,,Tissue enriched,Tissue enhanced,,cerebral cortex: 11.3,adrenal gland: 7.5,Cell line enhanced,,A549: 1.7;AN3-CA: 1.8;SCLC-21H: 9.0
4,AC006486.9,,ENSG00000268643,,19,42234583-42255132,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,cerebral cortex: 7.8,endometrium: 5.1,Cell line enhanced,,RT4: 21.6
5,AC007325.4,,ENSG00000278817,,Unmapped,131494-137392,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Tissue enhanced,,cerebral cortex: 27.4;heart muscle: 34.4;skeletal muscle: 40.5,thyroid gland: 14.9,Cell line enhanced,,A549: 14.5;T-47d: 10.8
6,ACOT7,"ACH1, ACT, BACH, CTE-II, hBACH, LACH1, MGC1126",ENSG00000097021,Acyl-CoA thioesterase 7,1,6264269-6394391,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA025735, HPA025762",Enhanced,,Supported,Nucleoplasm<br>Cytosol,"Renal cancer:2.55e-6 (unfavourable), Liver cancer:2.31e-5 (unfavourable), Lung cancer:1.29e-4 (unfavourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 129.2,small intestine: 62.3,Expressed in all,,
7,ACSBG1,"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352",ENSG00000103740,Acyl-CoA synthetase bubblegum family member 1,15,78167468-78245688,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA041642, CAB045955, HPA058869",Approved,,Approved,Vesicles,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 25.6;skin: 13.3,adrenal gland: 8.1,Cell line enhanced,,NTERA-2: 3.3
8,ADAM11,MDC,ENSG00000073670,ADAM metallopeptidase domain 11,17,44759031-44781846,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA074550,Enhanced,,,,,Mixed,Tissue enhanced,,cerebral cortex: 19.8,heart muscle: 4.0,Cell line enhanced,,HEK93: 18.5
9,ADAM22,MDC2,ENSG00000008277,ADAM metallopeptidase domain 22,7,87934143-88202889,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA050325,,,Approved,Cell Junctions,,Mixed,Tissue enhanced,,cerebral cortex: 47.6,prostate: 18.2,Cell line enhanced,,Karpas-707: 58.7;SH-SY5Y: 81.7
10,ADAP1,"CENTA1, GCS1L",ENSG00000105963,ArfGAP with dual PH domains 1,7,897901-955407,Predicted intracellular proteins,Evidence at protein level,"HPA007033, HPA012049",Enhanced,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:4.13e-5 (favourable), Colorectal cancer:5.25e-4 (unfavourable), Head and neck cancer:9.13e-4 (unfavourable)",Expressed in all,Tissue enhanced,,cerebral cortex: 80.4,colon: 37.9,Cell line enhanced,,A-431: 97.9;CAPAN-2: 69.1;HMC-1: 64.7;THP-1: 87.7
11,ADCY1,"AC1, DFNB44",ENSG00000164742,Adenylate cyclase 1,7,45574140-45723116,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB018364, HPA068274",Uncertain,,Approved,Mitochondria,,Mixed,Tissue enhanced,,cerebral cortex: 35.0,"cervix, uterine: 8.2",Cell line enhanced,,hTERT-HME1: 17.5;SCLC-21H: 16.1;SH-SY5Y: 27.5;SK-MEL-30: 23.8;WM-115: 17.1
12,ADCY2,"AC2, HBAC2, KIAA1060",ENSG00000078295,Adenylate cyclase 2,5,7396208-7830081,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB031482, HPA038015, HPA038483",Approved,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 57.2;skeletal muscle: 23.6,prostate: 8.4,Group enriched,7.0,AF22: 5.6;NTERA-2: 4.3;SK-MEL-30: 3.8
