,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,DEFB119,"DEFB-19, DEFB-20, DEFB120",ENSG00000180483,Defensin beta 119,20,31377164-31390603,Predicted secreted proteins,Evidence at protein level,HPA043059,Supported,,,,,Tissue enriched,Group enriched,3499,epididymis: 2335.6;testis: 472.8,duodenum: 0.4,Not detected,,
1,DEFB123,DEFB-23,ENSG00000180424,Defensin beta 123,20,31440519-31450257,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Group enriched,438,epididymis: 108.1;testis: 178.0,small intestine: 0.3,Not detected,,
2,RFX4,,ENSG00000111783,Regulatory factor X4,12,106582907-106762803,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA050527,Enhanced,,Approved,Nucleus,,Tissue enriched,Group enriched,236,cerebral cortex: 30.8;testis: 135.8,prostate: 0.3,Cell line enriched,13.0,AF22: 47.1
3,MAGEB3,CT3.5,ENSG00000198798,MAGE family member B3,X,30230436-30237492,Predicted intracellular proteins,Evidence at protein level,HPA072203,Approved,,,,,Not detected,Group enriched,156,epididymis: 21.5;testis: 9.5,all non-specific tissues: 0.0,Cell line enriched,10.0,U-266/70: 1.6
4,EPPIN,"CT71, dJ461P17.2, EPPIN1, EPPIN2, EPPIN3, SPINLW1, WAP7, WFDC7",ENSG00000101448,Epididymal peptidase inhibitor,20,45540626-45547752,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,117,epididymis: 414.2;testis: 128.4,fallopian tube: 2.3,Cell line enhanced,,U-87 MG: 2.6
5,MAGEB4,"CT3.6, MGC33144",ENSG00000120289,MAGE family member B4,X,30242052-30244193,Predicted intracellular proteins,Evidence at protein level,HPA030456,Enhanced,,,,,Not detected,Group enriched,117,epididymis: 34.1;testis: 17.0,breast: 0.2,Not detected,,
6,MMD2,PAQR10,ENSG00000136297,Monocyte to macrophage differentiation associated 2,7,4905989-4959213,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,83,cerebral cortex: 41.2;testis: 12.4,adrenal gland: 0.3,Not detected,,
7,EPPIN-WFDC6,SPINLW1-WFDC6,ENSG00000249139,EPPIN-WFDC6 readthrough,20,45536986-45547426,Predicted secreted proteins,Evidence at protein level,,,,,,,Not detected,Group enriched,78,epididymis: 41.7;testis: 58.2,fallopian tube: 0.6,Not detected,,
8,GAGE2E,GAGE8,ENSG00000275113,G antigen 2E,X,49341192-49345922,Predicted intracellular proteins,Evidence at transcript level,HPA043232,Approved,,Uncertain,Golgi apparatus<br>Plasma membrane<br>Cytosol,,Not detected,Group enriched,60,stomach: 15.4;testis: 8.6,small intestine: 0.2,Group enriched,5.0,AN3-CA: 943.7;K-562: 455.5;T-47d: 231.8
9,GBX1,,ENSG00000164900,Gastrulation brain homeobox 1,7,151148589-151174745,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA055783,Uncertain,,,,,Tissue enhanced,Group enriched,57,skeletal muscle: 4.4;testis: 6.9,all non-specific tissues: 0.0,Cell line enhanced,,HMC-1: 1.4
10,MCHR2,"GPR145, MCH2, MCH2R, SLT",ENSG00000152034,Melanin concentrating hormone receptor 2,6,99919910-99994247,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,47,cerebral cortex: 8.6;testis: 4.3,"colon,small intestine: 0.1",Not detected,,
11,ZIC5,,ENSG00000139800,Zic family member 5,13,99962964-99971909,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA074045,,,Uncertain,Nucleoplasm<br>Vesicles,,Mixed,Group enriched,45,cerebral cortex: 2.3;testis: 6.6,all non-specific tissues: 0.0,Cell line enhanced,,AF22: 21.7;NTERA-2: 15.0;SCLC-21H: 100.6
12,DNAJC5G,"CSP-gamma, FLJ40417",ENSG00000163793,DnaJ heat shock protein family (Hsp40) member C5 gamma,2,27275421-27281499,Predicted membrane proteins,Evidence at transcript level,HPA041445,Approved,,,,,Not detected,Group enriched,41,epididymis: 65.0;testis: 42.7,cerebral cortex: 1.3,Cell line enhanced,,HAP1: 1.0
13,DAZ4,,ENSG00000205916,Deleted in azoospermia 4,Y,24833843-24907040,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA047113,Approved,,,,,Not detected,Group enriched,40,stomach: 22.3;testis: 21.5,skin: 0.5,Group enriched,123.0,U-266/70: 117.1;U-266/84: 107.2
14,NAA11,"ARD1B, ARD2, hARD2",ENSG00000156269,"N(alpha)-acetyltransferase 11, NatA catalytic subunit",4,79225694-79326050,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA035922,Approved,,,,,Tissue enhanced,Group enriched,37,placenta: 6.1;testis: 11.4,"cerebral cortex,endometrium,parathyroid gland,smooth muscle,thyroid gland: 0.2",Cell line enhanced,,K-562: 11.1;U-266/70: 25.3;U-266/84: 8.0
15,PHF24,KIAA1045,ENSG00000122733,PHD finger protein 24,9,34957608-34982544,Predicted intracellular proteins,Evidence at protein level,HPA020974,Approved,,,,,Tissue enhanced,Group enriched,36,cerebral cortex: 58.6;testis: 25.9,skin: 1.1,Cell line enhanced,,WM-115: 1.1
16,POTEH,"A26C3, ACTBL1, CT104.7, POTE22",ENSG00000198062,POTE ankyrin domain family member H,22,15690026-15721631,Predicted intracellular proteins,Evidence at transcript level,HPA042822,Uncertain,,,,,Tissue enriched,Group enriched,36,prostate: 5.7;testis: 1.4,all non-specific tissues: 0.0,Cell line enhanced,,U-2 OS: 1.1
17,U82695.5,,ENSG00000214897,,X,153395640-153401420,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Mixed,Group enriched,35,epididymis: 5.8;ovary: 4.7;testis: 10.9,fallopian tube: 0.2,Not detected,,
18,RP11-14J7.7,,ENSG00000259060,Probable ribonuclease 11 precursor ,14,20582892-20609795,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Group enriched,34,epididymis: 5.4;testis: 1.2,all non-specific tissues: 0.0,Not detected,,
19,XX-FW81066F1.2,,ENSG00000283463,,X,149929645-149931287,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Group enriched,33,adrenal gland: 4.8;testis: 17.6,skin: 0.3,Not detected,,
20,ELAVL2,"HEL-N1, HuB",ENSG00000107105,ELAV like RNA binding protein 2,9,23690104-23826337,Predicted intracellular proteins,Evidence at protein level,"CAB022222, HPA063001",Enhanced,,Approved,Nucleoplasm<br>Cytosol,,Tissue enhanced,Group enriched,32,cerebral cortex: 37.9;testis: 80.3,adrenal gland: 1.8,Cell line enhanced,,AF22: 36.8;SCLC-21H: 145.6
21,TEX15,CT42,ENSG00000133863,"Testis expressed 15, meiosis and synapsis associated",8,30831544-30890606,Predicted intracellular proteins,Evidence at protein level,"HPA036799, HPA036800",Enhanced,,Approved,Nuclear speckles,,Not detected,Group enriched,32,endometrium: 11.0;smooth muscle: 8.3;testis: 22.3,"cerebral cortex,gallbladder: 0.4",Cell line enhanced,,HAP1: 8.7;HEL: 17.3;K-562: 4.9;SCLC-21H: 4.9
22,C1orf194,,ENSG00000179902,Chromosome 1 open reading frame 194,1,109105951-109113857,Predicted intracellular proteins,Evidence at protein level,"HPA031144, HPA049684",Enhanced,,Uncertain,Nuclear speckles<br>Cytosol,Endometrial cancer:1.36e-4 (favourable),Group enriched,Group enriched,31,fallopian tube: 198.1;testis: 199.1,lung: 6.4,Cell line enhanced,,AF22: 1.5;SCLC-21H: 2.5
23,CFAP206,"C6orf165, dJ382I10.1, FLJ25974",ENSG00000272514,Cilia and flagella associated protein 206,6,87407983-87464465,Predicted intracellular proteins,Evidence at protein level,"HPA044891, HPA072261",Approved,,Approved,Nucleoplasm<br>Cell Junctions,,Not detected,Group enriched,30,fallopian tube: 35.9;testis: 106.8,"lung,thyroid gland: 2.3",Cell line enhanced,,MCF7: 1.7;RPTEC TERT1: 2.0;T-47d: 4.2
24,EGR4,"NGFI-C, PAT133",ENSG00000135625,Early growth response 4,2,73290929-73293705,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA028983,Enhanced,,,,,Mixed,Group enriched,29,cerebral cortex: 9.7;testis: 3.2,"adipose tissue,appendix: 0.2",Cell line enriched,6.0,HMC-1: 1.4
25,HIPK4,FLJ32818,ENSG00000160396,Homeodomain interacting protein kinase 4,19,40379271-40390187,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA027733,Uncertain,,,,,Not detected,Group enriched,29,cerebral cortex: 4.7;testis: 14.6,endometrium: 0.3,Not detected,,
26,AC133551.1,,ENSG00000274175,,Unmapped,17234-19833,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Group enriched,28,epididymis: 7.4;testis: 4.1,placenta: 0.2,Not detected,,
27,DAZ2,"MGC126442, pDP1678",ENSG00000205944,Deleted in azoospermia 2,Y,23219434-23291356,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,HPA047113,Approved,,,,,Not detected,Group enriched,27,stomach: 15.5;testis: 7.2,skin: 0.4,Cell line enriched,9.0,SK-MEL-30: 1.4
28,SOHLH1,"bA100C15.3, bHLHe80, C9orf157, NOHLH, SPATA27, TEB2",ENSG00000165643,Spermatogenesis and oogenesis specific basic helix-loop-helix 1,9,135693407-135699528,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA059439,,,Approved,Nuclear speckles,,Mixed,Group enriched,27,cerebral cortex: 6.3;testis: 13.4,skin: 0.3,Group enriched,36.0,CACO-2: 14.6;U-266/84: 19.8
29,TTC29,NYD-SP14,ENSG00000137473,Tetratricopeptide repeat domain 29,4,146706638-146945882,Predicted intracellular proteins,Evidence at protein level,"HPA037006, HPA061473",Uncertain,,,,,Tissue enhanced,Group enriched,27,fallopian tube: 34.2;testis: 151.1,lung: 3.4,Cell line enhanced,,ASC TERT1: 3.4;hTERT-HME1: 1.2;U-266/70: 1.6;U-87 MG: 1.0
30,TRIML2,"FLJ25801, SPRYD6",ENSG00000179046,Tripartite motif family like 2,4,188091273-188109603,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA043838,Uncertain,,Approved,Plasma membrane<br>Cytosol,,Tissue enriched,Group enriched,26,placenta: 5.9;testis: 3.4,"cerebral cortex,lung: 0.1",Cell line enhanced,,A549: 30.5;BEWO: 17.7;hTCEpi: 15.4;NTERA-2: 34.0
31,TRPM1,"CSNB1C, LTRPC1, MLSN1",ENSG00000134160,Transient receptor potential cation channel subfamily M member 1,15,31001061-31161273,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,"HPA014779, HPA014785",Supported,,Uncertain,Nucleoplasm<br>Cytosol,,Tissue enriched,Group enriched,26,skin: 4.8;testis: 2.1,kidney: 0.1,Cell line enriched,91.0,SK-MEL-30: 9.1
32,ADGB,"C6orf103, CAPN16, dJ408K24.1, FLJ23121",ENSG00000118492,Androglobin,6,146598965-146815462,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA036340, HPA036341",Enhanced,,Uncertain,Nucleoplasm<br>Mitochondria,,Not detected,Group enriched,25,fallopian tube: 14.9;testis: 58.5,lung: 1.4,Cell line enriched,25.0,HDLM-2: 13.3
33,CDY2A,CDY2,ENSG00000182415,Chromodomain Y-linked 2A,Y,18025787-18028597,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,24,epididymis: 1.3;testis: 3.5,all non-specific tissues: 0.0,Not detected,,
34,C4orf22,,ENSG00000197826,Chromosome 4 open reading frame 22,4,80335720-80963756,Predicted intracellular proteins,Evidence at transcript level,HPA043383,Approved,,Approved,Plasma membrane<br>Cytosol,,Not detected,Group enriched,23,fallopian tube: 30.6;testis: 47.6,lung: 1.7,Cell line enhanced,,A-431: 1.1;BJ: 1.4;SCLC-21H: 1.2
35,CLEC18C,MGC34761,ENSG00000157335,C-type lectin domain family 18 member C,16,70173322-70187361,Predicted secreted proteins,Evidence at transcript level,HPA048976,Uncertain,,,,,Tissue enriched,Group enriched,23,kidney: 11.4;testis: 3.6,duodenum: 0.3,Not detected,,
