,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,TGM4,TGP,ENSG00000163810,Transglutaminase 4,3,44874608-44914990,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA032072, CAB033571",Enhanced,,,,,Tissue enriched,Tissue enriched,465,prostate: 689.9,adrenal gland: 1.4,Cell line enhanced,,BEWO: 4.7;NB-4: 1.7;RPMI-8226: 1.3;SH-SY5Y: 1.5
1,KLK3,"APS, PSA",ENSG00000142515,Kallikrein related peptidase 3,19,50854915-50860764,"Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000070, HPA000764",Enhanced,,,,,Tissue enriched,Tissue enriched,365,prostate: 12913.0,seminal vesicle: 35.3,Group enriched,165.0,BEWO: 30.5;NB-4: 17.7;RPMI-8226: 12.8;SH-SY5Y: 11.1;U-2197: 10.1
2,KLK2,,ENSG00000167751,Kallikrein related peptidase 2,19,50861568-50880567,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA000764,Supported,,,,,Tissue enriched,Tissue enriched,192,prostate: 867.2,testis: 4.5,Cell line enhanced,,NB-4: 3.6
3,ACPP,"ACP-3, ACP3, PAP",ENSG00000014257,"Acid phosphatase, prostate",3,132317367-132368298,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB000071, HPA004335, HPA063916",Enhanced,,,,,Tissue enriched,Tissue enriched,145,prostate: 6030.6,esophagus: 41.4,Cell line enhanced,,BJ hTERT+: 14.1;RPMI-8226: 39.1;U-87 MG: 14.6
4,RLN1,H1,ENSG00000107018,Relaxin 1,9,5334969-5339873,"Plasma proteins, Predicted secreted proteins",Evidence at transcript level,,,,,,,Tissue enriched,Tissue enriched,64,prostate: 40.0,testis: 0.6,Cell line enhanced,,HEL: 1.0
5,KLK4,"EMSP, EMSP1, KLK-L1, PRSS17, PSTS",ENSG00000167749,Kallikrein related peptidase 4,19,50906352-50910738,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA051839,Enhanced,,,,,Tissue enriched,Tissue enriched,37,prostate: 406.5,skin: 10.8,Cell line enhanced,,CAPAN-2: 5.7;HaCaT: 7.0
6,SLC45A3,"IPCA-2, IPCA-6, IPCA-8, PCANAP2, PCANAP6, PCANAP8, prostein",ENSG00000158715,Solute carrier family 45 member 3,1,205657851-205680459,"Cancer-related genes, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA019073, HPA019075",Enhanced,,Approved,Nucleoplasm<br>Vesicles,"Endometrial cancer:4.04e-5 (unfavourable), Urothelial cancer:7.33e-5 (favourable)",Tissue enriched,Tissue enriched,30,prostate: 505.2,stomach: 16.5,Cell line enriched,28.0,HMC-1: 749.2
7,MSMB,"IGBF, MSP, MSPB, PN44, PRPS, PSP, PSP-94, PSP57, PSP94",ENSG00000263639,Microseminoprotein beta,10,46033307-46046269,"Cancer-related genes, Disease related genes, Predicted secreted proteins",Evidence at protein level,"CAB026357, HPA051257",Enhanced,,,,Urothelial cancer:7.19e-4 (favourable),Tissue enriched,Tissue enriched,26,prostate: 15294.0,stomach: 588.5,Cell line enhanced,,BEWO: 24.7;NB-4: 13.6;RPMI-8226: 7.7;SH-SY5Y: 6.3;U-2197: 11.3
8,CHRNA2,,ENSG00000120903,Cholinergic receptor nicotinic alpha 2 subunit,8,27459761-27479883,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,24,prostate: 46.8,breast: 1.9,Not detected,,
9,SP8,,ENSG00000164651,Sp8 transcription factor,7,20782283-20786886,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA054006,Uncertain,,Approved,Nucleus,,Tissue enhanced,Tissue enriched,12,prostate: 10.5,skin: 0.8,Cell line enhanced,,HUVEC TERT2: 5.3;NTERA-2: 13.0;PC-3: 20.5
