,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,SFTA3,"NANCI, SFTPH",ENSG00000229415,Surfactant associated 3,14,36473288-36513829,Predicted intracellular proteins,Evidence at protein level,,,,,,Lung cancer:8.29e-4 (favourable),Group enriched,Group enriched,467,lung: 85.7;thyroid gland: 49.2,stomach: 0.1,Cell line enriched,234.0,SCLC-21H: 23.3
1,NKX2-1,"BCH, NKX2A, TITF1, TTF-1, TTF1",ENSG00000136352,NK2 homeobox 1,14,36516392-36521149,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB000078, CAB053633, HPA074316",Enhanced,,Uncertain,Golgi apparatus<br>Vesicles,,Group enriched,Group enriched,177,lung: 101.3;thyroid gland: 103.5,stomach: 0.5,Cell line enriched,36.0,SCLC-21H: 119.8
2,CLDN18,SFTPJ,ENSG00000066405,Claudin 18,3,137998735-138033655,Predicted membrane proteins,Evidence at protein level,"CAB013010, CAB013243, HPA018446",Enhanced,,,,,Group enriched,Group enriched,85,lung: 361.8;stomach: 689.7,heart muscle: 6.1,Not detected,,
3,C4BPA,C4BP,ENSG00000123838,Complement component 4 binding protein alpha,1,207104262-207144972,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA000926, HPA001578",Enhanced,,,,"Endometrial cancer:6.37e-5 (favourable), Liver cancer:2.24e-4 (favourable)",Tissue enriched,Group enriched,65,liver: 997.5;lung: 262.3,"cervix, uterine: 9.6",Cell line enriched,6.0,Hep G2: 25.8
4,SCN1A,"FEB3, GEFSP2, HBSCI, NAC1, Nav1.1, SCN1, SMEI",ENSG00000144285,Sodium voltage-gated channel alpha subunit 1,2,165989160-166149214,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,HPA078664,,,Supported,Nucleoplasm<br>Nuclear bodies<br>Plasma membrane,,Tissue enriched,Group enriched,41,cerebral cortex: 10.3;fallopian tube: 2.9;lung: 2.2,"adrenal gland,placenta,testis: 0.1",Cell line enhanced,,AF22: 1.1;ASC TERT1: 4.4;Hep G2: 1.1
5,ROS1,"c-ros-1, MCF3, ROS",ENSG00000047936,"ROS proto-oncogene 1, receptor tyrosine kinase",6,117288300-117425855,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA049098, HPA072424",Uncertain,,Approved,Vesicles,,Tissue enriched,Group enriched,18,epididymis: 70.9;lung: 47.2,seminal vesicle: 3.2,Cell line enhanced,,HSkMC: 7.5;hTCEpi: 15.7;LHCN-M2: 12.7
6,AQP4,MIWC,ENSG00000171885,Aquaporin 4,18,26852038-26865818,"Predicted membrane proteins, Transporters",Evidence at protein level,"CAB005079, HPA014784, CAB058689",Enhanced,Supported,Supported,Plasma membrane<br>Cell Junctions,,Tissue enriched,Group enriched,16,cerebral cortex: 630.0;lung: 171.9,thyroid gland: 24.4,Cell line enhanced,,AF22: 2.4;RPTEC TERT1: 1.0
7,CHIT1,"CHI3, CHIT",ENSG00000133063,Chitinase 1,1,203212827-203273641,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA010575,Approved,,,,Cervical cancer:2.02e-4 (favourable),Tissue enhanced,Group enriched,14,"bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0","prostate,thyroid gland: 1.8",Not detected,,
8,GGTLC1,"dJ831C21.1, dJ831C21.2, GGTLA3, GGTLA4",ENSG00000149435,Gamma-glutamyltransferase light chain 1,20,23985050-23988779,Predicted intracellular proteins,Evidence at protein level,"HPA045635, HPA047534",Uncertain,,,,,Tissue enriched,Group enriched,14,lung: 38.7;testis: 15.8,thyroid gland: 1.9,Not detected,,
9,RASGRF1,"CDC25, CDC25L, GNRP, GRF1, GRF55, H-GRF55, PP13187",ENSG00000058335,Ras protein specific guanine nucleotide releasing factor 1,15,78959947-79090773,"Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"CAB010413, HPA041965",Approved,,Supported,Golgi apparatus,Endometrial cancer:6.14e-6 (favourable),Mixed,Group enriched,14,cerebral cortex: 30.5;lung: 11.3,lymph node: 1.5,Cell line enhanced,,A-431: 7.3;BEWO: 7.5;Karpas-707: 7.5;RPMI-8226: 9.0;U-2 OS: 15.8
10,CHIA,"AMCase, CHIT2, TSA1902",ENSG00000134216,"Chitinase, acidic",1,111290862-111320566,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA059193,Approved,,,,,Tissue enhanced,Group enriched,11,lung: 15.6;stomach: 8.2,endometrium: 1.1,Cell line enhanced,,ASC diff: 1.1
11,UPK3B,"FLJ32198, MGC10902, p35, UPIIIb",ENSG00000243566,Uroplakin 3B,7,76510428-76516521,"Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA010506,Approved,,Approved,Nucleus<br>Vesicles<br>Cytosol,,Group enriched,Group enriched,11,esophagus: 12.4;lung: 29.8;urinary bladder: 11.0,tonsil: 1.6,Group enriched,8.0,A549: 12.0;CAPAN-2: 41.9;HaCaT: 8.6;RT4: 26.3;T-47d: 25.4
12,C6orf223,MGC45491,ENSG00000181577,Chromosome 6 open reading frame 223,6,44000580-44005958,Predicted intracellular proteins,Evidence at transcript level,"HPA035765, HPA046117",Uncertain,,Approved,Nucleoli fibrillar center,"Renal cancer:9.38e-5 (unfavourable), Liver cancer:4.59e-4 (unfavourable)",Mixed,Group enriched,10,breast: 22.7;lung: 5.6,duodenum: 1.3,Cell line enhanced,,A-431: 21.4;RPTEC TERT1: 25.1;THP-1: 9.6
