,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABCC4,"EST170205, MOAT-B, MOATB, MRP4",ENSG00000125257,ATP binding cassette subfamily C member 4,13,95019829-95301446,"Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA002476,Enhanced,,,,"Renal cancer:2.25e-10 (favourable), Endometrial cancer:9.89e-4 (unfavourable)",Tissue enriched,Tissue enhanced,,prostate: 70.4,epididymis: 23.6,Group enriched,5.0,HEL: 277.0;HMC-1: 278.6
1,ADRA1A,"ADRA1C, ADRA1L1",ENSG00000120907,Adrenoceptor alpha 1A,8,26748150-26867273,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"HPA029678, HPA029679",Approved,,,,,Tissue enhanced,Tissue enhanced,,adipose tissue: 22.6;liver: 31.6;prostate: 20.8,seminal vesicle: 19.1,Not detected,,
2,ADRA1D,"ADRA1, ADRA1A, ADRA1R",ENSG00000171873,Adrenoceptor alpha 1D,20,4220631-4249074,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA038789,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 4.3;prostate: 4.5",seminal vesicle: 2.6,Cell line enhanced,,BJ: 6.7;CAPAN-2: 3.1;fHDF/TERT166: 3.7
3,ALDH1A3,"ALDH6, RALDH3",ENSG00000184254,Aldehyde dehydrogenase 1 family member A3,15,100877714-100916626,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA046271, HPA064749",Enhanced,,Enhanced,Nucleus<br>Cytosol,,Group enriched,Tissue enhanced,,prostate: 217.5,adipose tissue: 74.8,Cell line enhanced,,HaCaT: 383.6;HBEC3-KT: 772.3;U-2197: 565.6;U-87 MG: 467.6;WM-115: 498.3
4,ALOX15B,15-LOX-2,ENSG00000179593,"Arachidonate 15-lipoxygenase, type B",17,8039017-8049134,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA010562,Enhanced,,Supported,Plasma membrane<br>Cytosol,,Expressed in all,Tissue enhanced,,breast: 145.0;prostate: 115.3,lung: 26.1,Group enriched,15.0,HHSteC: 6.5;HSkMC: 11.9;hTCEpi: 25.0
5,ANO7,"IPCA-5, NGEP, PCANAP5, PCANAP5L, TMEM16G",ENSG00000146205,Anoctamin 7,2,241188509-241225377,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA035730,Uncertain,,,,,Tissue enriched,Tissue enhanced,,prostate: 100.6;stomach: 26.0,small intestine: 15.4,Cell line enhanced,,BEWO: 2.1;Hep G2: 1.5
6,APELA,"ELA, Ende, tdl",ENSG00000248329,Apelin receptor early endogenous ligand,4,164877004-164898965,Predicted secreted proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,prostate: 6.3,kidney: 2.1,Cell line enriched,5.0,NTERA-2: 39.7
7,ARG2,,ENSG00000081181,Arginase 2,14,67619798-67651720,"Cancer-related genes, Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA000663, CAB009435",Enhanced,,Supported,Mitochondria,,Expressed in all,Tissue enhanced,,parathyroid gland: 94.0;prostate: 161.0;thyroid gland: 157.2,kidney: 63.4,Cell line enhanced,,HAP1: 54.8
8,ARHGAP6,rhoGAPX-1,ENSG00000047648,Rho GTPase activating protein 6,X,11137543-11665701,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA036779, HPA064390",Enhanced,,,,Renal cancer:1.55e-8 (favourable),Tissue enhanced,Tissue enhanced,,prostate: 44.3;seminal vesicle: 43.3,thyroid gland: 42.4,Cell line enhanced,,ASC TERT1: 23.8;HEL: 32.1;HMC-1: 21.3;HSkMC: 24.5;K-562: 23.6
9,ARHGEF38,FLJ20184,ENSG00000236699,Rho guanine nucleotide exchange factor 38,4,105552620-105708093,Predicted intracellular proteins,Evidence at protein level,"HPA036510, HPA045484",Uncertain,,Approved,Nucleoplasm<br>Centrosome,,Tissue enhanced,Tissue enhanced,,breast: 10.0;prostate: 9.3,epididymis: 6.8,Group enriched,8.0,RPTEC TERT1: 11.0;SK-BR-3: 6.0;T-47d: 7.9
10,AZGP1,"ZA2G, ZAG",ENSG00000160862,"Alpha-2-glycoprotein 1, zinc-binding",7,99966720-99976157,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA012582, CAB016087, CAB032276",Enhanced,,,,"Renal cancer:1.53e-4 (favourable), Liver cancer:2.90e-4 (favourable)",Group enriched,Tissue enhanced,,breast: 1201.5;liver: 1272.1;prostate: 1490.2;salivary gland: 1423.5,kidney: 294.4,Cell line enhanced,,Hep G2: 33.7;RPMI-8226: 79.5;T-47d: 35.0
11,BEND4,"CCDC4, FLJ35632, FLJ43965",ENSG00000188848,BEN domain containing 4,4,42110938-42152878,Predicted intracellular proteins,Evidence at protein level,HPA036850,Uncertain,,Approved,Nucleus<br>Nucleoli fibrillar center<br>Cytosol,,Group enriched,Tissue enhanced,,prostate: 5.3;testis: 17.7,lymph node: 2.5,Cell line enhanced,,HAP1: 35.3;HEL: 19.3;MOLT-4: 10.7;U-698: 9.6
12,BMPR1B,"ALK6, CDw293",ENSG00000138696,Bone morphogenetic protein receptor type 1B,4,94757968-95158448,"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Endometrial cancer:2.84e-4 (favourable),Tissue enhanced,Tissue enhanced,,"cervix, uterine: 37.2;prostate: 37.0",seminal vesicle: 21.0,Cell line enhanced,,A549: 21.1;SH-SY5Y: 20.1
13,C1orf116,"FLJ36507, MGC2742, MGC4309, SARG",ENSG00000182795,Chromosome 1 open reading frame 116,1,207018521-207032756,Predicted intracellular proteins,Evidence at protein level,"HPA011888, HPA011889",Enhanced,,Supported,Plasma membrane<br>Cytosol,Renal cancer:1.01e-5 (favourable),Mixed,Tissue enhanced,,esophagus: 112.4;lung: 109.2;prostate: 82.0,stomach: 54.9,Group enriched,5.0,A-431: 50.3;CAPAN-2: 87.3;HaCaT: 108.7;HBEC3-KT: 85.0;hTCEpi: 44.4;hTERT-HME1: 26.3;RPTEC TERT1: 42.8
14,CACNG4,"MGC11138, MGC24983",ENSG00000075461,Calcium voltage-gated channel auxiliary subunit gamma 4,17,66964910-67033398,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA005803, HPA065370",Enhanced,,Approved,Cytosol,,Mixed,Tissue enhanced,,cerebral cortex: 48.6;prostate: 20.3,lung: 9.2,Cell line enriched,7.0,SH-SY5Y: 436.5
15,CDC42EP5,"Borg3, CEP5",ENSG00000167617,CDC42 effector protein 5,19,54465026-54473264,Predicted intracellular proteins,Evidence at protein level,HPA043449,Approved,,,,"Renal cancer:2.79e-5 (unfavourable), Urothelial cancer:1.36e-4 (favourable)",Expressed in all,Tissue enhanced,,colon: 3.1;prostate: 2.4,adipose tissue: 0.9,Not detected,,
16,CDH26,VR20,ENSG00000124215,Cadherin 26,20,59958427-60034011,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,"HPA015722, HPA047578",Uncertain,,Approved,Plasma membrane<br>Microtubules,"Lung cancer:3.75e-4 (favourable), Cervical cancer:7.62e-4 (favourable)",Group enriched,Tissue enhanced,,prostate: 19.1,urinary bladder: 6.1,Cell line enriched,6.0,RT4: 42.4
17,CDH7,,ENSG00000081138,Cadherin 7,18,65750252-65890341,Predicted membrane proteins,Evidence at protein level,HPA061419,Approved,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 2.8;prostate: 1.3,testis: 0.7,Cell line enhanced,,AF22: 15.0;Karpas-707: 4.0;RH-30: 7.0;U-87 MG: 3.3
18,CFAP69,"C7orf63, FAP69, FLJ21062",ENSG00000105792,Cilia and flagella associated protein 69,7,90245174-90311063,Predicted intracellular proteins,Evidence at protein level,HPA062883,Uncertain,,,,,Tissue enhanced,Tissue enhanced,,prostate: 25.2,fallopian tube: 17.9,Mixed,,
19,CFC1,"CRYPTIC, HTX2",ENSG00000136698,"Cripto, FRL-1, cryptic family 1",2,130592168-130599575,"Disease related genes, Predicted secreted proteins",Evidence at protein level,HPA041773,Uncertain,,,,,Tissue enriched,Tissue enhanced,,pancreas: 4.1;prostate: 10.4;stomach: 8.0,fallopian tube: 1.6,Group enriched,18.0,RPMI-8226: 13.6;SCLC-21H: 12.6
20,CHRNA1,CHRNA,ENSG00000138435,Cholinergic receptor nicotinic alpha 1 subunit,2,174747592-174787935,"Disease related genes, Predicted membrane proteins, Transporters",Evidence at protein level,HPA071554,Enhanced,,Supported,Plasma membrane,,Tissue enhanced,Tissue enhanced,,prostate: 3.2;skeletal muscle: 7.2,colon: 1.5,Group enriched,23.0,LHCN-M2: 370.9;RH-30: 348.5
21,CLUL1,,ENSG00000079101,Clusterin like 1,18,596988-650334,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB025264, HPA075240",Supported,,Approved,Endoplasmic reticulum<br>Plasma membrane,,Mixed,Tissue enhanced,,prostate: 13.9,thyroid gland: 11.5,Cell line enhanced,,Hep G2: 23.4
22,CPA6,CPAH,ENSG00000165078,Carboxypeptidase A6,8,67422038-67746385,"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,prostate: 4.9;rectum: 2.9,colon: 1.7,Cell line enhanced,,CACO-2: 2.9;EFO-21: 1.8;Hep G2: 3.6
23,CPAMD8,"K-CAP, KIAA1283, VIP",ENSG00000160111,"C3 and PZP like, alpha-2-macroglobulin domain containing 8",19,16892947-17026815,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA031327, HPA031328, HPA031330",Uncertain,,,,,Mixed,Tissue enhanced,,prostate: 25.1;seminal vesicle: 52.1,lung: 22.8,Group enriched,10.0,BEWO: 18.7;EFO-21: 11.7;T-47d: 32.2
24,CPNE4,"COPN4, CPN4",ENSG00000196353,Copine 4,3,131533555-132285410,Predicted intracellular proteins,Evidence at protein level,"HPA032036, HPA078300",Enhanced,,Approved,Nucleoplasm<br>Cytosol,,Tissue enriched,Tissue enhanced,,cerebral cortex: 12.1;prostate: 40.8,seminal vesicle: 5.8,Cell line enhanced,,A549: 5.6;AF22: 5.6
25,CRISPLD1,"Cocoacrisp, DKFZp762F133, LCRISP1",ENSG00000121005,Cysteine rich secretory protein LCCL domain containing 1,8,74984515-75034558,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA024725,Uncertain,,,,,Tissue enhanced,Tissue enhanced,,prostate: 39.6,breast: 35.0,Group enriched,5.0,AF22: 132.6;SH-SY5Y: 76.5
