,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,LCE1D,LEP4,ENSG00000172155,Late cornified envelope 1D,1,152796751-152798181,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,306,skin: 101.7,skeletal muscle: 0.3,Not detected,,
1,LCE1E,LEP5,ENSG00000186226,Late cornified envelope 1E,1,152786214-152788426,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,120,skin: 74.0,breast: 0.6,Cell line enhanced,,Daudi: 1.3;HaCaT: 8.8;RT4: 1.8
2,PSORS1C2,"C6orf17, SPR1",ENSG00000204538,Psoriasis susceptibility 1 candidate 2,6,31137536-31139350,Predicted secreted proteins,Evidence at protein level,HPA061228,Enhanced,,,,,Tissue enhanced,Tissue enriched,65,skin: 24.0,testis: 0.3,Not detected,,
3,CASP14,"MGC119078, MGC119079, MICE",ENSG00000105141,Caspase 14,19,15049384-15058293,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB010059, HPA027062",Enhanced,,Approved,Nucleus<br>Mitochondria<br>Cytosol,"Pancreatic cancer:5.96e-4 (unfavourable), Lung cancer:7.59e-4 (unfavourable)",Tissue enhanced,Tissue enriched,55,skin: 558.6,breast: 10.1,Cell line enriched,6.0,hTCEpi: 34.2
4,WFDC5,"dJ211D12.5, WAP1",ENSG00000175121,WAP four-disulfide core domain 5,20,45109452-45115172,Predicted secreted proteins,Evidence at transcript level,,,,,,Renal cancer:2.32e-5 (unfavourable),Tissue enhanced,Tissue enriched,35,skin: 468.5,breast: 13.2,Not detected,,
5,RP11-98L5.5,,ENSG00000236543,,9,135604345-135618952,Predicted secreted proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enriched,34,skin: 22.9,"parathyroid gland,seminal vesicle: 0.6",Cell line enriched,21.0,BEWO: 7.4
6,TYR,"OCA1, OCA1A, OCAIA",ENSG00000077498,Tyrosinase,11,89177452-89295759,"Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins",Evidence at protein level,"CAB000079, HPA043241, HPA050889",Enhanced,,Enhanced,Vesicles,,Tissue enriched,Tissue enriched,33,skin: 29.8,breast: 0.9,Cell line enriched,1211.0,SK-MEL-30: 256.2
7,DCT,TYRP2,ENSG00000080166,Dopachrome tautomerase,13,94436808-94479682,"Enzymes, Predicted membrane proteins",Evidence at protein level,"HPA010743, HPA010800, CAB017634",Enhanced,,,,,Tissue enriched,Tissue enriched,31,skin: 126.8,breast: 4.0,Cell line enriched,177.0,SK-MEL-30: 202.8
8,KRT10,"CK10, K10, KPP",ENSG00000186395,Keratin 10,17,40818117-40822595,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000132, HPA012014",Enhanced,,,,Renal cancer:9.32e-5 (unfavourable),Expressed in all,Tissue enriched,31,skin: 18886.8,breast: 612.8,Expressed in all,,
9,FLG,,ENSG00000143631,Filaggrin,1,152302175-152325203,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002210, HPA027505, HPA030188, HPA030189",Enhanced,,Supported,Vesicles,,Tissue enriched,Tissue enriched,26,skin: 548.3,breast: 21.1,Cell line enhanced,,HaCaT: 8.9;NTERA-2: 3.1;U-2 OS: 2.5;U-2197: 2.4
10,KRT1,"EHK1, KRT1A",ENSG00000167768,Keratin 1,12,52674736-52680407,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002153, HPA017917, HPA062908",Enhanced,,,,,Group enriched,Tissue enriched,25,skin: 15454.7,breast: 622.4,Group enriched,36.0,HaCaT: 84.1;hTCEpi: 28.5
11,MLANA,MART1,ENSG00000120215,Melan-A,9,5890802-5910606,Predicted membrane proteins,Evidence at protein level,"CAB000057, HPA048662",Enhanced,,,,,Tissue enriched,Tissue enriched,25,skin: 50.4,breast: 1.9,Cell line enriched,330.0,SK-MEL-30: 523.2
12,THEM5,FLJ37964,ENSG00000196407,Thioesterase superfamily member 5,1,151847263-151853697,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Expressed in all,Tissue enriched,25,skin: 204.8,cerebral cortex: 8.3,Cell line enriched,6.0,HDLM-2: 64.7
13,KRT2,"KRT2A, KRTE",ENSG00000172867,Keratin 2,12,52644558-52652164,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA006299, CAB037321",Enhanced,,Approved,Golgi apparatus<br>Intermediate filaments<br>Cytosol,,Group enriched,Tissue enriched,23,skin: 2600.1,breast: 112.2,Cell line enhanced,,HEL: 1.9
14,LCE1F,LEP6,ENSG00000240386,Late cornified envelope 1F,1,152776372-152776728,Predicted intracellular proteins,Evidence at protein level,,,,,,,Group enriched,Tissue enriched,21,skin: 246.9,breast: 11.9,Cell line enhanced,,BJ hTERT+: 5.4;hTEC/SVTERT24-B: 1.1;hTERT-HME1: 2.3
15,CDSN,D6S586E,ENSG00000204539,Corneodesmosin,6,31115090-31120446,Predicted secreted proteins,Evidence at protein level,"HPA044730, HPA054184",Enhanced,,,,,Group enriched,Tissue enriched,20,skin: 77.0,epididymis: 3.7,Cell line enriched,7.0,A-431: 1.4
16,DSG1,"CDHF4, DSG",ENSG00000134760,Desmoglein 1,18,31318089-31357029,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB009394, HPA022128",Enhanced,,,,Urothelial cancer:2.99e-4 (unfavourable),Group enriched,Tissue enriched,20,skin: 725.7,esophagus: 36.4,Cell line enriched,17.0,hTCEpi: 6.6
17,KPRP,C1orf45,ENSG00000203786,Keratinocyte proline rich protein,1,152759561-152762052,Predicted intracellular proteins,Evidence at protein level,"HPA031988, HPA031990",Enhanced,,,,,Group enriched,Tissue enriched,19,skin: 267.5,breast: 13.8,Cell line enhanced,,hTEC/SVTERT24-B: 1.9;U-2197: 1.1
18,KRT14,"EBS3, EBS4",ENSG00000186847,Keratin 14,17,41582279-41586921,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000134, HPA000452, HPA000539, HPA023040",Enhanced,,Enhanced,Intermediate filaments,Breast cancer:2.66e-4 (favourable),Group enriched,Tissue enriched,19,skin: 7943.3,breast: 421.8,Cell line enhanced,,HaCaT: 3480.4;HBEC3-KT: 1395.9;hTCEpi: 1722.3;U-2197: 628.5
19,BPIFC,"BPIL2, dJ149A16.7",ENSG00000184459,BPI fold containing family C,22,32413847-32464484,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,"HPA037665, HPA043306",Uncertain,,,,,Group enriched,Tissue enriched,18,skin: 75.6,breast: 4.1,Cell line enhanced,,SCLC-21H: 1.5
20,NKPD1,FLJ33600,ENSG00000179846,NTPase KAP family P-loop domain containing 1,19,45149750-45158737,Predicted membrane proteins,Evidence at protein level,HPA043339,Uncertain,,,,,Mixed,Tissue enriched,18,skin: 14.8,seminal vesicle: 0.8,Cell line enhanced,,hTCEpi: 1.1;SiHa: 1.5;U-266/70: 2.2
21,ALOXE3,"E-LOX, eLOX3",ENSG00000179148,Arachidonate lipoxygenase 3,17,8095900-8119047,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"HPA023120, HPA078597",Enhanced,,Approved,Plasma membrane<br>Cytosol,,Tissue enhanced,Tissue enriched,16,skin: 36.5,breast: 2.2,Cell line enhanced,,A-431: 5.5;HBEC3-KT: 7.2;hTCEpi: 5.2;hTERT-HME1: 10.5;T-47d: 4.1
22,CCL27,"ALP, CTACK, CTAK, ESkine, ILC, PESKY, SCYA27, skinkine",ENSG00000213927,C-C motif chemokine ligand 27,9,34661880-34664048,Predicted secreted proteins,Evidence at protein level,HPA073848,Enhanced,,,,,Not detected,Tissue enriched,16,skin: 504.4,breast: 32.2,Cell line enhanced,,AN3-CA: 2.0
23,KLRF2,NKp65,ENSG00000256797,Killer cell lectin like receptor F2,12,9881489-9895833,Predicted membrane proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,16,skin: 14.1,tonsil: 0.8,Cell line enriched,40.0,U-937: 24.5
