,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,BRSK2,"C11orf7, PEN11B, STK29",ENSG00000174672,BR serine/threonine kinase 2,11,1389899-1462689,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA073690,,,Approved,Golgi apparatus,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 61.7;pancreas: 19.2,testis: 9.5,Cell line enhanced,,NTERA-2: 27.4;SCLC-21H: 74.9
1,CELA1,ELA1,ENSG00000139610,Chymotrypsin like elastase family member 1,12,51328443-51346679,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enhanced,,adrenal gland: 2.5;pancreas: 1.3,lymph node: 0.9,Cell line enriched,6.0,BEWO: 5.2
2,CFC1,"CRYPTIC, HTX2",ENSG00000136698,"Cripto, FRL-1, cryptic family 1",2,130592168-130599575,"Disease related genes, Predicted secreted proteins",Evidence at protein level,HPA041773,Uncertain,,,,,Tissue enriched,Tissue enhanced,,pancreas: 4.1;prostate: 10.4;stomach: 8.0,fallopian tube: 1.6,Group enriched,18.0,RPMI-8226: 13.6;SCLC-21H: 12.6
3,CTB-60B18.10,,ENSG00000268655,,19,49017496-49020523,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Mixed,Tissue enhanced,,pancreas: 1.7;testis: 1.3,stomach: 0.3,Cell line enhanced,,HEK93: 1.1
4,FBXW12,"Fbw12, FBXO35",ENSG00000164049,F-box and WD repeat domain containing 12,3,48372219-48401259,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA037491, HPA037492",Uncertain,,,,,Not detected,Tissue enhanced,,pancreas: 1.2;testis: 1.0,cerebral cortex: 0.2,Not detected,,
5,GCG,"GLP1, GLP2, GRPP",ENSG00000115263,Glucagon,2,162142873-162152404,Predicted secreted proteins,Evidence at protein level,"CAB000040, HPA036760, HPA036761",Enhanced,,Supported,Endoplasmic reticulum<br>Vesicles,,Tissue enriched,Tissue enhanced,,pancreas: 346.3;rectum: 137.2;small intestine: 123.9,colon: 69.4,Group enriched,7.0,EFO-21: 100.6;U-2 OS: 158.1
6,GRPR,"BB2, BB2R",ENSG00000126010,Gastrin releasing peptide receptor,X,16123556-16153021,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA069604,,,Enhanced,Plasma membrane,,Tissue enhanced,Tissue enhanced,,pancreas: 4.2,"breast,epididymis: 2.6",Group enriched,10.0,PC-3: 30.0;T-47d: 37.9;U-138 MG: 53.4
7,GUCA1C,GCAP3,ENSG00000138472,Guanylate cyclase activator 1C,3,108907792-108953895,Predicted intracellular proteins,Evidence at protein level,HPA041597,Approved,,Approved,Focal adhesion sites,,Tissue enriched,Tissue enhanced,,heart muscle: 8.9;pancreas: 8.4;stomach: 5.3,testis: 1.7,Cell line enriched,83.0,RPTEC TERT1: 10.6
8,INS-IGF2,,ENSG00000129965,INS-IGF2 readthrough,11,2132538-2161209,Predicted secreted proteins,Evidence at protein level,CAB019430,Enhanced,,,,,Not detected,Tissue enhanced,,pancreas: 1.6;placenta: 3.3,"adrenal gland,endometrium: 0.5",Cell line enhanced,,SH-SY5Y: 1.3
9,KCNK16,"K2p16.1, TALK-1, TALK1",ENSG00000095981,Potassium two pore domain channel subfamily K member 16,6,39314698-39322968,"Predicted membrane proteins, Transporters, Voltage-gated ion channels",Evidence at protein level,,,,,,,Tissue enriched,Tissue enhanced,,duodenum: 3.8;pancreas: 5.4;stomach: 12.4,thyroid gland: 1.7,Cell line enriched,511.0,SCLC-21H: 157.3
10,LEFTY1,"LEFTB, LEFTYB",ENSG00000243709,Left-right determination factor 1,1,225886282-225911382,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,"HPA047883, HPA056210",Approved,,,,Renal cancer:2.48e-6 (unfavourable),Tissue enhanced,Tissue enhanced,,colon: 58.4;pancreas: 20.4;rectum: 35.2,appendix: 9.6,Cell line enriched,7.0,NTERA-2: 50.6
11,LHB,"CGB4, hLHB, LSH-B",ENSG00000104826,Luteinizing hormone beta polypeptide,19,49015980-49017081,"Cancer-related genes, Disease related genes, Predicted secreted proteins",Evidence at protein level,"CAB022241, CAB022707, HPA038925",Supported,,Approved,Cytosol,Pancreatic cancer:6.78e-4 (unfavourable),Mixed,Tissue enhanced,,duodenum: 3.2;pancreas: 4.8;testis: 2.9,"adrenal gland,skin,small intestine: 0.7",Mixed,,
