,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,MYH1,"MGC133384, MYHa, MyHC-2X/D, MYHSA1",ENSG00000109061,Myosin heavy chain 1,17,10492307-10518543,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001349, CAB010759",Enhanced,,,,,Tissue enriched,Tissue enriched,738,skeletal muscle: 2753.9,esophagus: 3.7,Not detected,,
1,ACTN3,,ENSG00000248746,Actinin alpha 3 (gene/pseudogene),11,66546395-66563329,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA006035,Uncertain,,,,,Tissue enhanced,Tissue enriched,124,skeletal muscle: 556.5,testis: 4.4,Cell line enriched,15.0,HDLM-2: 12.3
2,MYH2,"IBM3, MYH2A, MYHas8, MyHC-2A, MyHC-IIa, MYHSA2",ENSG00000125414,Myosin heavy chain 2,17,10521148-10549957,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA001349, CAB010760",Enhanced,,,,,Tissue enriched,Tissue enriched,100,skeletal muscle: 4306.1,esophagus: 43.2,Cell line enhanced,,fHDF/TERT166: 3.1;HSkMC: 1.3;NTERA-2: 8.3
3,NEB,"NEB177D, NEM2",ENSG00000183091,Nebulin,2,151485336-151734487,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA016601,Enhanced,,,,,Tissue enhanced,Tissue enriched,97,skeletal muscle: 3273.5,prostate: 33.7,Cell line enhanced,,RH-30: 33.2;U-266/70: 9.8
4,ATP2A1,"ATP2A, SERCA1",ENSG00000196296,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,16,28878405-28904509,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB002310, CAB032706",Enhanced,,Approved,Endoplasmic reticulum,,Tissue enhanced,Tissue enriched,96,skeletal muscle: 2781.9,esophagus: 29.1,Mixed,,
5,MYLPF,"HUMMLC2B, MRLC2, MYL11",ENSG00000180209,"Myosin light chain, phosphorylatable, fast skeletal muscle",16,30370934-30377991,Predicted intracellular proteins,Evidence at protein level,"HPA039262, HPA055059",Enhanced,,,,,Tissue enhanced,Tissue enriched,95,skeletal muscle: 6541.1,esophagus: 69.1,Group enriched,18.0,BEWO: 68.9;HSkMC: 114.2
6,C8orf22,,ENSG00000168333,Chromosome 8 open reading frame 22,8,49054311-49076090,Predicted intracellular proteins,Evidence at transcript level,HPA060329,Uncertain,,,,Renal cancer:2.06e-10 (unfavourable),Group enriched,Tissue enriched,79,skeletal muscle: 362.1,prostate: 4.5,Cell line enriched,13.0,HEL: 1.3
7,TNNC2,,ENSG00000101470,"Troponin C2, fast skeletal type",20,45823214-45833745,Predicted intracellular proteins,Evidence at protein level,"HPA043174, HPA058481",Enhanced,,Approved,Nucleoplasm<br>Vesicles,,Mixed,Tissue enriched,78,skeletal muscle: 9898.9,esophagus: 126.3,Group enriched,6.0,Hep G2: 6.4;HSkMC: 10.1;SCLC-21H: 12.6
8,TNNT3,"AMCD2B, DA2B, DKFZp779M2348, FSSV",ENSG00000130595,"Troponin T3, fast skeletal type",11,1919562-1938706,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB002451, HPA037810, HPA056909",Enhanced,,,,Cervical cancer:7.37e-4 (favourable),Group enriched,Tissue enriched,72,skeletal muscle: 9522.9,esophagus: 132.2,Cell line enriched,15.0,HSkMC: 34.3
9,LBX1,"HPX6, LBX1H",ENSG00000138136,Ladybird homeobox 1,10,101226195-101229794,"Predicted intracellular proteins, Transcription factors",Evidence at transcript level,"HPA002016, HPA002086",Uncertain,,Approved,Nucleoplasm<br>Nuclear bodies,,Not detected,Tissue enriched,67,skeletal muscle: 9.1,lung: 0.1,Group enriched,8.0,HEK93: 3.1;RH-30: 4.1;SCLC-21H: 10.7
10,ANKRD23,"DARP, FLJ32449, MARP3",ENSG00000163126,Ankyrin repeat domain 23,2,96824526-96857934,Predicted intracellular proteins,Evidence at protein level,HPA036201,Approved,,Supported,Nucleoplasm<br>Actin filaments,,Not detected,Tissue enriched,64,skeletal muscle: 495.5,prostate: 7.7,Cell line enriched,8.0,Karpas-707: 27.1
