,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABHD16A,"BAT5, D6S82E, NG26",ENSG00000204427,Abhydrolase domain containing 16A,6,31686949-31703444,Predicted membrane proteins,Evidence at protein level,HPA058606,Approved,,,,Endometrial cancer:2.63e-4 (unfavourable),Expressed in all,Tissue enhanced,,gallbladder: 1.7;testis: 1.2;thyroid gland: 1.4,esophagus: 0.9,Not detected,,
1,ADAMTS14,,ENSG00000138316,ADAM metallopeptidase with thrombospondin type 1 motif 14,10,70672803-70762441,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA034605,,,Uncertain,Cytosol,,Mixed,Tissue enhanced,,gallbladder: 10.9;placenta: 11.1,urinary bladder: 4.4,Cell line enhanced,,CAPAN-2: 8.0;K-562: 9.5;RH-30: 5.3;U-138 MG: 8.8
2,ADAMTS16,ADAMTS16s,ENSG00000145536,ADAM metallopeptidase with thrombospondin type 1 motif 16,5,5140330-5320304,Predicted secreted proteins,Evidence at protein level,,,,,,Renal cancer:3.29e-5 (favourable),Mixed,Tissue enhanced,,gallbladder: 9.9;ovary: 11.2,adipose tissue: 6.3,Cell line enhanced,,hTEC/SVTERT24-B: 3.9;U-2197: 5.3
3,ADCYAP1,PACAP,ENSG00000141433,Adenylate cyclase activating polypeptide 1,18,904943-912172,Predicted secreted proteins,Evidence at protein level,HPA065887,,Approved,,,Renal cancer:2.91e-6 (favourable),Tissue enhanced,Tissue enhanced,,appendix: 19.3;cerebral cortex: 16.0;gallbladder: 15.7,testis: 5.6,Cell line enriched,17.0,SCLC-21H: 20.8
4,AKR1B10,"AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI",ENSG00000198074,Aldo-keto reductase family 1 member B10,7,134527592-134541408,Predicted intracellular proteins,Evidence at protein level,"HPA020280, CAB070163, HPA073633",Enhanced,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:4.80e-9 (unfavourable), Colorectal cancer:1.91e-4 (favourable)",Tissue enhanced,Tissue enhanced,,duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4,esophagus: 89.8,Group enriched,74.0,A549: 2731.1;Hep G2: 580.9
5,ALKAL1,"AUGB, FAM150A, UNQ9433",ENSG00000196711,ALK and LTK ligand 1,8,52534037-52565507,Predicted secreted proteins,Evidence at protein level,HPA027368,Uncertain,,,,,Mixed,Tissue enhanced,,gallbladder: 3.5;thyroid gland: 3.6,"cervix, uterine: 1.7",Cell line enhanced,,CAPAN-2: 1.1
6,ARL14,"ARF7, FLJ22595",ENSG00000179674,ADP ribosylation factor like GTPase 14,3,160677159-160678452,Predicted intracellular proteins,Evidence at protein level,,,,,,"Lung cancer:2.64e-5 (unfavourable), Pancreatic cancer:6.71e-4 (unfavourable)",Group enriched,Tissue enhanced,,gallbladder: 209.1;stomach: 70.2,duodenum: 50.9,Group enriched,5.0,A-431: 8.4;CAPAN-2: 31.7;HaCaT: 7.9;RT4: 14.0
7,B3GALT2,beta3Gal-T2,ENSG00000162630,"Beta-1,3-galactosyltransferase 2",1,193179045-193186654,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enhanced,,cerebral cortex: 29.0;gallbladder: 26.0,heart muscle: 14.9,Group enriched,5.0,AF22: 19.6;ASC TERT1: 6.1;LHCN-M2: 11.4;WM-115: 23.5
8,BDKRB1,"B1BKR, BKR1, bradyb1",ENSG00000100739,Bradykinin receptor B1,14,96255824-96268967,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA002935,Approved,,,,,Mixed,Tissue enhanced,,gallbladder: 18.2,urinary bladder: 9.9,Cell line enhanced,,BJ hTERT+: 19.8;HHSteC: 20.3;hTEC/SVTERT24-B: 23.1;U-2197: 23.8;U-87 MG: 82.4
9,C11orf91,,ENSG00000205177,Chromosome 11 open reading frame 91,11,33698261-33700801,Predicted intracellular proteins,Evidence at protein level,"HPA047064, HPA050487",Uncertain,,Supported,Vesicles,,Not detected,Tissue enhanced,,adipose tissue: 5.8;gallbladder: 7.7;testis: 6.9,esophagus: 3.3,Cell line enhanced,,HBEC3-KT: 11.7;hTERT-HME1: 7.8;HUVEC TERT2: 6.8;TIME: 10.3;U-2197: 9.7
10,C14orf105,FLJ10650,ENSG00000100557,Chromosome 14 open reading frame 105,14,57469301-57493867,Predicted intracellular proteins,Evidence at transcript level,HPA029202,,,Uncertain,Nucleus<br>Cytosol,"Renal cancer:1.92e-4 (favourable), Liver cancer:5.61e-4 (unfavourable)",Tissue enhanced,Tissue enhanced,,fallopian tube: 43.7;gallbladder: 27.1;kidney: 63.6,liver: 11.3,Group enriched,6.0,A549: 10.7;RPTEC TERT1: 26.1
11,C6orf141,MGC46457,ENSG00000197261,Chromosome 6 open reading frame 141,6,49550646-49561907,Predicted intracellular proteins,Evidence at protein level,HPA036199,Uncertain,,Approved,Nuclear membrane,"Breast cancer:3.92e-6 (favourable), Endometrial cancer:1.15e-4 (favourable)",Mixed,Tissue enhanced,,gallbladder: 9.3,duodenum: 6.2,Cell line enhanced,,HaCaT: 7.6;PC-3: 10.6;T-47d: 6.8
12,CA9,"CAIX, MN",ENSG00000107159,Carbonic anhydrase 9,9,35673856-35681159,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB005100, CAB017107, HPA055207",Enhanced,,Enhanced,Plasma membrane<br>Cytosol,"Renal cancer:2.22e-7 (unfavourable), Liver cancer:1.71e-5 (unfavourable), Testis cancer:9.50e-4 (favourable)",Mixed,Tissue enhanced,,gallbladder: 36.0;stomach: 93.6,small intestine: 14.5,Group enriched,11.0,A-431: 152.1;HDLM-2: 84.3;U-87 MG: 337.9
13,CCL20,"CKb4, exodus-1, LARC, MIP-3a, SCYA20, ST38",ENSG00000115009,C-C motif chemokine ligand 20,2,227813842-227817564,Predicted secreted proteins,Evidence at protein level,,,,,,"Renal cancer:9.19e-8 (unfavourable), Pancreatic cancer:2.73e-4 (unfavourable), Liver cancer:9.29e-4 (unfavourable)",Expressed in all,Tissue enhanced,,gallbladder: 269.7;tonsil: 155.2,urinary bladder: 83.4,Cell line enhanced,,Hep G2: 23.9;NB-4: 12.7;RT4: 12.0
