,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,U82695.5,,ENSG00000214897,,X,153395640-153401420,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Mixed,Group enriched,35,epididymis: 5.8;ovary: 4.7;testis: 10.9,fallopian tube: 0.2,Not detected,,
1,C4BPB,C4BP,ENSG00000123843,Complement component 4 binding protein beta,1,207088842-207099993,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA051620,Approved,,,,,Tissue enriched,Group enriched,16,liver: 241.3;ovary: 52.0,placenta: 8.9,Group enriched,15.0,CACO-2: 94.2;HeLa: 31.3;Hep G2: 101.7
2,GPR88,,ENSG00000181656,G protein-coupled receptor 88,1,100538137-100542018,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins",Evidence at transcript level,HPA007488,,Approved,,,,Tissue enriched,Group enriched,11,breast: 9.4;cerebral cortex: 3.1;liver: 4.9;ovary: 3.1;parathyroid gland: 4.9;spleen: 14.4,prostate: 0.6,Group enriched,8.0,HSkMC: 1.1;SCLC-21H: 2.3
3,MCF2,"ARHGEF21, DBL",ENSG00000101977,MCF.2 cell line derived transforming sequence,X,139581770-139708227,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,11,adrenal gland: 38.3;cerebral cortex: 8.7;epididymis: 15.0;ovary: 12.9;seminal vesicle: 24.0;testis: 34.6,prostate: 2.0,Cell line enriched,12.0,U-251 MG: 30.6
4,HTR1A,"5-HT1A, ADRB2RL1, ADRBRL1",ENSG00000178394,5-hydroxytryptamine receptor 1A,5,63960356-63962507,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA018073,Uncertain,,,,,Not detected,Group enriched,10,cerebral cortex: 1.9;ovary: 3.9,testis: 0.2,Group enriched,16.0,NTERA-2: 1.6;SCLC-21H: 1.5
5,FSHR,"FSHRO, LGR1, ODG1",ENSG00000170820,Follicle stimulating hormone receptor,2,48962157-49154537,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,,,,,,,Not detected,Group enriched,9,ovary: 2.5;testis: 4.3,gallbladder: 0.3,Not detected,,
6,NXPH2,NPH2,ENSG00000144227,Neurexophilin 2,2,138670772-138780348,Predicted secreted proteins,Evidence at transcript level,HPA034759,Approved,,,,,Mixed,Group enriched,9,cerebral cortex: 5.7;kidney: 5.0;ovary: 14.0,endometrium: 0.9,Cell line enhanced,,AF22: 3.8;SCLC-21H: 1.7;SiHa: 4.0;U-2 OS: 6.3;U-251 MG: 1.7
7,PROK1,"EGVEGF, PK1, PRK1",ENSG00000143125,Prokineticin 1,1,110451200-110457354,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,9,ovary: 239.3;placenta: 75.8;testis: 119.4,seminal vesicle: 15.2,Cell line enriched,9.0,ASC diff: 16.3
8,SPRR2F,,ENSG00000244094,Small proline rich protein 2F,1,153112114-153113515,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,9,esophagus: 167.0;ovary: 83.7;tonsil: 63.0,testis: 11.8,Cell line enriched,9.0,K-562: 2.4
9,SIGLEC11,,ENSG00000161640,Sialic acid binding Ig like lectin 11,19,49948985-49961172,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA060278,Approved,,,,,Mixed,Group enriched,7,ovary: 80.0;spleen: 31.7,adrenal gland: 8.1,Cell line enriched,15.0,HEL: 9.4
10,ZIM2,ZNF656,ENSG00000269699,Zinc finger imprinted 2,19,56774552-56840729,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA071856,,,Approved,Nuclear speckles<br>Cytosol,,Not detected,Group enriched,7,adrenal gland: 5.8;cerebral cortex: 5.1;ovary: 9.9;placenta: 6.8;testis: 7.7,endometrium: 1.0,Cell line enhanced,,BEWO: 4.7;Hep G2: 4.0;NTERA-2: 1.6;RH-30: 1.6;U-2 OS: 1.2
11,ANO4,"FLJ34221, FLJ34272, FLJ35277, TMEM16D",ENSG00000151572,Anoctamin 4,12,100717526-101128641,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,HPA053412,Uncertain,,,,Renal cancer:5.48e-5 (favourable),Mixed,Group enriched,6,"adrenal gland: 17.6;cerebral cortex: 10.0;cervix, uterine: 12.6;endometrium: 8.4;ovary: 10.9;prostate: 11.7;seminal vesicle: 11.4",testis: 2.0,Cell line enhanced,,fHDF/TERT166: 14.2;SK-MEL-30: 13.3;TIME: 26.1;WM-115: 10.6
