,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,LCE3E,LEP17,ENSG00000185966,Late cornified envelope 3E,1,152565654-152566772,Predicted intracellular proteins,Evidence at protein level,,,,,,,Group enriched,Group enriched,35,esophagus: 9.6;skin: 9.0;tonsil: 18.1,breast: 0.3,Not detected,,
1,RPTN,FLJ39117,ENSG00000215853,Repetin,1,152153595-152159228,Predicted intracellular proteins,Evidence at protein level,"HPA030483, HPA030485",Enhanced,,,,,Tissue enhanced,Group enriched,34,skin: 35.1;tonsil: 47.4,esophagus: 1.2,Not detected,,
2,SLURP1,"ANUP, ARS, ArsB, LY6LS, MDM",ENSG00000126233,Secreted LY6/PLAUR domain containing 1,8,142740944-142742411,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA050967,Approved,,,,,Tissue enhanced,Group enriched,33,esophagus: 740.6;skin: 297.1,tonsil: 15.7,Cell line enhanced,,HaCaT: 1.1;MCF7: 1.1;T-47d: 2.4
3,CNFN,PLAC8L2,ENSG00000105427,Cornifelin,19,42387019-42390287,Predicted intracellular proteins,Evidence at protein level,"HPA049073, HPA053997",Enhanced,,Approved,Microtubules<br>Cytokinetic bridge,Thyroid cancer:4.02e-5 (favourable),Expressed in all,Group enriched,32,esophagus: 1158.0;skin: 272.5;tonsil: 260.7,breast: 17.6,Cell line enhanced,,A549: 17.1;HEK93: 24.4
4,PLA2G4D,cPLA2delta,ENSG00000159337,Phospholipase A2 group IVD,15,42067009-42094554,"Enzymes, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,29,prostate: 34.2;skin: 16.5,esophagus: 0.8,Cell line enriched,30.0,RPMI-8226: 12.2
5,SPINK5,"DKFZp686K19184, FLJ21544, FLJ97536, FLJ97596, FLJ99794, LEKTI, LETKI, NETS, NS, VAKTI",ENSG00000133710,"Serine peptidase inhibitor, Kazal type 5",5,148025683-148137289,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA009067, HPA011351, CAB015347",Enhanced,,Enhanced,Vesicles,,Tissue enhanced,Group enriched,26,esophagus: 1130.0;skin: 383.9;tonsil: 270.0,breast: 22.9,Cell line enhanced,,HaCaT: 13.2;HeLa: 14.7;Karpas-707: 13.8
6,TRPM1,"CSNB1C, LTRPC1, MLSN1",ENSG00000134160,Transient receptor potential cation channel subfamily M member 1,15,31001061-31161273,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,"HPA014779, HPA014785",Supported,,Uncertain,Nucleoplasm<br>Cytosol,,Tissue enriched,Group enriched,26,skin: 4.8;testis: 2.1,kidney: 0.1,Cell line enriched,91.0,SK-MEL-30: 9.1
7,DGAT2L6,"DC3, FLJ25989",ENSG00000184210,Diacylglycerol O-acyltransferase 2 like 6,X,70177483-70205545,Predicted membrane proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Group enriched,22,breast: 2.8;skin: 1.6,all non-specific tissues: 0.0,Not detected,,
8,NCCRP1,"FBXO50, LOC342897, NCCRP-1",ENSG00000188505,Non-specific cytotoxic cell receptor protein 1 homolog (zebrafish),19,39196961-39201884,Predicted intracellular proteins,Evidence at protein level,HPA052812,Uncertain,,Approved,Mitochondria,Endometrial cancer:1.01e-4 (unfavourable),Mixed,Group enriched,22,esophagus: 263.4;skin: 175.5;tonsil: 113.3,breast: 8.2,Cell line enriched,7.0,SK-BR-3: 23.1
9,SLC24A5,"JSX, OCA6",ENSG00000188467,Solute carrier family 24 member 5,15,48120972-48142672,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,21,skin: 9.6;testis: 2.9,breast: 0.3,Cell line enriched,760.0,SK-MEL-30: 193.4
