,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,LALBA,LYZL7,ENSG00000167531,Lactalbumin alpha,12,48567684-48570066,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,"CAB026343, HPA029855, HPA029856",Supported,,,,,Tissue enriched,Tissue enriched,566,breast: 2476.8,testis: 4.3,Not detected,,
1,CSN2,CASB,ENSG00000135222,Casein beta,4,69955256-69961007,Predicted secreted proteins,Evidence at protein level,HPA041036,Supported,,,,,Tissue enriched,Tissue enriched,348,breast: 347.6,salivary gland: 0.9,Not detected,,
2,SULT1C3,,ENSG00000196228,Sulfotransferase family 1C member 3,2,108247195-108265351,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,142,breast: 450.3,duodenum: 3.1,Not detected,,
3,DCD,"AIDD, DCD-1, DSEP, HCAP, PIF",ENSG00000161634,Dermcidin,12,54644591-54648493,"Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA063967,Supported,,,,,Tissue enriched,Tissue enriched,96,breast: 336.4,skeletal muscle: 3.5,Not detected,,
4,CSN1S1,"CASA, CSN1",ENSG00000126545,Casein alpha s1,4,69931081-69946574,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA035659, HPA057031",Enhanced,,,,,Tissue enriched,Tissue enriched,85,breast: 1600.9,adipose tissue: 18.9,Not detected,,
5,ACSM1,"BUCS1, MACS1",ENSG00000166743,Acyl-CoA synthetase medium-chain family member 1,16,20623237-20698890,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA046291,Uncertain,,,,,Group enriched,Tissue enriched,49,breast: 298.7,prostate: 6.0,Group enriched,11.0,K-562: 3.2;NTERA-2: 15.6
6,BTN1A1,"BT, BTN, BTN1",ENSG00000124557,Butyrophilin subfamily 1 member A1,6,26501221-26510422,Predicted membrane proteins,Evidence at protein level,"HPA011126, CAB037340",Supported,,,,,Tissue enhanced,Tissue enriched,49,breast: 36.8,"lymph node,tonsil: 0.7",Cell line enriched,5.0,CACO-2: 3.8
7,MUCL1,SBEM,ENSG00000172551,Mucin like 1,12,54830519-54858393,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA039093,Enhanced,,,,,Tissue enriched,Tissue enriched,43,breast: 3798.1,salivary gland: 89.1,Cell line enhanced,,MCF7: 1.5;SK-BR-3: 3.5
8,SLCO1B7,"LST3, SLC21A21",ENSG00000205754,Solute carrier organic anion transporter family member 1B7 (putative),12,21015696-21092745,Predicted membrane proteins,Evidence at transcript level,HPA050892,Uncertain,,,,,Not detected,Tissue enriched,17,breast: 43.2,liver: 2.4,Cell line enhanced,,A-431: 2.3;A549: 1.6;CAPAN-2: 1.6;HeLa: 1.1;U-2 OS: 1.3
9,UGT2B11,,ENSG00000213759,UDP glucuronosyltransferase family 2 member B11,4,69199951-69214731,"Enzymes, Predicted membrane proteins",Evidence at transcript level,HPA045108,Uncertain,,,,,Group enriched,Tissue enriched,17,breast: 320.4,gallbladder: 18.3,Not detected,,
10,ANKRD30A,NY-BR-1,ENSG00000148513,Ankyrin repeat domain 30A,10,37125788-37384111,Predicted intracellular proteins,Evidence at protein level,HPA071849,,,,,,Tissue enriched,Tissue enriched,15,breast: 49.8,testis: 3.3,Group enriched,34.0,A549: 2.4;U-266/70: 8.1
11,AKR1B15,,ENSG00000227471,Aldo-keto reductase family 1 member B15,7,134549136-134579875,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA020280, HPA073633",Uncertain,,Supported,Plasma membrane<br>Cytosol,"Liver cancer:1.80e-5 (unfavourable), Urothelial cancer:1.90e-5 (unfavourable), Head and neck cancer:8.36e-4 (favourable)",Mixed,Tissue enriched,13,breast: 179.9,duodenum: 13.7,Group enriched,8.0,A549: 14.3;HDLM-2: 11.8;Hep G2: 7.6;NTERA-2: 3.2;SK-BR-3: 3.8;U-87 MG: 6.4
12,CSN3,CSN10,ENSG00000171209,Casein kappa,4,70242588-70251428,Predicted secreted proteins,Evidence at protein level,"HPA035953, HPA035954",Enhanced,,,,,Group enriched,Tissue enriched,13,breast: 428.0,salivary gland: 32.0,Not detected,,
13,OXTR,,ENSG00000180914,Oxytocin receptor,3,8750408-8769628,"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Mixed,Tissue enriched,13,breast: 65.4,fallopian tube: 4.9,Cell line enhanced,,BJ: 357.1;BJ hTERT+: 104.6;BJ hTERT+ SV40 Large T+: 111.8;fHDF/TERT166: 330.6
14,RP11-545J16.1,,ENSG00000257046,,12,20815674-21090245,Predicted membrane proteins,Evidence at transcript level,HPA050892,Uncertain,,,,,Not detected,Tissue enriched,13,breast: 26.9,liver: 2.0,Cell line enhanced,,A-431: 1.4;CAPAN-2: 1.4;HeLa: 1.8
15,CST9,"CLM, CTES7A",ENSG00000173335,Cystatin 9,20,23602410-23605876,Predicted secreted proteins,Evidence at transcript level,HPA029190,Uncertain,,,,,Tissue enriched,Tissue enriched,12,breast: 2.1,kidney: 0.1,Not detected,,
16,SERHL2,,ENSG00000183569,Serine hydrolase-like 2,22,42553617-42574382,"Plasma proteins, Predicted intracellular proteins",Evidence at transcript level,,,,,,,Group enriched,Tissue enriched,12,breast: 558.7,epididymis: 45.4,Cell line enriched,9.0,SK-BR-3: 207.3
17,UGT2B28,,ENSG00000135226,UDP glucuronosyltransferase family 2 member B28,4,69280499-69295050,"Enzymes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA045108,Uncertain,,,,,Tissue enriched,Tissue enriched,12,breast: 267.2,gallbladder: 21.5,Group enriched,9.0,Daudi: 2.1;NB-4: 1.7
18,ABCC11,MRP8,ENSG00000121270,ATP binding cassette subfamily C member 11,16,48166910-48247568,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA031980, HPA031981, HPA031982, CAB032513",Uncertain,,,,,Group enriched,Tissue enriched,11,breast: 64.4,prostate: 6.0,Cell line enriched,5.0,T-47d: 64.4
19,APOD,,ENSG00000189058,Apolipoprotein D,3,195568702-195584205,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA040520,Enhanced,,Approved,Plasma membrane,"Thyroid cancer:4.12e-4 (unfavourable), Breast cancer:5.51e-4 (favourable), Stomach cancer:6.02e-4 (unfavourable)",Expressed in all,Tissue enriched,7,breast: 4620.2,adipose tissue: 670.2,Cell line enhanced,,ASC diff: 1866.1;ASC TERT1: 1018.4;WM-115: 301.1
20,GSTT2B,GSTT2P,ENSG00000133433,Glutathione S-transferase theta 2B (gene/pseudogene),22,23957414-23961186,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA000750,Uncertain,,Supported,Nucleoplasm<br>Cytosol,Breast cancer:5.06e-4 (favourable),Expressed in all,Tissue enriched,7,breast: 411.1,adrenal gland: 60.8,Cell line enhanced,,AN3-CA: 53.0;HHSteC: 68.3;T-47d: 60.4
21,SCGB2A2,"MGB1, MGC71974, UGB2",ENSG00000110484,Secretoglobin family 2A member 2,11,62270155-62273156,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,CAB026270,Supported,,,,Endometrial cancer:9.57e-8 (favourable),Tissue enriched,Tissue enriched,7,breast: 3687.7,"cervix, uterine: 507.6",Cell line enriched,95.0,SK-BR-3: 13.3
22,SPINK8,,ENSG00000229453,"Serine peptidase inhibitor, Kazal type 8 (putative)",3,48306842-48328341,Predicted secreted proteins,Evidence at transcript level,HPA053151,Uncertain,,,,Breast cancer:8.47e-4 (unfavourable),Group enriched,Tissue enriched,7,breast: 58.2,bone marrow: 7.7,Cell line enriched,49.0,SK-BR-3: 55.0
