,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PIP,"GCDFP-15, GCDFP15, GPIP4",ENSG00000159763,Prolactin induced protein,7,143132077-143139746,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB002661, HPA009177",Enhanced,,,,Renal cancer:5.96e-5 (favourable),Tissue enriched,Group enriched,618,breast: 4504.1;salivary gland: 6904.2;seminal vesicle: 4198.4,"cervix, uterine: 8.4",Cell line enriched,415.0,T-47d: 649.3
1,KRT71,"K6IRS1, KRT6IRS, KRT6IRS1",ENSG00000139648,Keratin 71,12,52543909-52553147,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA049404,Supported,,,,,Tissue enhanced,Group enriched,34,breast: 1.4;epididymis: 5.3,all non-specific tissues: 0.0,Cell line enriched,11.0,CACO-2: 5.1
2,DGAT2L6,"DC3, FLJ25989",ENSG00000184210,Diacylglycerol O-acyltransferase 2 like 6,X,70177483-70205545,Predicted membrane proteins,Evidence at transcript level,,,,,,,Tissue enhanced,Group enriched,22,breast: 2.8;skin: 1.6,all non-specific tissues: 0.0,Not detected,,
3,KRT25,KRT25A,ENSG00000204897,Keratin 25,17,40748021-40755332,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA053977, HPA058943",Enhanced,,Approved,Vesicles,,Not detected,Group enriched,15,breast: 3.6;testis: 1.6,smooth muscle: 0.1,Cell line enriched,5.0,RPTEC TERT1: 1.0
4,CHIT1,"CHI3, CHIT",ENSG00000133063,Chitinase 1,1,203212827-203273641,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA010575,Approved,,,,Cervical cancer:2.02e-4 (favourable),Tissue enhanced,Group enriched,14,"bone marrow: 31.3;breast: 10.9;cervix, uterine: 13.5;lung: 53.2;lymph node: 21.0","prostate,thyroid gland: 1.8",Not detected,,
5,FAM25C,bA164N7.4,ENSG00000276430,Family with sequence similarity 25 member C,10,47995355-47999791,Predicted intracellular proteins,Evidence at transcript level,HPA044808,Uncertain,,,,,Tissue enhanced,Group enriched,14,breast: 5.3;esophagus: 4.0;skin: 9.0;small intestine: 4.3;tonsil: 2.1,"skeletal muscle,testis: 0.3",Cell line enriched,5.0,SK-BR-3: 12.1
6,EN1,,ENSG00000163064,Engrailed homeobox 1,2,118842171-118847678,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"CAB014884, HPA073141",Approved,,Supported,Nucleus<br>Nucleoli,,Tissue enhanced,Group enriched,13,adipose tissue: 1.3;breast: 1.0;lymph node: 1.9;skeletal muscle: 4.7;skin: 2.2,testis: 0.1,Cell line enhanced,,ASC diff: 10.8;fHDF/TERT166: 10.2;HSkMC: 9.7;PC-3: 7.1;U-138 MG: 9.6;U-2197: 10.2
7,FABP7,"B-FABP, BLBP",ENSG00000164434,Fatty acid binding protein 7,6,122779475-122784074,Predicted intracellular proteins,Evidence at protein level,"CAB025488, HPA028825, CAB058697",Enhanced,,,,"Renal cancer:1.65e-6 (unfavourable), Breast cancer:2.49e-4 (favourable)",Group enriched,Group enriched,13,breast: 33.1;cerebral cortex: 102.3,skin: 5.2,Group enriched,8.0,AF22: 75.1;U-251 MG: 17.6;WM-115: 45.7
8,C10orf90,"bA422P15.2, FATS, FLJ32938",ENSG00000154493,Chromosome 10 open reading frame 90,10,126424997-126670446,Predicted intracellular proteins,Evidence at protein level,"HPA038648, HPA057599",Uncertain,,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,,Tissue enriched,Group enriched,12,breast: 5.6;cerebral cortex: 15.3;salivary gland: 4.3;testis: 12.1,"adipose tissue,skin: 0.7",Group enriched,9.0,SK-MEL-30: 94.3;U-2197: 33.5;U-266/84: 18.9;U-87 MG: 36.2;WM-115: 29.4
9,GPR88,,ENSG00000181656,G protein-coupled receptor 88,1,100538137-100542018,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins",Evidence at transcript level,HPA007488,,Approved,,,,Tissue enriched,Group enriched,11,breast: 9.4;cerebral cortex: 3.1;liver: 4.9;ovary: 3.1;parathyroid gland: 4.9;spleen: 14.4,prostate: 0.6,Group enriched,8.0,HSkMC: 1.1;SCLC-21H: 2.3
