,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,A1CF,"ACF, ACF64, ACF65, APOBEC1CF, ASP",ENSG00000148584,APOBEC1 complementation factor,10,50799409-50885675,Predicted intracellular proteins,Evidence at protein level,"HPA037779, HPA044079",Enhanced,,Supported,Nucleoplasm,,Tissue enriched,Tissue enhanced,,liver: 76.0;small intestine: 29.8,duodenum: 23.5,Group enriched,18.0,CACO-2: 19.3;Hep G2: 41.7
1,ABCB1,"ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1",ENSG00000085563,ATP binding cassette subfamily B member 1,7,87503633-87713323,"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB001716, HPA002199",Enhanced,,Approved,Nucleoplasm<br>Focal adhesion sites<br>Cytosol,"Renal cancer:2.95e-4 (favourable), Pancreatic cancer:3.33e-4 (favourable)",Tissue enhanced,Tissue enhanced,,adrenal gland: 137.8;small intestine: 82.4,kidney: 37.3,Cell line enhanced,,CACO-2: 56.6;HEL: 34.4;SH-SY5Y: 85.9
2,ABCG2,"ABCP, BCRP, CD338, EST157481, MXR",ENSG00000118777,ATP binding cassette subfamily G member 2 (Junior blood group),4,88090264-88231322,"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB037299, HPA054719",Enhanced,,Enhanced,Nucleus<br>Plasma membrane,,Mixed,Tissue enhanced,,small intestine: 113.8,seminal vesicle: 55.9,Cell line enhanced,,A549: 47.2;BEWO: 80.5;RPMI-8226: 32.5
3,ABHD14A-ACY1,,ENSG00000114786,ABHD14A-ACY1 readthrough,3,51974706-51989183,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA036174, HPA036175, HPA038153",Approved,,Uncertain,Vesicles,,Not detected,Tissue enhanced,,small intestine: 1.7,kidney: 0.7,Cell line enhanced,,HUVEC TERT2: 1.3;SH-SY5Y: 1.3
4,ABO,"A3GALNT, A3GALT1",ENSG00000175164,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",9,133250401-133275214,Predicted membrane proteins,Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,small intestine: 17.9,colon: 7.3,Group enriched,7.0,A-431: 4.5;CAPAN-2: 18.7;HaCaT: 14.1;K-562: 18.6;RT4: 6.3
5,AC007325.2,,ENSG00000277196,,Unmapped,138082-161852,Predicted intracellular proteins,Evidence at transcript level,HPA020361,Uncertain,,,,,,Tissue enhanced,,skin: 38.5;small intestine: 37.1,duodenum: 29.0,Cell line enriched,7.0,RPTEC TERT1: 137.9
6,ACE,"ACE1, CD143, DCP1",ENSG00000159640,Angiotensin I converting enzyme,17,63477061-63498380,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB002426, CAB002921, HPA029298, HPA069790",Enhanced,,Approved,Vesicles,,Expressed in all,Tissue enhanced,,duodenum: 178.9;small intestine: 291.6,testis: 83.7,Cell line enhanced,,ASC TERT1: 44.4;HUVEC TERT2: 28.2
7,ACY3,"ACY-3, HCBP1, MGC9740",ENSG00000132744,Aminoacylase 3,11,67642555-67650659,"Enzymes, Predicted intracellular proteins",Evidence at protein level,"HPA039219, HPA048187",Enhanced,,,,Endometrial cancer:4.80e-4 (favourable),Mixed,Tissue enhanced,,duodenum: 80.6;kidney: 53.3;small intestine: 78.6,"cervix, uterine: 16.1",Cell line enhanced,,CACO-2: 8.4;CAPAN-2: 13.6;Daudi: 41.2
8,ADAMDEC1,M12.219,ENSG00000134028,ADAM like decysin 1,8,24384285-24406013,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Expressed in all,Tissue enhanced,,colon: 210.9;rectum: 339.7;small intestine: 476.3,duodenum: 189.1,Group enriched,7.0,U-266/70: 8.1;U-266/84: 1.9
9,ADGRG4,"GPR112, PGR17, RP1-299I16",ENSG00000156920,Adhesion G protein-coupled receptor G4,X,136300963-136416888,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA035324,Uncertain,,,,,Not detected,Tissue enhanced,,duodenum: 2.5;small intestine: 1.7,fallopian tube: 0.5,Not detected,,
10,ADTRP,"AIG1L, C6orf105, dJ413H6.1",ENSG00000111863,Androgen dependent TFPI regulating protein,6,11712054-11807046,Predicted membrane proteins,Evidence at transcript level,HPA048113,Uncertain,,Uncertain,Nucleoli,Renal cancer:1.13e-5 (unfavourable),Mixed,Tissue enhanced,,small intestine: 79.4,duodenum: 61.1,Cell line enhanced,,HUVEC TERT2: 62.0;TIME: 33.0;U-138 MG: 25.7;U-266/84: 23.2
11,AGR3,"BCMP11, hAG-3, HAG3, PDIA18",ENSG00000173467,"Anterior gradient 3, protein disulphide isomerase family member",7,16859405-16881987,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA053942,Enhanced,,Supported,Endoplasmic reticulum<br>Vesicles,,Tissue enhanced,Tissue enhanced,,fallopian tube: 354.7;small intestine: 259.5,rectum: 233.8,Cell line enriched,52.0,T-47d: 316.6
12,AKR1B10,"AKR1B11, AKR1B12, ALDRLn, ARL-1, ARL1, HIS, HSI",ENSG00000198074,Aldo-keto reductase family 1 member B10,7,134527592-134541408,Predicted intracellular proteins,Evidence at protein level,"HPA020280, CAB070163, HPA073633",Enhanced,,Supported,Plasma membrane<br>Cytosol,"Renal cancer:4.80e-9 (unfavourable), Colorectal cancer:1.91e-4 (favourable)",Tissue enhanced,Tissue enhanced,,duodenum: 635.9;gallbladder: 283.3;small intestine: 387.2;stomach: 414.4,esophagus: 89.8,Group enriched,74.0,A549: 2731.1;Hep G2: 580.9
13,ANKS4B,"FLJ38819, HARP",ENSG00000175311,Ankyrin repeat and sterile alpha motif domain containing 4B,16,21233665-21253845,Predicted intracellular proteins,Evidence at protein level,HPA043523,Approved,,Approved,Nucleoplasm<br>Cytosol,,Group enriched,Tissue enhanced,,duodenum: 9.0;rectum: 7.8;small intestine: 12.9,colon: 6.8,Group enriched,10.0,CACO-2: 1.1;HDLM-2: 3.2;Hep G2: 5.5
14,ANO9,"PIG5, TMEM16J, TP53I5",ENSG00000185101,Anoctamin 9,11,417933-442011,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA039948, HPA040112",Approved,,Uncertain,Golgi apparatus,Urothelial cancer:8.81e-4 (favourable),Tissue enhanced,Tissue enhanced,,duodenum: 31.6;small intestine: 30.9,skin: 21.6,Cell line enhanced,,BEWO: 8.6;CAPAN-2: 24.1;HaCaT: 14.1;RPMI-8226: 13.6
15,AOC1,"ABP1, DAO",ENSG00000002726,"Amine oxidase, copper containing 1",7,150824627-150861504,"Enzymes, Predicted secreted proteins",Evidence at protein level,"HPA031032, HPA031033",Approved,,,,Prostate cancer:1.71e-4 (favourable),Group enriched,Tissue enhanced,,placenta: 716.9;small intestine: 247.6,duodenum: 183.2,Cell line enhanced,,CAPAN-2: 17.4;HaCaT: 5.4;THP-1: 17.8
16,APOA1,,ENSG00000118137,Apolipoprotein A1,11,116835751-116837950,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB016778, HPA046715",Supported,,Approved,Vesicles<br>Cytosol,"Renal cancer:1.67e-8 (unfavourable), Liver cancer:5.05e-4 (favourable)",Tissue enriched,Tissue enhanced,,liver: 8458.6;small intestine: 4128.6,duodenum: 1609.4,Cell line enriched,15.0,Hep G2: 1951.8
17,AQP11,,ENSG00000178301,Aquaporin 11,11,77589391-77610355,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA042879,Approved,,Approved,Nucleoplasm<br>Vesicles,Ovarian cancer:9.89e-4 (favourable),Mixed,Tissue enhanced,,duodenum: 24.1;small intestine: 23.1,adrenal gland: 10.0,Cell line enhanced,,Hep G2: 7.7
