,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,MYBPC2,"MGC163408, MYBPC, MYBPCF",ENSG00000086967,"Myosin binding protein C, fast type",19,50432903-50466321,Predicted intracellular proteins,Evidence at protein level,"HPA042991, HPA046745",Enhanced,,,,,Tissue enriched,Group enriched,124,parathyroid gland: 934.4;skeletal muscle: 1495.9,prostate: 9.7,Group enriched,19.0,HDLM-2: 54.5;Karpas-707: 102.8
1,CALCA,CALC1,ENSG00000110680,Calcitonin related polypeptide alpha,11,14966668-14972354,"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA059886,,Supported,,,Endometrial cancer:4.49e-5 (unfavourable),Tissue enriched,Group enriched,78,parathyroid gland: 849.6;thyroid gland: 183.4,kidney: 6.6,Not detected,,
2,KIAA1549L,"C11orf41, C11orf69, G2, MGC34830",ENSG00000110427,KIAA1549 like,11,33542072-33674102,Predicted membrane proteins,Evidence at protein level,HPA051594,,,Approved,Nucleoplasm,,Mixed,Group enriched,41,cerebral cortex: 34.9;parathyroid gland: 146.2,skin: 2.2,Cell line enhanced,,TIME: 43.4;U-138 MG: 64.2;WM-115: 44.5
3,C10orf71,FLJ45913,ENSG00000177354,Chromosome 10 open reading frame 71,10,49299193-49327487,Predicted intracellular proteins,Evidence at protein level,,,,,,,Tissue enhanced,Group enriched,34,heart muscle: 28.8;parathyroid gland: 74.8;skeletal muscle: 97.7,prostate: 1.9,Group enriched,17.0,K-562: 6.2;RH-30: 9.6
4,ERVFRD-1,"envFRD, ERVFRDE1, HERV-FRD, HERV-W/FRD, syncytin-2",ENSG00000244476,Endogenous retrovirus group FRD member 1,6,11102489-11111732,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Not detected,Group enriched,32,parathyroid gland: 30.4;placenta: 51.8,epididymis: 1.2,Cell line enriched,34.0,BEWO: 8.9
5,FRMPD4,"KIAA0316, PDZD10, PDZK10",ENSG00000169933,FERM and PDZ domain containing 4,X,12138466-12724523,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,31,cerebral cortex: 17.7;parathyroid gland: 30.1,heart muscle: 0.7,Cell line enhanced,,LHCN-M2: 3.5;U-2197: 6.0;U-266/70: 4.5
6,MSS51,"FLJ39565, ZMYND17",ENSG00000166343,MSS51 mitochondrial translational activator,10,73423579-73433561,Predicted intracellular proteins,Evidence at protein level,HPA038564,,,Uncertain,Vesicles<br>Cytosol,,Mixed,Group enriched,15,parathyroid gland: 162.6;skeletal muscle: 81.4,heart muscle: 8.3,Mixed,,
7,SELENOV,SELV,ENSG00000186838,Selenoprotein V,19,39515113-39520686,Predicted intracellular proteins,Evidence at transcript level,HPA059274,Uncertain,,,,Thyroid cancer:7.43e-4 (unfavourable),Tissue enhanced,Group enriched,13,parathyroid gland: 1.8;testis: 5.5;thyroid gland: 2.1,cerebral cortex: 0.2,Not detected,,
8,GPR88,,ENSG00000181656,G protein-coupled receptor 88,1,100538137-100542018,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins",Evidence at transcript level,HPA007488,,Approved,,,,Tissue enriched,Group enriched,11,breast: 9.4;cerebral cortex: 3.1;liver: 4.9;ovary: 3.1;parathyroid gland: 4.9;spleen: 14.4,prostate: 0.6,Group enriched,8.0,HSkMC: 1.1;SCLC-21H: 2.3
9,POU2F3,"Epoc-1, OCT11, PLA-1, Skn-1a",ENSG00000137709,POU class 2 homeobox 3,11,120236640-120319944,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA019652,Enhanced,,,,Thyroid cancer:8.14e-4 (favourable),Mixed,Group enriched,11,parathyroid gland: 15.5;skin: 72.3,seminal vesicle: 3.8,Cell line enhanced,,CAPAN-2: 3.7;SK-BR-3: 2.2;T-47d: 5.2
10,INPP5J,"INPP5, PIB5PA, PIPP",ENSG00000185133,Inositol polyphosphate-5-phosphatase J,22,31122731-31134696,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA034539,,,Approved,Nucleoli<br>Cytosol,"Renal cancer:1.12e-7 (favourable), Lung cancer:1.47e-5 (favourable)",Tissue enriched,Group enriched,10,parathyroid gland: 215.4;thyroid gland: 242.1,small intestine: 22.4,Cell line enhanced,,HL-60: 15.5;SK-BR-3: 30.3;T-47d: 24.0
11,CLCNKA,hClC-Ka,ENSG00000186510,Chloride voltage-gated channel Ka,1,16018875-16034050,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA057717,Approved,,,,,Group enriched,Group enriched,9,kidney: 64.2;parathyroid gland: 40.4,thyroid gland: 5.5,Group enriched,11.0,RPMI-8226: 1.3;SK-BR-3: 1.4;U-266/70: 5.7
12,CLEC2L,FLJ32986,ENSG00000236279,C-type lectin domain family 2 member L,7,139523856-139544984,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA045050,Enhanced,,,,,Mixed,Group enriched,9,cerebral cortex: 21.0;parathyroid gland: 13.7,endometrium: 1.9,Cell line enhanced,,NTERA-2: 1.3;U-266/70: 2.4;U-266/84: 8.8
13,MAK,"dJ417M14.2, RP62",ENSG00000111837,Male germ cell associated kinase,6,10762723-10838555,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,,,,,,,Mixed,Group enriched,9,fallopian tube: 9.7;parathyroid gland: 10.2;testis: 20.4,lung: 1.4,Cell line enhanced,,HDLM-2: 1.4
14,PEX5L,"PEX5R, PXR2, TRIP8b",ENSG00000114757,Peroxisomal biogenesis factor 5 like,3,179794958-180037053,Predicted intracellular proteins,Evidence at protein level,HPA058026,Enhanced,,,,,Tissue enhanced,Group enriched,9,cerebral cortex: 67.5;parathyroid gland: 94.8,testis: 8.6,Group enriched,5.0,HDLM-2: 7.2;MOLT-4: 22.2;RPMI-8226: 15.1;SCLC-21H: 15.0;U-266/70: 12.8
15,DNAH2,"DNHD3, FLJ46675, KIAA1503",ENSG00000183914,Dynein axonemal heavy chain 2,17,7717354-7833744,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA067103,Enhanced,,Approved,Microtubules,,Mixed,Group enriched,8,fallopian tube: 20.9;parathyroid gland: 28.4;testis: 10.9,placenta: 2.5,Cell line enhanced,,A-431: 2.2;CACO-2: 3.2;CAPAN-2: 2.1;SCLC-21H: 2.7;SiHa: 2.4
16,DRICH1,C22orf43,ENSG00000189269,Aspartate rich 1,22,23608452-23632321,Predicted intracellular proteins,Evidence at protein level,HPA020446,,,Approved,Nucleus<br>Nucleoli,,Mixed,Group enriched,8,epididymis: 20.8;parathyroid gland: 23.9;testis: 81.2,endometrium: 5.4,Cell line enhanced,,CACO-2: 9.2
17,ERVMER34-1,,ENSG00000226887,Endogenous retrovirus group MER34 member 1,4,52722618-52751640,Predicted membrane proteins,Evidence at protein level,"HPA011423, HPA024053",Uncertain,,Approved,Nucleus<br>Cytosol,Head and neck cancer:3.55e-4 (unfavourable),Mixed,Group enriched,8,parathyroid gland: 48.2;placenta: 15.6,kidney: 3.7,Cell line enhanced,,CACO-2: 38.7;hTCEpi: 23.6;RPTEC TERT1: 18.4
18,HTR7,5-HT7,ENSG00000148680,5-hydroxytryptamine receptor 7,10,90740823-90857698,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, RAS pathway related proteins",Evidence at protein level,"CAB022708, HPA073617",Approved,,Supported,Nuclear speckles<br>Plasma membrane<br>Cytosol,,Group enriched,Group enriched,8,parathyroid gland: 44.8;testis: 16.1,urinary bladder: 3.8,Cell line enhanced,,hTERT-HME1: 25.8;LHCN-M2: 11.4;WM-115: 12.9
