,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PTH,PTH1,ENSG00000152266,Parathyroid hormone,11,13492055-13496181,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000072, CAB023409, CAB026363, HPA048540",Enhanced,,,,,Not detected,Tissue enriched,109145,parathyroid gland: 59340.8,thyroid gland: 0.5,Not detected,,
1,GCM2,"GCMB, hGCMb",ENSG00000124827,Glial cells missing homolog 2,6,10873223-10881941,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Not detected,Tissue enriched,997,parathyroid gland: 774.1,testis: 0.7,Not detected,,
2,TMC3,,ENSG00000188869,Transmembrane channel like 3,15,81331217-81374213,Predicted membrane proteins,Evidence at protein level,"HPA040265, HPA040510",Enhanced,,Supported,Cytosol,,Tissue enhanced,Tissue enriched,137,parathyroid gland: 252.6,epididymis: 1.8,Mixed,,
3,GPR32,RVDR1,ENSG00000142511,G protein-coupled receptor 32,19,50770464-50771732,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Tissue enriched,99,parathyroid gland: 260.1,placenta: 2.6,Cell line enriched,361.0,BEWO: 36.0
4,CASR,"FHH, GPRC2A, HHC, HHC1, NSHPT",ENSG00000036828,Calcium sensing receptor,3,122183683-122291629,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA039686, HPA050335",Enhanced,,,,,Tissue enriched,Tissue enriched,58,parathyroid gland: 1441.4,kidney: 24.6,Not detected,,
5,NLRP5,"CLR19.8, MATER, NALP5, PAN11, PYPAF8",ENSG00000171487,NLR family pyrin domain containing 5,19,55999726-56061813,Predicted secreted proteins,Evidence at protein level,HPA056271,Uncertain,,,,,Not detected,Tissue enriched,51,parathyroid gland: 22.9,testis: 0.4,Cell line enhanced,,U-2 OS: 3.9
6,CD109,"CPAMD7, DKFZp762L1111, FLJ38569",ENSG00000156535,CD109 molecule,6,73695785-73828316,"CD markers, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA015723,Enhanced,,,,"Stomach cancer:7.96e-5 (unfavourable), Renal cancer:2.65e-4 (unfavourable), Urothelial cancer:4.68e-4 (unfavourable)",Expressed in all,Tissue enriched,43,parathyroid gland: 967.3,skin: 22.4,Cell line enhanced,,ASC TERT1: 162.5
7,SIX3,HPE2,ENSG00000138083,SIX homeobox 3,2,44941898-44946077,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA067988,,,Approved,Nucleoplasm,,Mixed,Tissue enriched,31,parathyroid gland: 39.3,"cervix, uterine: 1.2",Cell line enhanced,,HAP1: 12.7;SCLC-21H: 77.1;SH-SY5Y: 27.8
8,PCDHAC1,,ENSG00000248383,"Protocadherin alpha subfamily C, 1",5,140926369-141012344,Predicted membrane proteins,Evidence at transcript level,HPA052775,,,Approved,Nucleus<br>Nucleoli<br>Vesicles,,Not detected,Tissue enriched,27,parathyroid gland: 69.4,cerebral cortex: 2.5,Cell line enhanced,,A549: 5.7;hTCEpi: 5.8;PC-3: 4.2;SCLC-21H: 4.1
9,EPHA1,"EPH, EPHT, EPHT1",ENSG00000146904,EPH receptor A1,7,143390289-143408892,"Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins",Evidence at protein level,CAB026144,Uncertain,,,,Renal cancer:1.14e-6 (favourable),Mixed,Tissue enriched,24,parathyroid gland: 877.3,esophagus: 36.2,Cell line enhanced,,CACO-2: 29.0;HaCaT: 28.6;NTERA-2: 106.2
10,TINF2,TIN2,ENSG00000092330,TERF1 interacting nuclear factor 2,14,24239643-24242674,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA059061, HPA069807",,,Enhanced,Nuclear bodies,Breast cancer:4.96e-4 (favourable),Expressed in all,Tissue enriched,24,parathyroid gland: 1349.0,smooth muscle: 56.5,Expressed in all,,
11,SYCP2L,"C6orf177, dJ62D2.1, NO145",ENSG00000153157,Synaptonemal complex protein 2 like,6,10886831-10979320,Predicted intracellular proteins,Evidence at protein level,HPA034679,,,Supported,Nucleoplasm,,Tissue enhanced,Tissue enriched,20,parathyroid gland: 122.5,testis: 5.9,Cell line enhanced,,HL-60: 10.7;HMC-1: 35.1;K-562: 9.5;NB-4: 9.1
12,T,,ENSG00000164458,T brachyury transcription factor,6,166157656-166168700,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA003322,Uncertain,,Supported,Nucleus,,Tissue enriched,Tissue enriched,20,parathyroid gland: 8.7,testis: 0.4,Group enriched,6.0,HeLa: 10.3;SCLC-21H: 4.2
13,LGI2,"FLJ10675, KIAA1916",ENSG00000153012,Leucine rich repeat LGI family member 2,4,24998847-25030879,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA017140,Approved,,Approved,Centrosome,,Mixed,Tissue enriched,19,parathyroid gland: 371.4,smooth muscle: 19.6,Cell line enhanced,,AF22: 27.8;RPMI-8226: 9.3;SCLC-21H: 21.4
14,DNAH11,"CILD7, DNAHBL, Dnahc11, DNHBL, DPL11",ENSG00000105877,Dynein axonemal heavy chain 11,7,21543215-21901839,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"HPA045880, HPA056474",Approved,,,,Renal cancer:1.49e-7 (unfavourable),Mixed,Tissue enriched,17,parathyroid gland: 145.0,fallopian tube: 8.5,Cell line enhanced,,U-2 OS: 1.1;U-2197: 1.2
15,EPHA7,Hek11,ENSG00000135333,EPH receptor A7,6,93240020-93419547,"Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,CAB010496,Approved,,,,,Tissue enhanced,Tissue enriched,13,parathyroid gland: 253.5,prostate: 20.2,Cell line enhanced,,AF22: 15.6;HEK93: 41.9;RH-30: 41.8;THP-1: 25.7
16,KANSL1L,"C2orf67, FLJ23861, FLJ32349, KIAA1267L, MSL1v2",ENSG00000144445,KAT8 regulatory NSL complex subunit 1 like,2,210021423-210171383,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA043102, HPA046790",Uncertain,,Approved,Cytosol,,Expressed in all,Tissue enriched,13,parathyroid gland: 585.1,testis: 46.0,Expressed in all,,
17,PVALB,D22S749,ENSG00000100362,Parvalbumin,22,36800684-36819479,Predicted intracellular proteins,Evidence at protein level,"CAB002515, HPA048536",Enhanced,Approved,Approved,Nucleoplasm<br>Nucleoli<br>Cell Junctions,,Group enriched,Tissue enriched,13,parathyroid gland: 547.2,kidney: 43.5,Cell line enriched,144.0,RPMI-8226: 558.1
18,RAPGEF5,"GFR, KIAA0277, MR-GEF",ENSG00000136237,Rap guanine nucleotide exchange factor 5,7,22118238-22357144,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins",Evidence at protein level,"HPA057821, HPA076772",Uncertain,,Supported,Nucleoplasm<br>Nuclear bodies,"Head and neck cancer:3.52e-5 (favourable), Endometrial cancer:9.44e-4 (unfavourable)",Expressed in all,Tissue enriched,12,parathyroid gland: 1205.9,placenta: 97.1,Cell line enhanced,,HUVEC TERT2: 37.6;SCLC-21H: 40.3;TIME: 21.0;U-698: 26.6
19,CCDC86,MGC2574,ENSG00000110104,Coiled-coil domain containing 86,11,60842071-60851081,Predicted intracellular proteins,Evidence at protein level,"HPA041117, HPA041540",Enhanced,,Enhanced,Nucleus<br>Nucleoli,"Head and neck cancer:7.36e-5 (unfavourable), Liver cancer:1.71e-4 (unfavourable)",Expressed in all,Tissue enriched,11,parathyroid gland: 618.3,testis: 58.1,Expressed in all,,
20,CD226,"DNAM-1, DNAM1, PTA1, TLiSA1",ENSG00000150637,CD226 molecule,18,69831158-69961803,"CD markers, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"HPA015715, HPA050348",Supported,,Approved,Midbody,,Not detected,Tissue enriched,11,parathyroid gland: 318.5,spleen: 28.4,Group enriched,7.0,HEL: 89.9;HMC-1: 37.6
21,PAX1,,ENSG00000125813,Paired box 1,20,21705659-21718486,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,11,parathyroid gland: 185.2,tonsil: 17.5,Cell line enriched,6.0,SCLC-21H: 1.6
22,HMGXB3,"HMGX3, KIAA0194, SMF",ENSG00000113716,HMG-box containing 3,5,150000046-150053142,"Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA005967,,,Approved,Nucleoli,Liver cancer:3.37e-5 (unfavourable),Expressed in all,Tissue enriched,10,parathyroid gland: 283.3,prostate: 27.4,Expressed in all,,
23,KIF13B,"GAKIN, KIAA0639",ENSG00000197892,Kinesin family member 13B,8,29067279-29263124,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA025023, HPA049655",Enhanced,,,,"Renal cancer:0.00e+0 (favourable), Pancreatic cancer:4.77e-4 (unfavourable), Head and neck cancer:6.26e-4 (favourable), Colorectal cancer:8.92e-4 (favourable)",Expressed in all,Tissue enriched,10,parathyroid gland: 208.8,kidney: 20.2,Mixed,,
24,LZTS1,FEZ1,ENSG00000061337,Leucine zipper tumor suppressor 1,8,20246165-20303963,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA006294, HPA022046",Approved,,Approved,Nucleoli<br>Plasma membrane,"Renal cancer:9.28e-6 (unfavourable), Endometrial cancer:3.03e-4 (unfavourable)",Expressed in all,Tissue enriched,10,parathyroid gland: 125.4,testis: 12.4,Cell line enhanced,,SK-MEL-30: 59.3;WM-115: 50.1
25,CHGA,,ENSG00000100604,Chromogranin A,14,92923080-92935293,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000023, HPA017369, CAB040544, CAB055506, CAB058688",Enhanced,,Supported,Vesicles,"Breast cancer:7.85e-5 (favourable), Liver cancer:2.40e-4 (unfavourable), Urothelial cancer:3.99e-4 (unfavourable), Pancreatic cancer:4.07e-4 (favourable)",Tissue enhanced,Tissue enriched,9,parathyroid gland: 7061.6,adrenal gland: 818.1,Group enriched,156.0,SCLC-21H: 285.4;SH-SY5Y: 700.4
26,EI24,"EPG4, PIG8, TP53I8",ENSG00000149547,"EI24, autophagy associated transmembrane protein",11,125569216-125584687,"Cancer-related genes, Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA047165, HPA051029",Approved,,Supported,Endoplasmic reticulum<br>Golgi apparatus<br>Cytosol,Pancreatic cancer:9.28e-4 (unfavourable),Expressed in all,Tissue enriched,9,parathyroid gland: 1120.1,liver: 125.1,Expressed in all,,
27,EMILIN2,"FLJ33200, FOAP-10",ENSG00000132205,Elastin microfibril interfacer 2,18,2847030-2915993,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA064576,Supported,,,,"Renal cancer:1.62e-4 (unfavourable), Liver cancer:6.30e-4 (unfavourable)",Expressed in all,Tissue enriched,9,parathyroid gland: 269.3,placenta: 31.4,Cell line enhanced,,ASC diff: 33.3;BEWO: 36.7;HL-60: 30.1;HMC-1: 53.5;U-2197: 43.7
28,NCKIPSD,"AF3P21, DIP1, ORF1, SPIN90, WASLBP, WISH",ENSG00000213672,NCK interacting protein with SH3 domain,3,48673844-48686364,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB019267, HPA050005",,,Enhanced,Plasma membrane<br>Cytosol,"Renal cancer:1.20e-5 (favourable), Liver cancer:8.57e-4 (unfavourable)",Expressed in all,Tissue enriched,9,parathyroid gland: 306.0,cerebral cortex: 35.0,Expressed in all,,
29,SLC17A5,"AST, ISSD, NSD, SD, SIALIN, SIASD, SLD",ENSG00000119899,Solute carrier family 17 member 5,6,73593379-73654155,"Disease related genes, Predicted membrane proteins",Evidence at protein level,HPA044479,,,Supported,Plasma membrane<br>Cytosol,Thyroid cancer:3.52e-4 (favourable),Expressed in all,Tissue enriched,9,parathyroid gland: 652.6,thyroid gland: 70.0,Expressed in all,,
30,HCAR1,"FKSG80, GPR104, GPR81, HCA1, LACR1, TA-GPCR",ENSG00000196917,Hydroxycarboxylic acid receptor 1,12,122726076-122730843,"G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,Breast cancer:3.61e-5 (unfavourable),Mixed,Tissue enriched,8,parathyroid gland: 115.0,breast: 15.1,Cell line enhanced,,CAPAN-2: 10.9;MCF7: 6.3;RT4: 28.4
31,RALB,,ENSG00000144118,RAS like proto-oncogene B,2,120240064-120294713,"Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,"CAB026010, HPA065232",Enhanced,,,,Pancreatic cancer:1.67e-4 (unfavourable),Expressed in all,Tissue enriched,8,parathyroid gland: 664.6,placenta: 82.8,Expressed in all,,
32,RCAN1,DSCR1,ENSG00000159200,Regulator of calcineurin 1,21,34513142-34615142,Predicted intracellular proteins,Evidence at protein level,CAB037218,Uncertain,,Approved,Cytosol,,Expressed in all,Tissue enriched,8,parathyroid gland: 1116.7,placenta: 137.4,Cell line enhanced,,SK-MEL-30: 987.4;WM-115: 803.4
33,RNF217,"C6orf172, dJ84N20.1, IBRDC1, MGC26996",ENSG00000146373,Ring finger protein 217,6,124962545-125092633,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA029598,Uncertain,,,,"Renal cancer:4.60e-5 (unfavourable), Urothelial cancer:1.92e-4 (unfavourable)",Expressed in all,Tissue enriched,8,parathyroid gland: 95.7,testis: 12.5,Mixed,,
