,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABCD2,"ALDL1, ALDR, ALDRP",ENSG00000173208,ATP binding cassette subfamily D member 2,12,39550033-39619751,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Tissue enriched,Tissue enhanced,,adipose tissue: 16.7,"cervix, uterine: 8.5",Group enriched,6.0,ASC diff: 8.0;HDLM-2: 15.7;Karpas-707: 20.8;SH-SY5Y: 18.5;U-266/70: 7.4
1,ADAMTS15,,ENSG00000166106,ADAM metallopeptidase with thrombospondin type 1 motif 15,11,130448974-130476641,Predicted secreted proteins,Evidence at transcript level,HPA042867,Uncertain,,Approved,Cytosol,"Urothelial cancer:5.63e-5 (unfavourable), Glioma:9.00e-4 (favourable), Lung cancer:9.72e-4 (unfavourable)",Mixed,Tissue enhanced,,adipose tissue: 30.3;placenta: 23.7,breast: 11.0,Cell line enhanced,,ASC diff: 49.3;ASC TERT1: 30.1;EFO-21: 34.5
2,ADAMTS4,"ADAMTS-2, ADMP-1, KIAA0688",ENSG00000158859,ADAM metallopeptidase with thrombospondin type 1 motif 4,1,161184308-161199056,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB025876, HPA051296, HPA068374",Uncertain,,Approved,Nuclear speckles,"Renal cancer:7.27e-7 (unfavourable), Lung cancer:5.00e-4 (unfavourable)",Expressed in all,Tissue enhanced,,adipose tissue: 62.8,appendix: 22.9,Cell line enhanced,,hTEC/SVTERT24-B: 11.8;HUVEC TERT2: 12.0;SH-SY5Y: 8.4;TIME: 9.9;U-251 MG: 9.0
3,ADIRF,"AFRO, APM2, C10orf116",ENSG00000148671,Adipogenesis regulatory factor,10,86968192-86983934,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA026810,Approved,,Supported,Nucleoplasm<br>Cytosol,,Not detected,Tissue enhanced,,adipose tissue: 265.8,small intestine: 144.5,Cell line enhanced,,A-431: 92.8;HaCaT: 235.9;PC-3: 133.9;RT4: 150.3
4,ADRA1A,"ADRA1C, ADRA1L1",ENSG00000120907,Adrenoceptor alpha 1A,8,26748150-26867273,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"HPA029678, HPA029679",Approved,,,,,Tissue enhanced,Tissue enhanced,,adipose tissue: 22.6;liver: 31.6;prostate: 20.8,seminal vesicle: 19.1,Not detected,,
5,AIFM2,"AMID, FLJ14497, PRG3",ENSG00000042286,"Apoptosis inducing factor, mitochondria associated 2",10,70098223-70132934,Predicted intracellular proteins,Evidence at protein level,"HPA028961, HPA042309",Approved,,Approved,Cytosol,"Endometrial cancer:2.80e-4 (favourable), Urothelial cancer:2.92e-4 (favourable)",Expressed in all,Tissue enhanced,,adipose tissue: 42.7,thyroid gland: 17.9,Cell line enhanced,,Hep G2: 113.7
6,ANGPTL4,"ARP4, FIAF, HFARP, NL2, PGAR, pp1158",ENSG00000167772,Angiopoietin like 4,19,8363289-8374373,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA007879, CAB033770",Approved,,Approved,Nucleoplasm<br>Vesicles,"Renal cancer:1.34e-5 (unfavourable), Colorectal cancer:7.53e-4 (unfavourable), Lung cancer:9.50e-4 (unfavourable)",Expressed in all,Tissue enhanced,,adipose tissue: 78.7,liver: 43.2,Cell line enhanced,,HBEC3-KT: 161.5;TIME: 92.8;U-138 MG: 64.0
7,AOC3,"HPAO, VAP-1, VAP1",ENSG00000131471,"Amine oxidase, copper containing 3",17,42851184-42858130,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA000980, CAB025797",Enhanced,,Approved,Golgi apparatus<br>Cytosol,"Renal cancer:1.79e-5 (unfavourable), Colorectal cancer:3.68e-4 (unfavourable), Urothelial cancer:6.98e-4 (unfavourable)",Expressed in all,Tissue enhanced,,adipose tissue: 450.1,smooth muscle: 205.7,Cell line enriched,17.0,ASC diff: 210.1
8,APOLD1,"DKFZP434F0318, FLJ25138",ENSG00000178878,Apolipoprotein L domain containing 1,12,12725917-12829975,Predicted membrane proteins,Evidence at protein level,"HPA052462, HPA058882",Approved,,Enhanced,Nucleoplasm<br>Cytosol,,Expressed in all,Tissue enhanced,,adipose tissue: 142.9,placenta: 123.3,Cell line enhanced,,AF22: 35.9;HDLM-2: 17.8
9,ARHGEF15,"ARGEF15, FLJ13791, KIAA0915, MGC44868, Vsm-RhoGEF",ENSG00000198844,Rho guanine nucleotide exchange factor 15,17,8310241-8322516,Predicted intracellular proteins,Evidence at protein level,"HPA044443, HPA063495",,,Supported,Plasma membrane,,Expressed in all,Tissue enhanced,,adipose tissue: 37.2,lung: 30.7,Group enriched,41.0,HUVEC TERT2: 32.7;TIME: 42.4
10,ATOH8,"bHLHa21, FLJ14708, HATH6",ENSG00000168874,Atonal bHLH transcription factor 8,2,85751344-85788066,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA028406,,,Supported,Nucleoplasm,"Pancreatic cancer:8.98e-6 (favourable), Renal cancer:3.80e-5 (favourable)",Tissue enhanced,Tissue enhanced,,adipose tissue: 31.6,lung: 17.0,Cell line enhanced,,RH-30: 29.0;TIME: 23.5
11,AVPR2,"DIR, DIR3, V2R",ENSG00000126895,Arginine vasopressin receptor 2,X,153902531-153907166,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,HPA046678,Approved,,,,,Mixed,Tissue enhanced,,adipose tissue: 5.8,kidney: 2.8,Cell line enhanced,,EFO-21: 3.0;SCLC-21H: 4.6;U-266/84: 2.7;U-698: 2.8
12,BOK,"BCL2L9, BOKL, MGC4631",ENSG00000176720,"BOK, BCL2 family apoptosis regulator",2,241558721-241574138,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Renal cancer:1.09e-9 (favourable),Expressed in all,Tissue enhanced,,adipose tissue: 97.4,"endometrium,seminal vesicle: 35.9",Mixed,,
13,BTNL9,"BTN8, FLJ32535",ENSG00000165810,Butyrophilin like 9,5,181040225-181061523,Predicted membrane proteins,Evidence at protein level,HPA043429,,,Approved,Nuclear membrane<br>Vesicles,"Liver cancer:1.55e-9 (favourable), Endometrial cancer:7.51e-4 (unfavourable)",Mixed,Tissue enhanced,,adipose tissue: 166.9,lung: 55.8,Cell line enhanced,,U-2 OS: 5.7;U-698: 25.5
14,C11orf91,,ENSG00000205177,Chromosome 11 open reading frame 91,11,33698261-33700801,Predicted intracellular proteins,Evidence at protein level,"HPA047064, HPA050487",Uncertain,,Supported,Vesicles,,Not detected,Tissue enhanced,,adipose tissue: 5.8;gallbladder: 7.7;testis: 6.9,esophagus: 3.3,Cell line enhanced,,HBEC3-KT: 11.7;hTERT-HME1: 7.8;HUVEC TERT2: 6.8;TIME: 10.3;U-2197: 9.7
15,C1QTNF1,"CTRP1, FLJ90694, GIP, ZSIG37",ENSG00000173918,C1q and tumor necrosis factor related protein 1,17,79022814-79049788,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,CAB025429,Approved,,,,"Renal cancer:9.09e-9 (unfavourable), Cervical cancer:2.95e-4 (unfavourable)",Expressed in all,Tissue enhanced,,adipose tissue: 155.0,seminal vesicle: 65.5,Cell line enhanced,,ASC diff: 229.1;BJ hTERT+: 66.0;HHSteC: 105.8;U-87 MG: 78.1
16,C2CD4B,"FAM148B, NLF2",ENSG00000205502,C2 calcium dependent domain containing 4B,15,62163535-62165283,Predicted intracellular proteins,Evidence at transcript level,HPA046880,Uncertain,,,,Cervical cancer:4.22e-4 (favourable),Mixed,Tissue enhanced,,adipose tissue: 15.3,pancreas: 8.1,Cell line enhanced,,HUVEC TERT2: 1.6
17,C2orf66,UNQ6411,ENSG00000187944,Chromosome 2 open reading frame 66,2,196805002-196810276,Predicted secreted proteins,Evidence at transcript level,HPA020869,Uncertain,,,,,Mixed,Tissue enhanced,,adipose tissue: 2.8;adrenal gland: 1.7;testis: 1.7,skin: 1.1,Cell line enhanced,,HEL: 4.0;RT4: 1.3;TIME: 1.5
18,CALB2,CAL2,ENSG00000172137,Calbindin 2,16,71358713-71390438,"Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"CAB000106, HPA007305, HPA007306",Enhanced,Supported,Enhanced,Cytosol,Colorectal cancer:5.78e-5 (unfavourable),Mixed,Tissue enhanced,,adipose tissue: 54.6;testis: 24.9,adrenal gland: 12.7,Cell line enhanced,,HEL: 57.0;HMC-1: 116.3;U-2 OS: 39.2
