,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ADAMTS7,"ADAM-TS7, DKFZp434H204",ENSG00000136378,ADAM metallopeptidase with thrombospondin type 1 motif 7,15,78759203-78811431,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA045284, HPA048453",Uncertain,,Supported,Vesicles,Stomach cancer:9.53e-4 (unfavourable),Mixed,Tissue enhanced,,endometrium: 7.2,heart muscle: 4.3,Cell line enriched,9.0,HMC-1: 229.5
1,ADAMTSL1,"ADAMTSR1, C9orf94, FLJ35283",ENSG00000178031,ADAMTS like 1,9,17906563-18910950,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA057437,Uncertain,,,,,Mixed,Tissue enhanced,,endometrium: 24.1,smooth muscle: 18.7,Cell line enhanced,,ASC TERT1: 81.0;hTEC/SVTERT24-B: 62.6;TIME: 164.0;U-138 MG: 93.4
2,ADRA2C,"ADRA2L2, ADRA2RL2, ADRARL2",ENSG00000184160,Adrenoceptor alpha 2C,4,3766348-3768526,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,HPA057688,Uncertain,,,,,Mixed,Tissue enhanced,,"cervix, uterine: 20.9;endometrium: 26.0;seminal vesicle: 26.8",fallopian tube: 7.9,Cell line enhanced,,Hep G2: 9.0;MCF7: 16.8;SCLC-21H: 9.5;SH-SY5Y: 10.3
3,ALDH1A2,RALDH2,ENSG00000128918,Aldehyde dehydrogenase 1 family member A2,15,57953424-58497866,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA010022,Approved,,,,,Mixed,Tissue enhanced,,endometrium: 118.1;fallopian tube: 108.9,testis: 96.9,Group enriched,6.0,AN3-CA: 352.0;HEK93: 116.8;K-562: 305.3;MOLT-4: 330.5
4,ASPN,"FLJ20129, PLAP1, SLRR1C",ENSG00000106819,Asporin,9,92456205-92482506,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA008435, HPA024230",Approved,,Uncertain,Nucleoplasm,Renal cancer:1.64e-7 (unfavourable),Expressed in all,Tissue enhanced,,endometrium: 115.6;smooth muscle: 161.0,gallbladder: 104.1,Cell line enhanced,,ASC TERT1: 11.2;BJ hTERT+: 4.6;HHSteC: 19.2
5,BNC2,"BSN2, FLJ20043",ENSG00000173068,Basonuclin 2,9,16409503-16870843,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA018525, HPA059419",Approved,,Supported,Nucleoplasm,,Mixed,Tissue enhanced,,endometrium: 44.5;ovary: 39.4;smooth muscle: 48.0,fallopian tube: 19.3,Mixed,,
6,C1QTNF6,"CTRP6, ZACRP6",ENSG00000133466,C1q and tumor necrosis factor related protein 6,22,37180167-37199385,Predicted intracellular proteins,Evidence at protein level,HPA002042,Enhanced,,Approved,Nucleus,"Renal cancer:0.00e+0 (unfavourable), Lung cancer:9.60e-6 (unfavourable)",Expressed in all,Tissue enhanced,,endometrium: 52.3;placenta: 41.4,gallbladder: 13.5,Cell line enhanced,,MCF7: 83.4;RT4: 39.7
7,CDH13,CDHH,ENSG00000140945,Cadherin 13,16,82626803-83800640,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA001380, CAB025863",Enhanced,,Supported,Plasma membrane,Renal cancer:1.73e-6 (unfavourable),Expressed in all,Tissue enhanced,,endometrium: 70.0,"cervix, uterine: 66.4",Cell line enhanced,,LHCN-M2: 185.2;U-138 MG: 276.1;U-87 MG: 239.0
8,CEMIP,"HYBID, IR2155535, KIAA1199, TMEM2L",ENSG00000103888,Cell migration inducing hyaluronan binding protein,15,80779343-80951776,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,Urothelial cancer:2.65e-4 (unfavourable),Expressed in all,Tissue enhanced,,endometrium: 53.2,appendix: 15.8,Cell line enhanced,,BJ: 172.4;BJ hTERT+: 260.3;fHDF/TERT166: 200.3;HSkMC: 122.9;U-138 MG: 89.3
9,CPXM1,"CPX-1, CPX1, CPXM",ENSG00000088882,"Carboxypeptidase X, M14 family member 1",20,2794069-2800637,"Enzymes, Predicted secreted proteins",Evidence at protein level,,,,,,Renal cancer:4.62e-10 (unfavourable),Expressed in all,Tissue enhanced,,endometrium: 130.4;gallbladder: 132.2,urinary bladder: 75.0,Group enriched,5.0,AF22: 158.5;HSkMC: 62.0;NB-4: 92.9;NTERA-2: 34.2;REH: 136.3;SH-SY5Y: 113.9
