,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,MUC22,PBMUCL1,ENSG00000261272,Mucin 22,6,31010474-31035402,Predicted membrane proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,116,esophagus: 20.2,"testis,tonsil: 0.1",Not detected,,
1,KRT6C,KRT6E,ENSG00000170465,Keratin 6C,12,52468516-52473785,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA045697, HPA061168",Supported,,Supported,Intermediate filaments,Lung cancer:1.23e-5 (unfavourable),Tissue enhanced,Tissue enriched,50,esophagus: 525.3,"cervix, uterine: 10.6",Cell line enriched,6.0,RPMI-8226: 66.4
2,MUC21,"bCX31G15.2, C6orf205",ENSG00000204544,"Mucin 21, cell surface associated",6,30983718-30989903,Predicted membrane proteins,Evidence at protein level,HPA052028,Enhanced,,,,,Group enriched,Tissue enriched,49,esophagus: 596.4,tonsil: 12.2,Not detected,,
3,CAPN14,,ENSG00000214711,Calpain 14,2,31173056-31233858,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,,Group enriched,Tissue enriched,26,esophagus: 88.2,tonsil: 3.3,Cell line enhanced,,U-266/70: 2.1
4,KRT4,"CK4, CYK4, K4",ENSG00000170477,Keratin 4,12,52806549-52814551,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB002154, HPA034881",Supported,,Enhanced,Intermediate filaments,"Ovarian cancer:3.26e-4 (unfavourable), Urothelial cancer:6.26e-4 (unfavourable)",Group enriched,Tissue enriched,25,esophagus: 14861.9,tonsil: 599.4,Group enriched,28.0,HaCaT: 385.2;SK-BR-3: 130.9
5,IGFL1,UNQ644,ENSG00000188293,IGF like family member 1,19,46229752-46231243,Predicted secreted proteins,Evidence at protein level,HPA014001,Uncertain,,,,,Group enriched,Tissue enriched,22,esophagus: 97.7,tonsil: 4.4,Group enriched,8.0,HaCaT: 6.2;RT4: 20.8;SK-BR-3: 6.6
6,CRNN,"C1orf10, SEP53",ENSG00000143536,Cornulin,1,152409243-152414263,Predicted intracellular proteins,Evidence at protein level,"HPA024343, CAB026182",Enhanced,,,,,Group enriched,Tissue enriched,20,esophagus: 4518.8,tonsil: 225.3,Not detected,,
7,KRT13,"CK13, K13, MGC161462, MGC3781",ENSG00000171401,Keratin 13,17,41500981-41505705,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000133, HPA030877, HPA069771",Enhanced,,Enhanced,Intermediate filaments,"Renal cancer:1.45e-6 (unfavourable), Pancreatic cancer:1.02e-4 (unfavourable)",Group enriched,Tissue enriched,20,esophagus: 35138.5,tonsil: 1728.2,Group enriched,134.0,A-431: 2202.2;HaCaT: 1446.9
8,UGT1A7,UGT1G,ENSG00000244122,UDP glucuronosyltransferase family 1 member A7,2,233681938-233773299,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Group enriched,Tissue enriched,13,esophagus: 61.4,tonsil: 4.6,Cell line enriched,21.0,SiHa: 118.8
9,EPGN,"ALGV3072, EPG, epigen, PRO9904",ENSG00000182585,Epithelial mitogen,4,74308473-74315307,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA014369,,,Approved,Nucleus<br>Nuclear membrane<br>Cytosol,Urothelial cancer:2.40e-4 (unfavourable),Tissue enhanced,Tissue enriched,12,esophagus: 63.6,seminal vesicle: 5.4,Group enriched,7.0,hTCEpi: 132.6;U-2197: 76.6
10,SPRR1A,,ENSG00000169474,Small proline rich protein 1A,1,152985231-152985500,Predicted intracellular proteins,Evidence at protein level,CAB011237,Enhanced,,,,Pancreatic cancer:1.03e-4 (unfavourable),Tissue enhanced,Tissue enriched,12,esophagus: 9968.1,tonsil: 835.5,Group enriched,6.0,HaCaT: 21.3;hTCEpi: 49.9;RT4: 21.6
11,TGM1,"ICR2, LI, LI1, TGASE, TGK",ENSG00000092295,Transglutaminase 1,14,24249114-24264432,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,"CAB015159, HPA040171",Enhanced,,,,,Tissue enhanced,Tissue enriched,12,esophagus: 831.8,tonsil: 72.2,Cell line enhanced,,BEWO: 33.0;HaCaT: 42.3;MCF7: 27.0;SK-BR-3: 31.6
12,TGM3,TGE,ENSG00000125780,Transglutaminase 3,20,2296001-2341078,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,HPA004728,Enhanced,,,,,Tissue enriched,Tissue enriched,12,esophagus: 1513.9,tonsil: 126.4,Cell line enriched,7.0,EFO-21: 5.7
13,KRT6A,"CK6C, CK6D, K6C, K6D, KRT6C, KRT6D",ENSG00000205420,Keratin 6A,12,52487174-52493257,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA045697, HPA061168",Supported,,Approved,Intermediate filaments,Lung cancer:1.45e-4 (unfavourable),Tissue enhanced,Tissue enriched,10,esophagus: 5703.6,tonsil: 564.5,Cell line enhanced,,HaCaT: 1007.5;HBEC3-KT: 1727.3;hTCEpi: 7036.9
14,KRT6B,KRTL1,ENSG00000185479,Keratin 6B,12,52446651-52452126,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000130, HPA045697, HPA061168",Supported,,Approved,Intermediate filaments,"Breast cancer:9.44e-4 (favourable), Urothelial cancer:9.52e-4 (unfavourable)",Tissue enhanced,Tissue enriched,10,esophagus: 670.7,tonsil: 67.0,Cell line enhanced,,HBEC3-KT: 19.9;hTCEpi: 21.8;RPMI-8226: 9.3
15,SPRR3,,ENSG00000163209,Small proline rich protein 3,1,153001747-153003856,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,HPA044467,Enhanced,,,,Pancreatic cancer:6.27e-5 (unfavourable),Tissue enhanced,Tissue enriched,10,esophagus: 22075.5,tonsil: 2218.1,Cell line enhanced,,CAPAN-2: 5.2;hTCEpi: 6.9;RT4: 10.0
16,GJB2,"CX26, DFNA3, DFNB1, NSRD1",ENSG00000165474,Gap junction protein beta 2,13,20187470-20192898,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB013093, HPA014362",Uncertain,,Approved,Mitochondria,"Renal cancer:2.53e-6 (unfavourable), Pancreatic cancer:2.90e-4 (unfavourable), Glioma:5.98e-4 (unfavourable), Lung cancer:6.25e-4 (unfavourable)",Expressed in all,Tissue enriched,9,esophagus: 725.5,tonsil: 81.3,Cell line enhanced,,CAPAN-2: 129.4;hTCEpi: 78.0;RT4: 137.8
17,KLK13,KLK-L4,ENSG00000167759,Kallikrein related peptidase 13,19,51056206-51065114,"Cancer-related genes, Enzymes, Predicted secreted proteins",Evidence at protein level,HPA062136,Enhanced,,,,,Tissue enhanced,Tissue enriched,9,esophagus: 402.2,tonsil: 45.0,Cell line enriched,10.0,HaCaT: 16.8
18,SERPINB13,"headpin, HUR7, hurpin, PI13",ENSG00000197641,Serpin family B member 13,18,63586989-63604639,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA052630, HPA057129",Enhanced,,Approved,Nuclear speckles<br>Cytosol,,Tissue enhanced,Tissue enriched,9,esophagus: 184.6,tonsil: 20.7,Group enriched,137.0,HaCaT: 177.0;hTCEpi: 54.2
19,CSTB,"CST6, EPM1, PME, STFB",ENSG00000160213,Cystatin B,21,43772511-43776445,"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA017380, CAB047320, HPA058557",Enhanced,,Supported,Nucleoli<br>Cytosol,"Liver cancer:6.66e-5 (unfavourable), Renal cancer:2.10e-4 (unfavourable)",Expressed in all,Tissue enriched,8,esophagus: 1822.8,tonsil: 228.0,Expressed in all,,
20,FAM83A,"BJ-TSA-9, MGC14128",ENSG00000147689,Family with sequence similarity 83 member A,8,123178960-123210079,Predicted intracellular proteins,Evidence at protein level,HPA052615,,,Approved,Nucleoplasm,"Lung cancer:2.98e-9 (unfavourable), Pancreatic cancer:4.99e-6 (unfavourable), Endometrial cancer:3.85e-4 (unfavourable)",Tissue enhanced,Tissue enriched,8,esophagus: 77.9,seminal vesicle: 9.3,Cell line enhanced,,A-431: 72.5;HBEC3-KT: 90.5;hTCEpi: 47.9;K-562: 183.8
21,KRT78,K5B,ENSG00000170423,Keratin 78,12,52837804-52849092,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA039724,Enhanced,,,,,Tissue enhanced,Tissue enriched,8,esophagus: 1055.1,tonsil: 127.1,Group enriched,7.0,EFO-21: 5.3;RT4: 1.3;SK-BR-3: 3.0;U-87 MG: 3.0
22,MAL,,ENSG00000172005,"Mal, T-cell differentiation protein",2,95025677-95053996,Predicted membrane proteins,Evidence at protein level,HPA065691,,,Approved,Golgi apparatus<br>Centrosome,"Renal cancer:3.96e-9 (favourable), Endometrial cancer:5.18e-6 (unfavourable)",Mixed,Tissue enriched,8,esophagus: 2449.8,tonsil: 315.5,Group enriched,6.0,HDLM-2: 467.4;MOLT-4: 571.7;RPTEC TERT1: 1845.6
23,SPRR2A,,ENSG00000241794,Small proline rich protein 2A,1,153056113-153057537,Predicted intracellular proteins,Evidence at protein level,,,,,,Urothelial cancer:1.37e-5 (unfavourable),Tissue enhanced,Tissue enriched,8,esophagus: 5298.0,tonsil: 643.7,Group enriched,8.0,HaCaT: 5.3;hTCEpi: 5.2;hTERT-HME1: 7.3;Karpas-707: 8.4;U-266/70: 1.8
24,DYNAP,"C18orf26, FLJ39106",ENSG00000178690,Dynactin associated protein,18,54587757-54599493,Predicted membrane proteins,Evidence at protein level,HPA011148,Uncertain,,,,,Tissue enhanced,Tissue enriched,7,esophagus: 32.1,spleen: 4.3,Cell line enhanced,,Karpas-707: 8.9
25,FGFBP1,"FGFBP, HBP17",ENSG00000137440,Fibroblast growth factor binding protein 1,4,15935569-15938740,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA004332,Enhanced,,,,Pancreatic cancer:5.03e-4 (unfavourable),Tissue enhanced,Tissue enriched,7,esophagus: 297.8,skin: 40.2,Cell line enhanced,,CAPAN-2: 164.8;HaCaT: 489.2;HBEC3-KT: 688.5
26,GBP6,DKFZp686G0786,ENSG00000183347,Guanylate binding protein family member 6,1,89364058-89386461,Predicted intracellular proteins,Evidence at protein level,HPA027744,Enhanced,,,,,Group enriched,Tissue enriched,7,esophagus: 448.5,tonsil: 65.9,Group enriched,10.0,A-431: 6.0;HaCaT: 13.1
27,KRTAP3-2,KAP3.2,ENSG00000212900,Keratin associated protein 3-2,17,40999193-40999894,Predicted intracellular proteins,Evidence at protein level,HPA042992,Approved,,,,,Not detected,Tissue enriched,7,esophagus: 3.3,skin: 0.5,Not detected,,
28,PADI1,"HPAD10, PAD1, PDI, PDI1",ENSG00000142623,Peptidyl arginine deiminase 1,1,17205126-17246005,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA062294,Enhanced,,Approved,Nucleoplasm<br>Cytosol,Renal cancer:8.34e-11 (unfavourable),Tissue enhanced,Tissue enriched,7,esophagus: 37.1,skin: 5.4,Cell line enhanced,,CAPAN-2: 4.5;EFO-21: 2.3;HaCaT: 1.3;LHCN-M2: 1.6;RPTEC TERT1: 1.9
29,PRSS27,"CAPH2, MPN",ENSG00000172382,"Protease, serine 27",16,2712418-2720551,"Enzymes, Predicted secreted proteins",Evidence at protein level,CAB024920,Approved,,,,,Tissue enhanced,Tissue enriched,7,esophagus: 210.7,tonsil: 28.1,Cell line enhanced,,BEWO: 6.1;SK-BR-3: 18.9;T-47d: 14.0
30,RAET1L,,ENSG00000155918,Retinoic acid early transcript 1L,6,150018334-150025532,Predicted membrane proteins,Evidence at protein level,,,,,,Lung cancer:4.09e-4 (unfavourable),Tissue enhanced,Tissue enriched,7,esophagus: 38.9,tonsil: 5.9,Cell line enriched,6.0,HaCaT: 15.6
31,RHCG,"C15orf6, PDRC2, RHGK, SLC42A3",ENSG00000140519,Rh family C glycoprotein,15,89471398-89496613,"Predicted membrane proteins, Transporters",Evidence at protein level,"HPA041874, HPA043317",Enhanced,,,,Lung cancer:3.80e-4 (unfavourable),Tissue enhanced,Tissue enriched,7,esophagus: 2901.8,tonsil: 420.3,Cell line enhanced,,A549: 3.3;hTCEpi: 1.4;RT4: 1.6;SK-MEL-30: 1.0
32,SPRR2D,,ENSG00000163216,Small proline rich protein 2D,1,153039725-153041931,Predicted intracellular proteins,Evidence at protein level,,,,,,Urothelial cancer:1.62e-4 (unfavourable),Group enriched,Tissue enriched,7,esophagus: 2272.9,tonsil: 348.0,Group enriched,10.0,hTCEpi: 29.4;hTERT-HME1: 27.2;SK-MEL-30: 14.0;U-87 MG: 6.4
33,A2ML1,"CPAMD9, FLJ25179, p170",ENSG00000166535,Alpha-2-macroglobulin like 1,12,8822472-8887001,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA038847, HPA038848",Enhanced,,,,,Tissue enhanced,Tissue enriched,6,esophagus: 479.2,skin: 85.5,Cell line enhanced,,HMC-1: 9.6;hTCEpi: 3.9;SK-BR-3: 10.3
34,ADH7,ADH-4,ENSG00000196344,"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",4,99412261-99435737,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA039695,Enhanced,,Supported,Plasma membrane<br>Cytosol,,Group enriched,Tissue enriched,6,esophagus: 215.5,tonsil: 34.5,Cell line enhanced,,HaCaT: 1.0
35,ANXA1,"ANX1, LPC1",ENSG00000135046,Annexin A1,9,73151757-73170393,"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,"HPA011271, HPA011272, CAB013023, CAB035987, CAB058693",Enhanced,,Enhanced,Nucleoplasm<br>Plasma membrane<br>Cytosol,"Urothelial cancer:6.19e-6 (unfavourable), Thyroid cancer:4.57e-5 (favourable), Endometrial cancer:5.71e-5 (favourable)",Expressed in all,Tissue enriched,6,esophagus: 7548.8,tonsil: 1217.6,Mixed,,
36,SPRR1B,"GADD33, SPRR1",ENSG00000169469,Small proline rich protein 1B,1,153031202-153032900,"Cancer-related genes, Predicted intracellular proteins",Evidence at protein level,,,,,,"Pancreatic cancer:7.64e-5 (unfavourable), Lung cancer:7.66e-5 (unfavourable), Urothelial cancer:7.28e-4 (unfavourable)",Group enriched,Tissue enriched,6,esophagus: 2454.9,tonsil: 406.1,Cell line enriched,8.0,hTCEpi: 263.1
37,CLDN17,"MGC126552, MGC126554",ENSG00000156282,Claudin 17,21,30165564-30166756,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA045903,Enhanced,,,,,Tissue enhanced,Tissue enriched,5,esophagus: 6.6,tonsil: 1.2,Not detected,,
38,CRABP2,CRABP-II,ENSG00000143320,Cellular retinoic acid binding protein 2,1,156699606-156705816,Predicted intracellular proteins,Evidence at protein level,HPA004135,Supported,,Supported,Nucleoplasm<br>Cytosol,"Renal cancer:3.19e-13 (unfavourable), Endometrial cancer:2.11e-5 (unfavourable)",Expressed in all,Tissue enriched,5,esophagus: 1042.5,skin: 193.5,Cell line enhanced,,BJ hTERT+: 1263.6;MCF7: 468.2;T-47d: 1127.9
39,DSG3,CDHF6,ENSG00000134757,Desmoglein 3,18,31447795-31478702,"Plasma proteins, Predicted membrane proteins",Evidence at protein level,"HPA046864, HPA056863, CAB069880",Enhanced,,,,"Pancreatic cancer:1.43e-5 (unfavourable), Urothelial cancer:9.90e-4 (unfavourable)",Group enriched,Tissue enriched,5,esophagus: 349.5,tonsil: 66.0,Group enriched,7.0,HaCaT: 182.7;hTCEpi: 362.3
40,PITX1,"BFT, POTX, PTX1",ENSG00000069011,Paired like homeodomain 1,5,135027735-135034813,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA008743,Approved,,Supported,Nucleoli,,Tissue enhanced,Tissue enriched,5,esophagus: 211.7,salivary gland: 38.5,Cell line enhanced,,CACO-2: 116.7;K-562: 103.4;T-47d: 154.3
41,SERPINB4,"LEUPIN, PI11, SCCA-2, SCCA1, SCCA2",ENSG00000206073,Serpin family B member 4,18,63637259-63644298,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA048341, HPA049988, HPA055992",Supported,,,,Pancreatic cancer:5.48e-4 (unfavourable),Tissue enhanced,Tissue enriched,5,esophagus: 98.3,urinary bladder: 19.5,Cell line enhanced,,HaCaT: 1.9;SiHa: 1.8;U-2197: 5.5
42,TMPRSS11E,"DESC1, TMPRSS11E2",ENSG00000087128,"Transmembrane protease, serine 11E",4,68447449-68497604,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA051062,Uncertain,,,,Lung cancer:6.73e-4 (unfavourable),Group enriched,Tissue enriched,5,esophagus: 128.2,epididymis: 25.0,Cell line enhanced,,HaCaT: 1.4
