,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,KNG1,"BDK, BK, KNG",ENSG00000113889,Kininogen 1,3,186717276-186743954,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA001616, HPA001645, CAB009809",Enhanced,,,,Liver cancer:1.28e-6 (favourable),Tissue enriched,Group enriched,994,kidney: 522.4;liver: 1864.6,rectum: 1.2,Cell line enhanced,,CACO-2: 1.5;Hep G2: 1.2;RH-30: 1.3
1,UGT1A9,"HLUGP4, LUGP4, UGT1AI",ENSG00000241119,UDP glucuronosyltransferase family 1 member A9,2,233671853-233773300,"Cancer-related genes, Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,Renal cancer:5.04e-5 (unfavourable),Group enriched,Group enriched,592,kidney: 465.5;liver: 93.3,"cerebral cortex,colon: 0.4",Cell line enhanced,,A549: 1.2
2,ACSM2A,"A-923A4.1, ACSM2, MGC150530",ENSG00000183747,Acyl-CoA synthetase medium-chain family member 2A,16,20451461-20487667,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA057699,Supported,,,,Liver cancer:1.41e-5 (favourable),Group enriched,Group enriched,580,kidney: 285.2;liver: 185.7,cerebral cortex: 0.4,Cell line enhanced,,Hep G2: 1.3
3,HAO2,"GIG16, HAOX2",ENSG00000116882,Hydroxyacid oxidase 2,1,119368779-119394130,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,Renal cancer:4.92e-4 (favourable),Group enriched,Group enriched,300,kidney: 317.5;liver: 219.8,"adrenal gland,breast: 0.8",Not detected,,
4,BHMT,BHMT1,ENSG00000145692,Betaine--homocysteine S-methyltransferase,5,79111779-79132290,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038285, HPA058310",Enhanced,,Supported,Cytosol,Liver cancer:7.32e-4 (favourable),Tissue enhanced,Group enriched,225,kidney: 788.8;liver: 563.6,urinary bladder: 3.0,Cell line enhanced,,Hep G2: 2.4;NTERA-2: 1.4;SCLC-21H: 1.1
5,CYP3A4,CYP3A3,ENSG00000160868,Cytochrome P450 family 3 subfamily A member 4,7,99756960-99784265,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB033671, HPA072245",Enhanced,,Uncertain,Cytosol,,Tissue enriched,Group enriched,199,duodenum: 826.8;liver: 2451.8;small intestine: 971.1,adrenal gland: 7.1,Cell line enhanced,,BEWO: 1.8;NB-4: 1.3;RPMI-8226: 2.2;SCLC-21H: 1.4;SH-SY5Y: 2.4
6,CYP4A11,"CYP4A2, CYP4AII",ENSG00000187048,Cytochrome P450 family 4 subfamily A member 11,1,46929177-46941484,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,183,kidney: 232.3;liver: 448.3,gallbladder: 1.8,Not detected,,
7,ACSM2B,"ACSM2, HXMA, HYST1046",ENSG00000066813,Acyl-CoA synthetase medium-chain family member 2B,16,20536226-20576427,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA057699,Supported,,,,Liver cancer:3.31e-4 (favourable),Group enriched,Group enriched,136,kidney: 426.7;liver: 262.0,thyroid gland: 2.5,Cell line enhanced,,AF22: 2.8;Hep G2: 3.7
8,APOB,,ENSG00000084674,Apolipoprotein B,2,21001429-21044073,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016070, HPA049793",Supported,,Supported,Vesicles<br>Cytosol,,Tissue enriched,Group enriched,120,duodenum: 182.8;liver: 618.9;small intestine: 333.2,adipose tissue: 3.1,Cell line enriched,25.0,Hep G2: 734.4
9,CREB3L3,CREB-H,ENSG00000060566,CAMP responsive element binding protein 3 like 3,19,4153601-4173054,"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Evidence at protein level,"HPA040671, HPA056228",Enhanced,,,,Renal cancer:3.53e-6 (unfavourable),Tissue enriched,Group enriched,104,duodenum: 241.6;liver: 61.0;small intestine: 278.7,"colon,stomach: 1.8",Cell line enhanced,,HDLM-2: 44.9;Hep G2: 10.3;U-266/70: 7.7
10,PRODH2,HSPOX1,ENSG00000250799,Proline dehydrogenase 2,19,35799988-35813299,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA051287,Approved,,Supported,Nucleoplasm<br>Cytosol,,Group enriched,Group enriched,96,kidney: 132.8;liver: 45.1,testis: 0.9,Cell line enriched,14.0,Hep G2: 21.4
11,HPD,"4-HPPD, 4HPPD, GLOD3, PPD",ENSG00000158104,4-hydroxyphenylpyruvate dioxygenase,12,121839527-121863596,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038321, HPA038322",Enhanced,,Uncertain,Nuclear speckles,,Tissue enriched,Group enriched,86,kidney: 529.9;liver: 1293.2,seminal vesicle: 10.5,Cell line enriched,24.0,Hep G2: 349.1
12,SLC22A7,"NLT, OAT2",ENSG00000137204,Solute carrier family 22 member 7,6,43295694-43305538,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA030220,Approved,,,,"Liver cancer:5.48e-6 (favourable), Renal cancer:8.98e-4 (favourable)",Tissue enriched,Group enriched,73,kidney: 50.3;liver: 167.8,testis: 1.4,Cell line enriched,14.0,Hep G2: 6.7
13,CRP,PTX1,ENSG00000132693,C-reactive protein,1,159712289-159714589,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB005036, HPA027367, HPA027396",Supported,,,,Renal cancer:4.17e-10 (unfavourable),Tissue enriched,Group enriched,67,gallbladder: 172.9;liver: 532.1,endometrium: 5.2,Cell line enhanced,,EFO-21: 5.9;HDLM-2: 5.8;U-2 OS: 4.4;U-266/84: 7.5
14,C4BPA,C4BP,ENSG00000123838,Complement component 4 binding protein alpha,1,207104262-207144972,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA000926, HPA001578",Enhanced,,,,"Endometrial cancer:6.37e-5 (favourable), Liver cancer:2.24e-4 (favourable)",Tissue enriched,Group enriched,65,liver: 997.5;lung: 262.3,"cervix, uterine: 9.6",Cell line enriched,6.0,Hep G2: 25.8
15,IGFBP1,"AFBP, hIGFBP-1, IBP1, IGF-BP25, PP12",ENSG00000146678,Insulin like growth factor binding protein 1,7,45888357-45893668,"Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB004445, HPA046972, HPA050640",Enhanced,,Approved,Golgi apparatus,"Renal cancer:6.90e-11 (unfavourable), Lung cancer:1.03e-4 (unfavourable), Stomach cancer:6.64e-4 (unfavourable)",Tissue enriched,Group enriched,52,endometrium: 120.4;liver: 563.0;placenta: 265.8,fallopian tube: 6.0,Group enriched,8.0,Hep G2: 33.4;U-2197: 71.7;U-87 MG: 128.8
16,DAO,DAMOX,ENSG00000110887,D-amino acid oxidase,12,108858932-108901043,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA038653, HPA038654",Enhanced,,,,Renal cancer:4.11e-4 (favourable),Tissue enriched,Group enriched,36,kidney: 89.8;liver: 74.1,rectum: 2.2,Not detected,,
17,TM4SF4,il-TMP,ENSG00000169903,Transmembrane 4 L six family member 4,3,149473974-149503281,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA046430,Enhanced,,Approved,Plasma membrane<br>Cytosol,,Group enriched,Group enriched,34,duodenum: 579.6;gallbladder: 1319.6;liver: 346.9;small intestine: 504.0,stomach: 20.2,Group enriched,6.0,A549: 19.4;RPTEC TERT1: 24.4
18,AGXT2,AGT2,ENSG00000113492,Alanine--glyoxylate aminotransferase 2,5,34998101-35048135,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA037382,Enhanced,,,,Renal cancer:7.47e-4 (favourable),Group enriched,Group enriched,33,kidney: 197.9;liver: 59.3,small intestine: 3.9,Not detected,,
19,UGT1A1,"GNT1, UGT1, UGT1A",ENSG00000241635,UDP glucuronosyltransferase family 1 member A1,2,233760248-233773299,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,33,duodenum: 199.5;liver: 155.8;small intestine: 81.9,kidney: 4.3,Cell line enhanced,,HaCaT: 12.7;PC-3: 6.0;RT4: 27.4
