,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,NXPH1,,ENSG00000122584,Neurexophilin 1,7,8433955-8752963,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at transcript level,HPA020062,Uncertain,,,,,Group enriched,Group enriched,81,adrenal gland: 52.1;cerebral cortex: 47.2,breast: 0.6,Cell line enhanced,,Karpas-707: 7.7;SCLC-21H: 1.3;WM-115: 3.3
1,XX-FW81066F1.2,,ENSG00000283463,,X,149929645-149931287,Predicted intracellular proteins,Evidence at transcript level,,,,,,,,Group enriched,33,adrenal gland: 4.8;testis: 17.6,skin: 0.3,Not detected,,
2,UNC5A,"KIAA1976, UNC5H1",ENSG00000113763,Unc-5 netrin receptor A,5,176810477-176880895,Predicted membrane proteins,Evidence at protein level,HPA071450,,,Approved,Plasma membrane<br>Cytosol,Endometrial cancer:2.23e-4 (unfavourable),Tissue enhanced,Group enriched,22,adrenal gland: 10.3;cerebral cortex: 35.4,lymph node: 1.0,Cell line enriched,14.0,SCLC-21H: 104.8
3,DLK1,"Delta1, FA1, pG2, Pref-1, ZOG",ENSG00000185559,Delta like non-canonical Notch ligand 1,14,100725705-100738224,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,"CAB005872, HPA053879, HPA062262",Supported,,Approved,Golgi apparatus,Endometrial cancer:2.31e-4 (unfavourable),Tissue enhanced,Group enriched,20,adrenal gland: 1591.0;placenta: 2331.6,ovary: 100.3,Group enriched,6.0,AF22: 118.4;Hep G2: 282.9;SH-SY5Y: 501.8
4,LRRC38,,ENSG00000162494,Leucine rich repeat containing 38,1,13474977-13514048,Predicted membrane proteins,Evidence at protein level,HPA038778,Approved,,,,,Mixed,Group enriched,19,adrenal gland: 19.9;skeletal muscle: 10.5,placenta: 0.8,Cell line enhanced,,MOLT-4: 13.0;PC-3: 10.4;U-138 MG: 17.5
5,FNDC9,"C5orf40, MGC27121",ENSG00000172568,Fibronectin type III domain containing 9,5,157341600-157345721,Predicted membrane proteins,Evidence at transcript level,"HPA011115, HPA017291",Approved,,,,,Tissue enriched,Group enriched,18,adrenal gland: 6.2;cerebral cortex: 20.7,appendix: 0.7,Not detected,,
6,NPY,PYY4,ENSG00000122585,Neuropeptide Y,7,24284163-24291865,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB016733, CAB034368, HPA036636, HPA044572, HPA056798",Supported,Supported,Enhanced,Golgi apparatus,Endometrial cancer:5.78e-4 (unfavourable),Tissue enriched,Group enriched,18,adrenal gland: 153.2;cerebral cortex: 211.6;prostate: 495.0,appendix: 16.1,Cell line enriched,39.0,SH-SY5Y: 696.9
7,RAB3C,,ENSG00000152932,"RAB3C, member RAS oncogene family",5,58582221-58859394,Predicted intracellular proteins,Evidence at protein level,"HPA003160, HPA048156",Enhanced,,Approved,Cytosol,,Mixed,Group enriched,17,adrenal gland: 12.0;cerebral cortex: 55.3,small intestine: 2.0,Cell line enhanced,,HEL: 2.2;SCLC-21H: 11.9;SH-SY5Y: 3.9
8,FAM19A3,"TAFA-3, TAFA3",ENSG00000184599,"Family with sequence similarity 19 member A3, C-C motif chemokine like",1,112720419-112727235,Predicted secreted proteins,Evidence at transcript level,HPA055927,Approved,,,,Glioma:8.24e-4 (unfavourable),Mixed,Group enriched,15,adrenal gland: 19.9;testis: 8.7,epididymis: 0.9,Cell line enhanced,,BJ hTERT+: 3.7;HEL: 1.6;U-87 MG: 1.7
9,CALY,"CALCYON, DRD1IP, NSG3",ENSG00000130643,Calcyon neuron specific vesicular protein,10,133324072-133336935,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA042283,Enhanced,,,,Pancreatic cancer:3.54e-4 (favourable),Group enriched,Group enriched,13,adrenal gland: 23.5;cerebral cortex: 77.1,testis: 3.8,Not detected,,
10,FAM166B,,ENSG00000215187,Family with sequence similarity 166 member B,9,35561831-35563899,Predicted intracellular proteins,Evidence at protein level,HPA045540,Enhanced,,,,"Ovarian cancer:6.20e-6 (favourable), Endometrial cancer:2.61e-5 (favourable)",Group enriched,Group enriched,13,adrenal gland: 369.8;fallopian tube: 159.2;skeletal muscle: 82.6,epididymis: 16.2,Cell line enhanced,,Hep G2: 1.1
11,GPR22,,ENSG00000172209,G protein-coupled receptor 22,7,107470018-107475659,"G-protein coupled receptors, Predicted membrane proteins",Evidence at transcript level,,,,,,,Not detected,Group enriched,13,"adrenal gland: 1.2;cerebral cortex: 4.7;cervix, uterine: 3.2;endometrium: 2.5;heart muscle: 5.4",smooth muscle: 0.2,Cell line enriched,29.0,SH-SY5Y: 2.9
12,ASB4,ASB-4,ENSG00000005981,Ankyrin repeat and SOCS box containing 4,7,95478444-95540232,Predicted intracellular proteins,Evidence at transcript level,HPA055240,Uncertain,,,,,Tissue enhanced,Group enriched,11,adrenal gland: 50.2;skeletal muscle: 11.5,placenta: 2.8,Cell line enhanced,,A549: 4.1;Hep G2: 5.2;SCLC-21H: 5.4
13,FSTL5,"DKFZp566D234, KIAA1263",ENSG00000168843,Follistatin like 5,4,161383897-162164035,Predicted secreted proteins,Evidence at protein level,,,,,,,Tissue enriched,Group enriched,11,adrenal gland: 7.8;cerebral cortex: 16.2,testis: 1.1,Cell line enhanced,,HL-60: 9.8;HUVEC TERT2: 9.0;Karpas-707: 53.8;SH-SY5Y: 11.3;U-2197: 15.1
14,MCF2,"ARHGEF21, DBL",ENSG00000101977,MCF.2 cell line derived transforming sequence,X,139581770-139708227,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,,,,,,,Not detected,Group enriched,11,adrenal gland: 38.3;cerebral cortex: 8.7;epididymis: 15.0;ovary: 12.9;seminal vesicle: 24.0;testis: 34.6,prostate: 2.0,Cell line enriched,12.0,U-251 MG: 30.6
15,BRINP2,"DBCCR1L2, FAM5B",ENSG00000198797,BMP/retinoic acid inducible neural specific 2,1,177171497-177282422,"Predicted secreted proteins, Transporters",Evidence at transcript level,"HPA050681, HPA061920",Uncertain,,Approved,Nucleoli<br>Vesicles,,Tissue enriched,Group enriched,10,adrenal gland: 11.5;cerebral cortex: 35.4,testis: 2.3,Group enriched,5.0,HDLM-2: 6.7;PC-3: 1.6;REH: 1.8;SCLC-21H: 7.3;SH-SY5Y: 1.4
16,SRRM3,FLJ37078,ENSG00000177679,Serine/arginine repetitive matrix 3,7,76201900-76287288,Predicted intracellular proteins,Evidence at protein level,HPA019337,Uncertain,,Approved,Plasma membrane<br>Intermediate filaments<br>Microtubules,,Mixed,Group enriched,10,adrenal gland: 2.7;cerebral cortex: 8.5;testis: 1.8,stomach: 0.4,Group enriched,12.0,SCLC-21H: 12.8;SH-SY5Y: 8.5
