,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PRTN3,"ACPA, AGP7, C-ANCA, MBT, P29, PR-3",ENSG00000196415,Proteinase 3,19,840960-848175,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA005938, CAB017558",Enhanced,,,,,Tissue enhanced,Tissue enriched,724,bone marrow: 616.4,spleen: 0.8,Cell line enriched,6.0,THP-1: 696.6
1,DEFA4,"DEF4, HP-4",ENSG00000164821,Defensin alpha 4,8,6935822-6938338,Predicted secreted proteins,Evidence at protein level,HPA051266,Enhanced,,,,,Not detected,Tissue enriched,640,bone marrow: 3105.2,spleen: 4.8,Cell line enriched,8.0,THP-1: 8.6
2,AZU1,"AZAMP, AZU, CAP37, HBP, HUMAZUR, NAZC",ENSG00000172232,Azurocidin 1,19,825097-832018,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA055851,Enhanced,,,,,Mixed,Tissue enriched,525,bone marrow: 1311.2,skin: 2.4,Cell line enriched,6.0,THP-1: 722.4
3,DEFA1B,,ENSG00000240247,Defensin alpha 1B,8,6996766-6999195,"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA052517,Supported,,,,,Not detected,Tissue enriched,463,bone marrow: 46364.0,spleen: 100.2,Not detected,,
4,ELANE,"ELA2, HLE, HNE, NE",ENSG00000197561,"Elastase, neutrophil expressed",19,851014-856247,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB015409, HPA066836",Enhanced,,,,,Group enriched,Tissue enriched,320,bone marrow: 1199.6,skin: 3.7,Cell line enriched,56.0,THP-1: 1171.3
5,RNASE3,"ECP, RAF1, RNS3",ENSG00000169397,Ribonuclease A family member 3,14,20891399-20892348,Predicted secreted proteins,Evidence at protein level,HPA056183,Enhanced,,,,,Tissue enriched,Tissue enriched,300,bone marrow: 572.3,skin: 1.9,Cell line enhanced,,HL-60: 114.0;THP-1: 41.0;U-937: 225.8
6,DEFA1,"DEF1, DEFA2, HNP-1, MRS",ENSG00000206047,Defensin alpha 1,8,6977649-6980080,"Cancer-related genes, Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"CAB032548, HPA052517",Enhanced,,,,,Not detected,Tissue enriched,269,bone marrow: 30312.0,skin: 112.6,Cell line enriched,9.0,NB-4: 2.6
7,MS4A3,"CD20L, HTM4",ENSG00000149516,Membrane spanning 4-domains A3,11,60056587-60071128,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA019210,Supported,,,,,Not detected,Tissue enriched,256,bone marrow: 305.3,"skin,spleen: 1.1",Cell line enhanced,,HEL: 172.0;K-562: 132.6;NB-4: 69.9;THP-1: 214.5;U-937: 98.3
8,DEFA3,"DEF3, HNP-3",ENSG00000239839,Defensin alpha 3,8,7015869-7018301,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA052517,Supported,,,,,Not detected,Tissue enriched,246,bone marrow: 23273.5,spleen: 94.7,Not detected,,
9,PRSS57,"PRSSL1, UNQ782",ENSG00000185198,"Protease, serine 57",19,685546-695498,"Enzymes, Predicted secreted proteins",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,173,bone marrow: 103.3,spleen: 0.5,Group enriched,9.0,NB-4: 239.3;THP-1: 126.5
10,MMP8,CLG1,ENSG00000118113,Matrix metallopeptidase 8,11,102711795-102727050,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA021221, HPA022935",Enhanced,,,,,Tissue enriched,Tissue enriched,103,bone marrow: 335.8,endometrium: 3.2,Cell line enriched,10.0,WM-115: 69.6
11,CEACAM8,"CD66b, CGM6",ENSG00000124469,Carcinoembryonic antigen related cell adhesion molecule 8,19,42580241-42595055,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,CAB033676,Approved,,,,,Not detected,Tissue enriched,86,bone marrow: 142.1,lung: 1.6,Not detected,,
12,CTSG,CG,ENSG00000100448,Cathepsin G,14,24573522-24576260,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB000110, HPA047737",Enhanced,,,,"Head and neck cancer:1.57e-4 (favourable), Urothelial cancer:8.91e-4 (unfavourable)",Mixed,Tissue enriched,84,bone marrow: 3457.0,gallbladder: 41.2,Cell line enriched,6.0,THP-1: 6055.4
13,MPO,,ENSG00000005381,Myeloperoxidase,17,58269856-58280935,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"CAB000059, HPA021147, HPA061464",Enhanced,,Supported,Nucleus<br>Vesicles,,Tissue enhanced,Tissue enriched,82,bone marrow: 2499.6,salivary gland: 30.6,Group enriched,98.0,HL-60: 2786.8;NB-4: 2892.7
14,RNASE2,"EDN, RAF3, RNS2",ENSG00000169385,Ribonuclease A family member 2,14,20955452-20956436,"Enzymes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA044983,Enhanced,,,,Renal cancer:3.28e-13 (unfavourable),Tissue enriched,Tissue enriched,73,bone marrow: 995.8,smooth muscle: 13.6,Group enriched,286.0,HL-60: 411.9;NB-4: 325.9;THP-1: 920.7;U-937: 968.9
15,HBD,,ENSG00000223609,Hemoglobin subunit delta,11,5232678-5235370,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB037087, HPA043234",Supported,,Approved,Vesicles,,Not detected,Tissue enriched,64,bone marrow: 1221.3,placenta: 19.0,Cell line enhanced,,HEL: 13.7;HMC-1: 14.7;U-266/70: 73.6;U-266/84: 12.8
16,PGLYRP1,"PGLYRP, PGRP, PGRP-S, PGRPS, TAG7, TNFSF3L",ENSG00000008438,Peptidoglycan recognition protein 1,19,46019153-46023065,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA045702,Enhanced,,,,,Not detected,Tissue enriched,57,bone marrow: 421.1,spleen: 7.4,Cell line enhanced,,A549: 2.9
17,PRG3,"MBP2, MBPH",ENSG00000156575,"Proteoglycan 3, pro eosinophil major basic protein 2",11,57376769-57381150,Predicted secreted proteins,Evidence at protein level,HPA064183,Enhanced,,,,,Not detected,Tissue enriched,45,bone marrow: 29.3,"liver,spleen: 0.6",Cell line enriched,64.0,HMC-1: 174.6
18,VSTM1,UNQ3033,ENSG00000189068,V-set and transmembrane domain containing 1,19,54040825-54063953,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA059365,,,Approved,Vesicles,,Mixed,Tissue enriched,38,bone marrow: 35.4,urinary bladder: 0.9,Not detected,,
19,BPI,BPIFD1,ENSG00000101425,Bactericidal/permeability-increasing protein,20,38260149-38337505,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters",Evidence at protein level,HPA061284,Enhanced,,,,,Not detected,Tissue enriched,37,bone marrow: 961.6,testis: 25.9,Group enriched,5.0,AF22: 2.3;ASC diff: 1.1;ASC TERT1: 3.1;BJ: 2.1;BJ hTERT+: 2.1;HL-60: 1.1
20,SERPINB10,"bomapin, PI10",ENSG00000242550,Serpin family B member 10,18,63897174-63936111,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA015480, HPA059582",Uncertain,,,,,Not detected,Tissue enriched,32,bone marrow: 50.1,skin: 1.5,Cell line enriched,7.0,U-937: 82.6
21,HBM,"HBAP2, HBK",ENSG00000206177,Hemoglobin subunit mu,16,153892-166768,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,29,bone marrow: 269.1,placenta: 9.2,Not detected,,
22,RAB44,"dJ431A14.3, RASD3, RASL13",ENSG00000255587,"RAB44, member RAS oncogene family",6,36697851-36733183,Predicted intracellular proteins,Evidence at protein level,,,,,,,Not detected,Tissue enriched,28,bone marrow: 38.8,"gallbladder,lung: 1.3",Group enriched,204.0,HEL: 19.9;HL-60: 24.8;HMC-1: 79.3;NB-4: 50.2;THP-1: 20.3;U-937: 48.2
23,AHSP,"EDRF, ERAF",ENSG00000169877,Alpha hemoglobin stabilizing protein,16,31527864-31528803,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,HPA040940,Enhanced,,,,,Not detected,Tissue enriched,26,bone marrow: 881.3,placenta: 34.3,Cell line enhanced,,hTCEpi: 2.0;K-562: 1.1
24,EPX,"EPO, EPP, EPX-PEN",ENSG00000121053,Eosinophil peroxidase,17,58192737-58205174,"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins",Evidence at protein level,HPA050507,Approved,,,,,Not detected,Tissue enriched,24,bone marrow: 20.5,cerebral cortex: 0.8,Cell line enriched,55.0,NB-4: 157.0
25,KLF1,EKLF,ENSG00000105610,Kruppel like factor 1,19,12884423-12887181,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA051850,Enhanced,,Supported,Nucleoplasm,,Not detected,Tissue enriched,24,bone marrow: 25.7,placenta: 1.0,Group enriched,33.0,HEL: 56.0;K-562: 136.3
26,RHAG,"CD241, RH50A, SLC42A1",ENSG00000112077,Rh-associated glycoprotein,6,49605158-49636839,"CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA046051, HPA055331",Approved,,Uncertain,Endoplasmic reticulum,,Not detected,Tissue enriched,24,bone marrow: 73.7,placenta: 3.1,Group enriched,223.0,HEL: 448.1;K-562: 429.7
27,XXbac-BPG32J3.22,,ENSG00000263020,,6,31666102-31673546,Predicted intracellular proteins,Evidence at protein level,"HPA005944, HPA048307",Uncertain,,,,,Not detected,Tissue enriched,20,bone marrow: 6.6,cerebral cortex: 0.3,Mixed,,
28,GATA1,"ERYF1, GATA-1, GF1, NF-E1, NFE1",ENSG00000102145,GATA binding protein 1,X,48786554-48794311,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA000232, HPA000233, CAB009195",Enhanced,,,,,Not detected,Tissue enriched,19,bone marrow: 33.2,testis: 1.7,Group enriched,12.0,HEL: 182.0;HMC-1: 176.5;K-562: 196.6
29,S100A12,"CAAF1, CAGC, CGRP, ENRAGE, MRP6, p6",ENSG00000163221,S100 calcium binding protein A12,1,153373706-153375649,"Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA002881, CAB025872",Enhanced,,,,Renal cancer:5.03e-4 (unfavourable),Tissue enhanced,Tissue enriched,19,bone marrow: 2045.4,spleen: 107.1,Cell line enhanced,,hTCEpi: 1.6;THP-1: 1.0
30,SPTA1,EL2,ENSG00000163554,"Spectrin alpha, erythrocytic 1",1,158610706-158686698,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB016193, HPA028048, HPA028253, CAB037246",Supported,,,,,Not detected,Tissue enriched,19,bone marrow: 47.1,placenta: 2.5,Group enriched,7.0,HEL: 7.6;K-562: 34.1
