,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABI3,"NESH, SSH3BP3",ENSG00000108798,ABI family member 3,17,49210227-49223225,Predicted intracellular proteins,Evidence at protein level,HPA017345,Enhanced,,,,Endometrial cancer:7.13e-4 (favourable),Expressed in all,Tissue enhanced,,spleen: 62.0,lymph node: 29.9,Cell line enhanced,,Daudi: 28.2;HDLM-2: 21.3;HUVEC TERT2: 54.6;TIME: 38.1
1,ABLIM2,KIAA1808,ENSG00000163995,Actin binding LIM protein family member 2,4,7965310-8158832,Predicted intracellular proteins,Evidence at protein level,HPA035808,Uncertain,,Approved,Nucleoplasm<br>Mitochondria,,Mixed,Tissue enhanced,,skeletal muscle: 37.5;spleen: 28.4,cerebral cortex: 22.1,Group enriched,6.0,SCLC-21H: 16.3;SiHa: 6.6;U-2197: 19.7
2,AC009133.22,,ENSG00000277669,,16,29663279-29695144,Predicted secreted proteins,Evidence at protein level,HPA011887,Uncertain,,,,,Not detected,Tissue enhanced,,colon: 2.6;duodenum: 1.8;spleen: 1.0,lung: 0.4,Cell line enhanced,,BEWO: 44.0;EFO-21: 114.1;SH-SY5Y: 19.3
3,AC037459.4,,ENSG00000248235,,8,22589274-22602084,Predicted intracellular proteins,Evidence at transcript level,HPA024667,Uncertain,,,,,Not detected,Tissue enhanced,,spleen: 3.6,small intestine: 1.9,Cell line enhanced,,U-2197: 3.5
4,AC069368.3,,ENSG00000249240,,15,64841883-64930920,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,spleen: 8.8,appendix: 6.1,Cell line enhanced,,U-266/84: 21.3
5,ADAM8,"CD156, CD156a, MS2",ENSG00000151651,ADAM metallopeptidase domain 8,10,133262403-133276868,"CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA064637,Approved,,,,Renal cancer:3.99e-10 (unfavourable),Expressed in all,Tissue enhanced,,bone marrow: 43.8;spleen: 32.9,appendix: 30.1,Cell line enhanced,,A-431: 51.7;BEWO: 78.4;CAPAN-2: 61.7;HaCaT: 61.1;HDLM-2: 42.3;U-87 MG: 33.6
6,ADGRE1,"EMR1, TM7LN3",ENSG00000174837,Adhesion G protein-coupled receptor E1,19,6887566-6940459,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at transcript level,HPA052809,Uncertain,,,,,Mixed,Tissue enhanced,,appendix: 9.9;spleen: 19.7,lung: 6.8,Cell line enhanced,,BJ hTERT+: 8.5;HDLM-2: 24.5;HMC-1: 15.9;Karpas-707: 16.0
7,ADGRE2,"CD312, EMR2",ENSG00000127507,Adhesion G protein-coupled receptor E2,19,14732393-14778541,"CD markers, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA055200,,,Uncertain,Vesicles,Renal cancer:4.35e-6 (unfavourable),Mixed,Tissue enhanced,,appendix: 27.0;spleen: 15.4,adipose tissue: 6.0,Cell line enhanced,,HEL: 10.6;HMC-1: 16.0;U-937: 11.8
8,ADGRE3,EMR3,ENSG00000131355,Adhesion G protein-coupled receptor E3,19,14619117-14690027,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at transcript level,HPA015638,Uncertain,,,,,Not detected,Tissue enhanced,,appendix: 8.7;spleen: 8.6,lung: 3.9,Cell line enriched,50.0,HMC-1: 39.7
9,ADRA1B,,ENSG00000170214,Adrenoceptor alpha 1B,5,159916783-159972544,"Cancer-related genes, FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,HPA074416,,,Supported,Plasma membrane,"Renal cancer:1.40e-6 (unfavourable), Thyroid cancer:3.19e-5 (favourable), Endometrial cancer:6.00e-5 (unfavourable), Ovarian cancer:2.67e-4 (favourable), Glioma:6.07e-4 (unfavourable)",Mixed,Tissue enhanced,,cerebral cortex: 14.8;spleen: 17.0,ovary: 4.8,Cell line enhanced,,EFO-21: 12.8;TIME: 10.9;U-2 OS: 9.6
