,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,OPALIN,"HTMP10, TMEM10, TMP10",ENSG00000197430,Oligodendrocytic myelin paranodal and inner loop protein,10,96343216-96359365,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA014372,Supported,,,,,Tissue enriched,Tissue enriched,864,cerebral cortex: 86.3,all non-specific tissues: 0.0,Not detected,,
1,GFAP,FLJ45472,ENSG00000131095,Glial fibrillary acidic protein,17,44903161-44916937,"Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"CAB000039, HPA056030, HPA063513",Enhanced,Supported,Supported,Intermediate filaments,,Tissue enriched,Tissue enriched,398,cerebral cortex: 3768.4,bone marrow: 9.4,Mixed,,
2,OMG,OMGP,ENSG00000126861,Oligodendrocyte myelin glycoprotein,17,31272013-31297539,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA008206, HPA012693",Enhanced,,,,,Group enriched,Tissue enriched,318,cerebral cortex: 137.4,bone marrow: 0.4,Not detected,,
3,OLIG2,"BHLHB1, bHLHe19, OLIGO2, PRKCBP2, RACK17",ENSG00000205927,Oligodendrocyte transcription factor 2,21,33025845-33029196,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA003254, CAB019381",Enhanced,,Uncertain,Nucleoplasm<br>Plasma membrane,,Tissue enriched,Tissue enriched,245,cerebral cortex: 91.0,duodenum: 0.3,Cell line enhanced,,HMC-1: 46.5;NB-4: 25.3;THP-1: 23.2;WM-115: 10.9
4,GRIN1,"GluN1, NMDAR1",ENSG00000176884,Glutamate ionotropic receptor NMDA type subunit 1,9,137138390-137168762,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters",Evidence at protein level,CAB006831,Approved,,,,,Mixed,Tissue enriched,208,cerebral cortex: 151.8,prostate: 0.7,Cell line enhanced,,RPMI-8226: 1.8;SCLC-21H: 6.7;SH-SY5Y: 4.2
5,NEUROD6,"Atoh2, bHLHa2, Math-2, Nex1, NEX1M",ENSG00000164600,Neuronal differentiation 6,7,31337461-31340894,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA027046, HPA074530",Enhanced,Approved,,,,Not detected,Tissue enriched,180,cerebral cortex: 18.0,all non-specific tissues: 0.0,Cell line enriched,71.0,SCLC-21H: 7.0
6,SLC17A7,"BNPI, VGLUT1",ENSG00000104888,Solute carrier family 17 member 7,19,49429401-49442360,"Predicted membrane proteins, Transporters",Evidence at protein level,"CAB037183, HPA050458, HPA063679",Enhanced,Supported,,,,Tissue enriched,Tissue enriched,177,cerebral cortex: 584.4,adipose tissue: 3.3,Cell line enhanced,,HMC-1: 18.2;K-562: 6.2;SCLC-21H: 5.7
7,CREG2,,ENSG00000175874,Cellular repressor of E1A stimulated genes 2,2,101345551-101387595,Predicted secreted proteins,Evidence at protein level,HPA038224,Enhanced,,,,,Mixed,Tissue enriched,164,cerebral cortex: 90.9,fallopian tube: 0.5,Cell line enhanced,,CACO-2: 2.0;HaCaT: 5.6;HeLa: 1.6;PC-3: 2.3
8,NEUROD2,"bHLHa1, NDRF",ENSG00000171532,Neuronal differentiation 2,17,39603536-39609777,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enriched,142,cerebral cortex: 14.9,stomach: 0.1,Cell line enriched,302.0,SCLC-21H: 30.2
9,C1orf61,CROC4,ENSG00000125462,Chromosome 1 open reading frame 61,1,156404250-156430701,Predicted intracellular proteins,Evidence at transcript level,,,,,,,Tissue enriched,Tissue enriched,129,cerebral cortex: 504.3,testis: 3.9,Cell line enriched,9.0,BEWO: 12.5
10,KCNJ9,"GIRK3, Kir3.3",ENSG00000162728,Potassium voltage-gated channel subfamily J member 9,1,160081570-160090563,"Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,HPA070478,Enhanced,,,,,Tissue enriched,Tissue enriched,113,cerebral cortex: 52.3,"adrenal gland,testis: 0.4",Not detected,,
11,ZDHHC22,C14orf59,ENSG00000177108,Zinc finger DHHC-type containing 22,14,77131270-77142734,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"HPA049471, HPA072213",,,Enhanced,Plasma membrane,,Tissue enriched,Tissue enriched,113,cerebral cortex: 64.2,testis: 0.5,Cell line enhanced,,AF22: 3.6;NTERA-2: 3.8;RH-30: 6.2;SCLC-21H: 8.2
12,OLIG1,"BHLHB6, bHLHe21",ENSG00000184221,Oligodendrocyte transcription factor 1,21,33070144-33072420,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,104,cerebral cortex: 142.6,kidney: 1.3,Cell line enhanced,,NB-4: 24.7;RPMI-8226: 14.1;THP-1: 17.1;U-937: 22.7
13,CACNG7,,ENSG00000105605,Calcium voltage-gated channel auxiliary subunit gamma 7,19,53909335-53943941,"Predicted membrane proteins, Transporters",Evidence at protein level,,,,,,,Tissue enriched,Tissue enriched,101,cerebral cortex: 63.7,adrenal gland: 0.6,Cell line enhanced,,AF22: 52.2;HMC-1: 36.0;NTERA-2: 14.0;SH-SY5Y: 34.2
