,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ALOX15B,15-LOX-2,ENSG00000179593,"Arachidonate 15-lipoxygenase, type B",17,8039017-8049134,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA010562,Enhanced,,Supported,Plasma membrane<br>Cytosol,,Expressed in all,Tissue enhanced,,breast: 145.0;prostate: 115.3,lung: 26.1,Group enriched,15.0,HHSteC: 6.5;HSkMC: 11.9;hTCEpi: 25.0
1,ALX4,"FPP, KIAA1788, PFM, PFM2",ENSG00000052850,ALX homeobox 4,11,44260444-44310166,"Disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,HPA001903,,,Supported,Nucleoplasm,,Tissue enhanced,Tissue enhanced,,breast: 2.2,"endometrium,testis: 1.0",Cell line enhanced,,AN3-CA: 3.7;BJ: 2.8;HAP1: 4.8;HEK93: 4.4;HEL: 6.0;K-562: 2.8;SiHa: 7.4
2,APCDD1L,FLJ90166,ENSG00000198768,APC down-regulated 1 like,20,58459101-58515131,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA067015,Uncertain,,Uncertain,Mitochondria,,Mixed,Tissue enhanced,,breast: 6.5;salivary gland: 11.6,kidney: 2.9,Cell line enhanced,,fHDF/TERT166: 88.4;hTEC/SVTERT24-B: 39.4;HUVEC TERT2: 33.7;TIME: 65.0;U-87 MG: 47.5
3,ARHGEF38,FLJ20184,ENSG00000236699,Rho guanine nucleotide exchange factor 38,4,105552620-105708093,Predicted intracellular proteins,Evidence at protein level,"HPA036510, HPA045484",Uncertain,,Approved,Nucleoplasm<br>Centrosome,,Tissue enhanced,Tissue enhanced,,breast: 10.0;prostate: 9.3,epididymis: 6.8,Group enriched,8.0,RPTEC TERT1: 11.0;SK-BR-3: 6.0;T-47d: 7.9
4,ATP13A5,FLJ16025,ENSG00000187527,ATPase 13A5,3,193274790-193378843,Predicted membrane proteins,Evidence at transcript level,"HPA031771, HPA031774",Uncertain,,,,,Tissue enhanced,Tissue enhanced,,breast: 17.7,salivary gland: 3.9,Cell line enhanced,,SK-BR-3: 1.2
5,AWAT2,"DGAT2L4, MFAT",ENSG00000147160,Acyl-CoA wax alcohol acyltransferase 2,X,70040542-70049938,"Enzymes, Predicted membrane proteins",Evidence at protein level,HPA062748,Approved,,,,,Tissue enriched,Tissue enhanced,,breast: 2.0;skin: 1.2,testis: 0.5,Not detected,,
6,AZGP1,"ZA2G, ZAG",ENSG00000160862,"Alpha-2-glycoprotein 1, zinc-binding",7,99966720-99976157,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA012582, CAB016087, CAB032276",Enhanced,,,,"Renal cancer:1.53e-4 (favourable), Liver cancer:2.90e-4 (favourable)",Group enriched,Tissue enhanced,,breast: 1201.5;liver: 1272.1;prostate: 1490.2;salivary gland: 1423.5,kidney: 294.4,Cell line enhanced,,Hep G2: 33.7;RPMI-8226: 79.5;T-47d: 35.0
7,C1orf64,"ERRF, MGC24047",ENSG00000183888,Chromosome 1 open reading frame 64,1,16004236-16008807,Predicted intracellular proteins,Evidence at transcript level,HPA026676,Uncertain,,Approved,Nucleoplasm,Endometrial cancer:1.68e-6 (favourable),Tissue enhanced,Tissue enhanced,,breast: 6.8,"cervix, uterine: 3.3",Group enriched,9.0,Hep G2: 5.3;SK-BR-3: 10.1;T-47d: 4.1
8,C2orf82,"ASCL830, UNQ830",ENSG00000182600,Chromosome 2 open reading frame 82,2,232857270-232878708,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at transcript level,HPA052824,Uncertain,,Approved,Nucleus<br>Nucleoli,Endometrial cancer:3.56e-4 (unfavourable),Mixed,Tissue enhanced,,breast: 5.1;testis: 4.1,cerebral cortex: 2.6,Cell line enriched,13.0,Hep G2: 40.1
9,CCL28,"CCK1, MEC, SCYA28",ENSG00000151882,C-C motif chemokine ligand 28,5,43376645-43412391,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA077434,Supported,,,,Pancreatic cancer:1.43e-4 (unfavourable),Mixed,Tissue enhanced,,breast: 71.1;salivary gland: 126.0,thyroid gland: 38.0,Cell line enhanced,,EFO-21: 12.1;SiHa: 31.8;SK-MEL-30: 12.9;T-47d: 37.8
