,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,PIP,"GCDFP-15, GCDFP15, GPIP4",ENSG00000159763,Prolactin induced protein,7,143132077-143139746,"Plasma proteins, Predicted secreted proteins",Evidence at protein level,"CAB002661, HPA009177",Enhanced,,,,Renal cancer:5.96e-5 (favourable),Tissue enriched,Group enriched,618,breast: 4504.1;salivary gland: 6904.2;seminal vesicle: 4198.4,"cervix, uterine: 8.4",Cell line enriched,415.0,T-47d: 649.3
1,KLK1,Klk6,ENSG00000167748,Kallikrein 1,19,50819148-50823787,"Enzymes, Predicted secreted proteins",Evidence at protein level,,,,,,,Group enriched,Group enriched,36,pancreas: 1994.7;salivary gland: 2549.9,colon: 63.5,Cell line enriched,18.0,RPMI-8226: 26.9
2,BPIFB2,"BPIL1, C20orf184, dJ726C3.2, LPLUNC2",ENSG00000078898,BPI fold containing family B member 2,20,33007600-33023709,"Plasma proteins, Predicted secreted proteins, Transporters",Evidence at protein level,"HPA049491, HPA060121",Enhanced,,Approved,Vesicles,Endometrial cancer:1.97e-5 (favourable),Group enriched,Group enriched,23,esophagus: 98.5;salivary gland: 90.5,"cervix, uterine: 4.0",Cell line enriched,418.0,Hep G2: 146.8
3,C6orf58,LEG1,ENSG00000184530,Chromosome 6 open reading frame 58,6,127519455-127591817,Predicted secreted proteins,Evidence at protein level,"HPA036263, HPA041449",Enhanced,,,,,Group enriched,Group enriched,21,duodenum: 603.5;salivary gland: 163.4;stomach: 314.9,esophagus: 17.1,Cell line enhanced,,RPMI-8226: 1.8;WM-115: 1.8
4,C10orf90,"bA422P15.2, FATS, FLJ32938",ENSG00000154493,Chromosome 10 open reading frame 90,10,126424997-126670446,Predicted intracellular proteins,Evidence at protein level,"HPA038648, HPA057599",Uncertain,,Approved,Nucleoplasm<br>Plasma membrane<br>Cytosol,,Tissue enriched,Group enriched,12,breast: 5.6;cerebral cortex: 15.3;salivary gland: 4.3;testis: 12.1,"adipose tissue,skin: 0.7",Group enriched,9.0,SK-MEL-30: 94.3;U-2197: 33.5;U-266/84: 18.9;U-87 MG: 36.2;WM-115: 29.4
5,ATP6V1B1,"ATP6B1, RTA1B, VATB, Vma2, VPP3",ENSG00000116039,ATPase H+ transporting V1 subunit B1,2,70935882-70965406,"Disease related genes, Predicted intracellular proteins",Evidence at protein level,"CAB009523, HPA031847",Enhanced,,Approved,Nucleus<br>Nuclear membrane,,Group enriched,Group enriched,10,"breast: 16.1;cervix, uterine: 47.9;fallopian tube: 21.1;kidney: 64.8;placenta: 27.8;salivary gland: 66.5",skin: 4.2,Group enriched,6.0,BEWO: 20.0;HaCaT: 17.4;SK-BR-3: 34.9
6,OPRPN,"BPLP, PRL1, PROL1",ENSG00000171199,Opiorphin prepropeptide,4,70397882-70410194,Predicted secreted proteins,Evidence at protein level,HPA065711,Approved,,,,,Tissue enhanced,Group enriched,10,breast: 33.1;salivary gland: 18.9,epididymis: 2.5,Not detected,,
7,ATP6V0A4,"a4, ATP6N1B, ATP6N2, RDRTA2, RTA1C, RTADR, Stv1, Vph1, VPP2",ENSG00000105929,ATPase H+ transporting V0 subunit a4,7,138706295-138799560,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA018029, HPA064555",Enhanced,,Approved,Cytosol,Renal cancer:1.32e-6 (favourable),Tissue enriched,Group enriched,9,kidney: 69.6;salivary gland: 31.6,breast: 5.5,Cell line enriched,12.0,SK-BR-3: 42.2
8,NXPE4,"C11orf33, FAM55D, FLJ20127",ENSG00000137634,Neurexophilin and PC-esterase domain family member 4,11,114570591-114595762,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,HPA042801,Approved,,,,,Tissue enriched,Group enriched,9,colon: 139.6;rectum: 158.4;salivary gland: 38.2,appendix: 11.9,Not detected,,
9,TMEM213,,ENSG00000214128,Transmembrane protein 213,7,138797952-138838101,"Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA054059,Enhanced,,,,Renal cancer:5.54e-7 (favourable),Tissue enriched,Group enriched,9,kidney: 80.7;salivary gland: 22.6,breast: 5.7,Not detected,,
10,AQP5,,ENSG00000161798,Aquaporin 5,12,49961870-49965681,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA065008,Enhanced,,Approved,Plasma membrane,Head and neck cancer:1.75e-5 (favourable),Tissue enhanced,Group enriched,8,salivary gland: 255.6;stomach: 53.3;testis: 176.4,breast: 21.1,Group enriched,9.0,CAPAN-2: 7.6;REH: 9.2
11,C5orf46,"MGC23985, SSSP1",ENSG00000178776,Chromosome 5 open reading frame 46,5,147880726-147906538,Predicted secreted proteins,Evidence at transcript level,HPA058999,,,Approved,Nuclear speckles<br>Mitochondria,"Renal cancer:1.75e-9 (unfavourable), Cervical cancer:3.98e-4 (unfavourable)",Tissue enhanced,Group enriched,8,breast: 17.6;salivary gland: 77.2;skin: 62.4;testis: 19.9,heart muscle: 5.8,Cell line enhanced,,PC-3: 83.2;SiHa: 21.5;U-2 OS: 59.9;U-251 MG: 19.3
12,CALML5,CLSP,ENSG00000178372,Calmodulin like 5,10,5498697-5499555,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,HPA040725,Enhanced,,Approved,Plasma membrane<br>Cytosol,Head and neck cancer:2.59e-5 (favourable),Group enriched,Group enriched,8,salivary gland: 260.7;skin: 650.6,breast: 55.6,Cell line enriched,24.0,A-431: 355.7
13,CHRM1,,ENSG00000168539,Cholinergic receptor muscarinic 1,11,62908679-62921807,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"HPA014101, CAB022366",Enhanced,,Approved,Nucleus<br>Cytosol,,Tissue enriched,Group enriched,8,cerebral cortex: 39.9;prostate: 42.3;salivary gland: 11.0,adrenal gland: 3.8,Cell line enhanced,,MCF7: 2.7;SK-BR-3: 1.2;T-47d: 1.0
