,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,ABCB1,"ABC20, CD243, CLCS, GP170, MDR1, P-gp, PGY1",ENSG00000085563,ATP binding cassette subfamily B member 1,7,87503633-87713323,"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,"CAB001716, HPA002199",Enhanced,,Approved,Nucleoplasm<br>Focal adhesion sites<br>Cytosol,"Renal cancer:2.95e-4 (favourable), Pancreatic cancer:3.33e-4 (favourable)",Tissue enhanced,Tissue enhanced,,adrenal gland: 137.8;small intestine: 82.4,kidney: 37.3,Cell line enhanced,,CACO-2: 56.6;HEL: 34.4;SH-SY5Y: 85.9
1,ADAMTSL2,KIAA0605,ENSG00000197859,ADAMTS like 2,9,133532164-133575519,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA045634, HPA053812",Approved,,Approved,Vesicles,"Colorectal cancer:5.01e-4 (unfavourable), Pancreatic cancer:6.70e-4 (favourable)",Expressed in all,Tissue enhanced,,adrenal gland: 29.0,kidney: 11.2,Cell line enhanced,,Hep G2: 4.9;RPMI-8226: 6.9;SH-SY5Y: 31.9
2,ADGRA1,"GPR123, KIAA1828",ENSG00000197177,Adhesion G protein-coupled receptor A1,10,133070929-133131675,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA042773,Approved,,,,,Tissue enriched,Tissue enhanced,,adrenal gland: 4.9;cerebral cortex: 22.4,fallopian tube: 3.1,Cell line enriched,24.0,RH-30: 6.1
3,ALKAL2,"AUGA, FAM150B",ENSG00000189292,ALK and LTK ligand 2,2,279558-288851,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,adrenal gland: 257.4,ovary: 83.0,Cell line enriched,22.0,AF22: 137.0
4,AMHR2,"MISR2, MISRII",ENSG00000135409,Anti-Mullerian hormone receptor type 2,12,53423855-53431534,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enhanced,Tissue enhanced,,adrenal gland: 32.1;ovary: 40.9,testis: 10.1,Group enriched,19.0,HEL: 36.1;K-562: 19.9
5,AVPR1A,AVPR1,ENSG00000166148,Arginine vasopressin receptor 1A,12,63142759-63150942,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins",Evidence at protein level,,,,,,,Mixed,Tissue enhanced,,adrenal gland: 77.8,adipose tissue: 20.0,Group enriched,8.0,ASC diff: 3.9;Karpas-707: 9.4;U-266/84: 6.8
6,BAIAP3,"BAP3, KIAA0734",ENSG00000007516,BAI1 associated protein 3,16,1333601-1349441,Predicted intracellular proteins,Evidence at protein level,HPA015627,Uncertain,,,,Renal cancer:1.52e-5 (favourable),Mixed,Tissue enhanced,,adrenal gland: 24.9;cerebral cortex: 25.1;fallopian tube: 42.4,testis: 13.8,Cell line enhanced,,CAPAN-2: 17.3
7,C2CD2,"C21orf25, C21orf258, DKFZP586F0422, TMEM24L",ENSG00000157617,C2 calcium dependent domain containing 2,21,41885112-41953890,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA030922, HPA030924",Enhanced,,Approved,Nucleoplasm,Renal cancer:7.68e-5 (unfavourable),Expressed in all,Tissue enhanced,,adrenal gland: 110.0,spleen: 46.2,Cell line enhanced,,ASC diff: 54.3
8,C2orf66,UNQ6411,ENSG00000187944,Chromosome 2 open reading frame 66,2,196805002-196810276,Predicted secreted proteins,Evidence at transcript level,HPA020869,Uncertain,,,,,Mixed,Tissue enhanced,,adipose tissue: 2.8;adrenal gland: 1.7;testis: 1.7,skin: 1.1,Cell line enhanced,,HEL: 4.0;RT4: 1.3;TIME: 1.5
9,C4B,"C4B1, C4B3, C4F, CH, CO4, CPAMD3",ENSG00000224389,Complement C4B (Chido blood group),6,32014762-32035418,"Blood group antigen proteins, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA046356, HPA048287, HPA050103",Approved,,,,,Tissue enhanced,Tissue enhanced,,adrenal gland: 59.4;liver: 65.5,"fallopian tube,kidney: 18.3",Cell line enriched,5.0,Karpas-707: 92.1
