,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,KNG1,"BDK, BK, KNG",ENSG00000113889,Kininogen 1,3,186717276-186743954,"Disease related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,"HPA001616, HPA001645, CAB009809",Enhanced,,,,Liver cancer:1.28e-6 (favourable),Tissue enriched,Group enriched,994,kidney: 522.4;liver: 1864.6,rectum: 1.2,Cell line enhanced,,CACO-2: 1.5;Hep G2: 1.2;RH-30: 1.3
1,UGT1A9,"HLUGP4, LUGP4, UGT1AI",ENSG00000241119,UDP glucuronosyltransferase family 1 member A9,2,233671853-233773300,"Cancer-related genes, Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,Renal cancer:5.04e-5 (unfavourable),Group enriched,Group enriched,592,kidney: 465.5;liver: 93.3,"cerebral cortex,colon: 0.4",Cell line enhanced,,A549: 1.2
2,ACSM2A,"A-923A4.1, ACSM2, MGC150530",ENSG00000183747,Acyl-CoA synthetase medium-chain family member 2A,16,20451461-20487667,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA057699,Supported,,,,Liver cancer:1.41e-5 (favourable),Group enriched,Group enriched,580,kidney: 285.2;liver: 185.7,cerebral cortex: 0.4,Cell line enhanced,,Hep G2: 1.3
3,HAO2,"GIG16, HAOX2",ENSG00000116882,Hydroxyacid oxidase 2,1,119368779-119394130,"Enzymes, Predicted intracellular proteins",Evidence at protein level,,,,,,Renal cancer:4.92e-4 (favourable),Group enriched,Group enriched,300,kidney: 317.5;liver: 219.8,"adrenal gland,breast: 0.8",Not detected,,
4,BHMT,BHMT1,ENSG00000145692,Betaine--homocysteine S-methyltransferase,5,79111779-79132290,"Enzymes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038285, HPA058310",Enhanced,,Supported,Cytosol,Liver cancer:7.32e-4 (favourable),Tissue enhanced,Group enriched,225,kidney: 788.8;liver: 563.6,urinary bladder: 3.0,Cell line enhanced,,Hep G2: 2.4;NTERA-2: 1.4;SCLC-21H: 1.1
5,CYP4A11,"CYP4A2, CYP4AII",ENSG00000187048,Cytochrome P450 family 4 subfamily A member 11,1,46929177-46941484,"Enzymes, Predicted membrane proteins",Evidence at protein level,,,,,,,Tissue enriched,Group enriched,183,kidney: 232.3;liver: 448.3,gallbladder: 1.8,Not detected,,
6,ACSM2B,"ACSM2, HXMA, HYST1046",ENSG00000066813,Acyl-CoA synthetase medium-chain family member 2B,16,20536226-20576427,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,HPA057699,Supported,,,,Liver cancer:3.31e-4 (favourable),Group enriched,Group enriched,136,kidney: 426.7;liver: 262.0,thyroid gland: 2.5,Cell line enhanced,,AF22: 2.8;Hep G2: 3.7
7,AQP2,,ENSG00000167580,Aquaporin 2,12,49950741-49958881,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA046834,Enhanced,,,,,Group enriched,Group enriched,132,kidney: 435.9;seminal vesicle: 302.5,testis: 2.8,Cell line enhanced,,EFO-21: 3.0;HMC-1: 1.7
8,SLC22A11,OAT4,ENSG00000168065,Solute carrier family 22 member 11,11,64555626-64572875,"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,HPA026076,Approved,,,,Renal cancer:3.68e-5 (favourable),Group enriched,Group enriched,114,epididymis: 10.0;kidney: 26.0;placenta: 44.8,seminal vesicle: 0.2,Cell line enhanced,,BEWO: 1.2
9,PRODH2,HSPOX1,ENSG00000250799,Proline dehydrogenase 2,19,35799988-35813299,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA051287,Approved,,Supported,Nucleoplasm<br>Cytosol,,Group enriched,Group enriched,96,kidney: 132.8;liver: 45.1,testis: 0.9,Cell line enriched,14.0,Hep G2: 21.4
10,HPD,"4-HPPD, 4HPPD, GLOD3, PPD",ENSG00000158104,4-hydroxyphenylpyruvate dioxygenase,12,121839527-121863596,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,"HPA038321, HPA038322",Enhanced,,Uncertain,Nuclear speckles,,Tissue enriched,Group enriched,86,kidney: 529.9;liver: 1293.2,seminal vesicle: 10.5,Cell line enriched,24.0,Hep G2: 349.1
11,SLC22A7,"NLT, OAT2",ENSG00000137204,Solute carrier family 22 member 7,6,43295694-43305538,"Predicted membrane proteins, Transporters",Evidence at protein level,HPA030220,Approved,,,,"Liver cancer:5.48e-6 (favourable), Renal cancer:8.98e-4 (favourable)",Tissue enriched,Group enriched,73,kidney: 50.3;liver: 167.8,testis: 1.4,Cell line enriched,14.0,Hep G2: 6.7
12,POU3F3,"BRN1, OTF8",ENSG00000198914,POU class 3 homeobox 3,2,104855511-104858574,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,"HPA052792, HPA056039, HPA067151",Approved,,Enhanced,Nucleus,Endometrial cancer:4.26e-5 (unfavourable),Group enriched,Group enriched,45,cerebral cortex: 43.9;epididymis: 46.3;kidney: 36.6;seminal vesicle: 23.2,skin: 0.8,Group enriched,5.0,AF22: 58.4;AN3-CA: 52.7;HEK93: 20.3;RPTEC TERT1: 50.7;SH-SY5Y: 19.7
13,DAO,DAMOX,ENSG00000110887,D-amino acid oxidase,12,108858932-108901043,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA038653, HPA038654",Enhanced,,,,Renal cancer:4.11e-4 (favourable),Tissue enriched,Group enriched,36,kidney: 89.8;liver: 74.1,rectum: 2.2,Not detected,,
14,DUSP9,"MKP-4, MKP4",ENSG00000130829,Dual specificity phosphatase 9,X,153642492-153651326,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA003336,Enhanced,,Approved,Endoplasmic reticulum,Endometrial cancer:1.60e-4 (unfavourable),Mixed,Group enriched,35,kidney: 29.0;placenta: 103.3,testis: 1.8,Cell line enriched,6.0,Hep G2: 251.7
15,AGXT2,AGT2,ENSG00000113492,Alanine--glyoxylate aminotransferase 2,5,34998101-35048135,"Enzymes, Predicted intracellular proteins",Evidence at protein level,HPA037382,Enhanced,,,,Renal cancer:7.47e-4 (favourable),Group enriched,Group enriched,33,kidney: 197.9;liver: 59.3,small intestine: 3.9,Not detected,,
16,SLC10A2,"ASBT, ISBT",ENSG00000125255,Solute carrier family 10 member 2,13,103043998-103066846,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,HPA004795,Approved,,,,Renal cancer:5.78e-5 (favourable),Tissue enriched,Group enriched,31,duodenum: 21.0;kidney: 15.4;small intestine: 51.4,gallbladder: 0.9,Not detected,,
17,DIO1,TXDI1,ENSG00000211452,Iodothyronine deiodinase 1,1,53891239-53911086,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,,,,,,Thyroid cancer:5.44e-4 (unfavourable),Group enriched,Group enriched,30,kidney: 147.5;liver: 94.9;thyroid gland: 434.9,fallopian tube: 7.5,Group enriched,20.0,Hep G2: 23.0;SK-BR-3: 59.3
18,ALDH8A1,ALDH12,ENSG00000118514,Aldehyde dehydrogenase 8 family member A1,6,134917390-134950122,Predicted intracellular proteins,Evidence at protein level,"HPA026292, HPA055414",Enhanced,,Supported,Centrosome,Renal cancer:9.87e-4 (favourable),Group enriched,Group enriched,29,kidney: 74.3;liver: 127.7,cerebral cortex: 3.4,Mixed,,
19,ERICH4,"C19orf69, LOC100170765",ENSG00000204978,Glutamate rich 4,19,41443158-41444765,Predicted intracellular proteins,Evidence at transcript level,"HPA042632, HPA048484",Uncertain,,Approved,Nucleoplasm<br>Cytosol,,Mixed,Group enriched,27,duodenum: 42.8;kidney: 16.3;small intestine: 42.9,lung: 1.2,Group enriched,13.0,CACO-2: 2.1;Hep G2: 4.2;THP-1: 1.1
20,SLC36A2,"PAT2, TRAMD1, tramdorin",ENSG00000186335,Solute carrier family 36 member 2,5,151314978-151347590,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,"HPA044002, HPA062229",Enhanced,,,,,Tissue enriched,Group enriched,27,kidney: 67.7;skeletal muscle: 28.0,testis: 1.7,Not detected,,
