,Gene,Gene synonym,Ensembl,Gene description,Chromosome,Position,Protein class,Evidence,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Prognostic p-value,RNA cancer category,RNA tissue category,RNA TS,RNA TS TPM,TPM max in non-specific,RNA cell line category,RNA CS,RNA CS TPM
0,AADACL3,,ENSG00000188984,Arylacetamide deacetylase like 3,1,12716115-12728759,Predicted membrane proteins,Evidence at transcript level,,,,,,,Not detected,Tissue enhanced,,placenta: 1.3,skin: 0.7,Not detected,,
1,ACKR2,"CCBP2, CCR10, CCR9, CMKBR9, D6",ENSG00000144648,Atypical chemokine receptor 2,3,42804752-42887974,"G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,"HPA013819, HPA073493",Enhanced,,Supported,Nucleoplasm<br>Vesicles<br>Cytosol,,Mixed,Tissue enhanced,,placenta: 22.9,adipose tissue: 5.3,Cell line enhanced,,BEWO: 50.1;HEL: 15.5;SK-BR-3: 21.0
2,ACVRL1,"ACVRLK1, ALK1, HHT, HHT2, ORW2",ENSG00000139567,Activin A receptor like type 1,12,51906908-51923361,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA007041,Approved,,,,,Expressed in all,Tissue enhanced,,placenta: 126.4,lung: 76.4,Cell line enhanced,,ASC diff: 42.2;EFO-21: 52.0;HUVEC TERT2: 171.4;TIME: 130.8
3,ADAMTS14,,ENSG00000138316,ADAM metallopeptidase with thrombospondin type 1 motif 14,10,70672803-70762441,"Cancer-related genes, Plasma proteins, Predicted secreted proteins",Evidence at protein level,HPA034605,,,Uncertain,Cytosol,,Mixed,Tissue enhanced,,gallbladder: 10.9;placenta: 11.1,urinary bladder: 4.4,Cell line enhanced,,CAPAN-2: 8.0;K-562: 9.5;RH-30: 5.3;U-138 MG: 8.8
4,ADAMTS15,,ENSG00000166106,ADAM metallopeptidase with thrombospondin type 1 motif 15,11,130448974-130476641,Predicted secreted proteins,Evidence at transcript level,HPA042867,Uncertain,,Approved,Cytosol,"Urothelial cancer:5.63e-5 (unfavourable), Glioma:9.00e-4 (favourable), Lung cancer:9.72e-4 (unfavourable)",Mixed,Tissue enhanced,,adipose tissue: 30.3;placenta: 23.7,breast: 11.0,Cell line enhanced,,ASC diff: 49.3;ASC TERT1: 30.1;EFO-21: 34.5
5,ADAMTS5,"ADAMTS11, ADMP-2",ENSG00000154736,ADAM metallopeptidase with thrombospondin type 1 motif 5,21,26917912-26966513,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,"HPA005661, CAB025996, HPA030906, HPA030908",Approved,,Supported,Nucleoplasm,"Renal cancer:2.46e-4 (unfavourable), Thyroid cancer:8.54e-4 (unfavourable)",Mixed,Tissue enhanced,,placenta: 42.4,ovary: 24.3,Cell line enhanced,,ASC diff: 26.2;fHDF/TERT166: 12.4;RH-30: 40.0;U-87 MG: 14.5
6,ADAMTS6,ADAM-TS6,ENSG00000049192,ADAM metallopeptidase with thrombospondin type 1 motif 6,5,65148736-65481920,"Cancer-related genes, Predicted secreted proteins",Evidence at protein level,HPA043441,Enhanced,,,,,Mixed,Tissue enhanced,,placenta: 2.7,gallbladder: 2.3,Cell line enhanced,,HBF TERT88: 13.0;hTEC/SVTERT24-B: 12.5;TIME: 11.8;U-2197: 15.1
7,ADAMTS9,KIAA1312,ENSG00000163638,ADAM metallopeptidase with thrombospondin type 1 motif 9,3,64515654-64688000,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,"HPA028567, HPA028577, HPA028601",Approved,,Approved,Endoplasmic reticulum<br>Vesicles,,Expressed in all,Tissue enhanced,,placenta: 45.1,adipose tissue: 32.1,Cell line enhanced,,RPTEC TERT1: 20.9;SH-SY5Y: 136.2;WM-115: 27.9
8,ADAMTSL4,"DKFZP434K1772, TSRC1",ENSG00000143382,ADAMTS like 4,1,150549369-150560937,"Disease related genes, Predicted secreted proteins",Evidence at protein level,HPA006279,Approved,,Approved,Plasma membrane<br>Cytosol,"Renal cancer:4.35e-7 (unfavourable), Glioma:1.63e-4 (unfavourable), Colorectal cancer:1.86e-4 (unfavourable)",Expressed in all,Tissue enhanced,,placenta: 88.9,lung: 32.3,Cell line enhanced,,ASC TERT1: 64.0;BEWO: 191.0;K-562: 60.1
9,ADCY4,AC4,ENSG00000129467,Adenylate cyclase 4,14,24318349-24335093,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,"CAB005070, HPA048344",Approved,,,,"Renal cancer:7.01e-4 (unfavourable), Endometrial cancer:8.20e-4 (favourable)",Expressed in all,Tissue enhanced,,placenta: 21.1,lung: 11.6,Group enriched,6.0,HUVEC TERT2: 7.8;TIME: 3.1
10,ADGRD1,"DKFZp434B1272, GPR133, PGR25",ENSG00000111452,Adhesion G protein-coupled receptor D1,12,130953907-131141469,"G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA042395,Uncertain,,Approved,Nucleus<br>Cytosol,Liver cancer:9.27e-4 (unfavourable),Mixed,Tissue enhanced,,placenta: 44.7,lung: 32.4,Cell line enhanced,,BJ: 4.0;fHDF/TERT166: 4.1;HeLa: 6.4;HHSteC: 5.0;HMC-1: 11.4;U-2 OS: 6.6
11,ADGRG6,"FLJ14937, GPR126",ENSG00000112414,Adhesion G protein-coupled receptor G6,6,142301854-142446266,"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,HPA017346,Approved,,,,"Pancreatic cancer:2.78e-5 (unfavourable), Lung cancer:8.78e-4 (unfavourable)",Mixed,Tissue enhanced,,placenta: 67.2,liver: 36.9,Cell line enhanced,,HUVEC TERT2: 133.3;MCF7: 118.0
12,ADRB1,ADRB1R,ENSG00000043591,Adrenoceptor beta 1,10,114044056-114046908,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters",Evidence at protein level,HPA067972,Enhanced,,,,,Tissue enriched,Tissue enhanced,,placenta: 45.4,heart muscle: 10.8,Cell line enhanced,,HDLM-2: 6.7;THP-1: 3.2;TIME: 5.0
13,ADRB3,,ENSG00000188778,Adrenoceptor beta 3,8,37962991-37966965,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins",Evidence at protein level,HPA061969,Uncertain,,,,,Not detected,Tissue enhanced,,ovary: 8.9;placenta: 3.7,gallbladder: 2.2,Not detected,,
